Cell Data,Filename,Table Number,IsQuestion
"To code, please use a checkmark () for each statement.",C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\000_mfqchildselfreportshort.json,1,0
"NOT 
TRUE",C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\000_mfqchildselfreportshort.json,1,0
"SOME 
TIMES",C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\000_mfqchildselfreportshort.json,1,0
TRUE,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\000_mfqchildselfreportshort.json,1,0
1. I felt miserable or unhappy.,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\000_mfqchildselfreportshort.json,1,1
2. I didn’t enjoy anything at all.,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\000_mfqchildselfreportshort.json,1,1
3. I felt so tired I just sat around and did nothing.,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\000_mfqchildselfreportshort.json,1,1
4. I was very restless.,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\000_mfqchildselfreportshort.json,1,1
5. I felt I was no good anymore.,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\000_mfqchildselfreportshort.json,1,1
6. I cried a lot.,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\000_mfqchildselfreportshort.json,1,1
7. I found it hard to think properly or concentrate.,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\000_mfqchildselfreportshort.json,1,1
8. I hated myself.,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\000_mfqchildselfreportshort.json,1,1
9. I was a bad person.,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\000_mfqchildselfreportshort.json,1,1
10. I felt lonely.,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\000_mfqchildselfreportshort.json,1,1
11. I thought nobody really loved me.,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\000_mfqchildselfreportshort.json,1,1
12. I thought I could never be as good as other kids.,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\000_mfqchildselfreportshort.json,1,1
13. I did everything wrong.,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\000_mfqchildselfreportshort.json,1,1
