Cell Data,Filename,Table Number,IsQuestion
"Over the last two weeks, how often have you 
been bothered by the following problems?",C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\008_gad7anxietyupdated0.json,1,1
"Not  
at all",C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\008_gad7anxietyupdated0.json,1,0
"Several 
days",C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\008_gad7anxietyupdated0.json,1,0
"More 
 than half 
the days",C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\008_gad7anxietyupdated0.json,1,0
"Nearly 
every  
day",C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\008_gad7anxietyupdated0.json,1,0
"1. Feeling nervous, anxious, or on edge",C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\008_gad7anxietyupdated0.json,1,1
2. Not being able to stop or control worrying,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\008_gad7anxietyupdated0.json,1,1
3. Worrying too much about different things,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\008_gad7anxietyupdated0.json,1,1
4. Trouble relaxing,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\008_gad7anxietyupdated0.json,1,1
5. Being so restless that it is hard to sit still,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\008_gad7anxietyupdated0.json,1,1
6. Becoming easily annoyed or irritable,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\008_gad7anxietyupdated0.json,1,1
"7. Feeling afraid, as if something awful 
might happen",C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\008_gad7anxietyupdated0.json,1,1
"Column totals       _____   +   _____   +     _____   +   _____    = 
                Total score   _______ 
 
Source: Primary Care Evaluation of Mental Disorders Patient Health Questionnaire (PRIME-MD-PHQ). The PHQ was 
developed by Drs. Robert L. Spitzer, Janet B.W. Williams, Kurt Kroenke, and colleagues. For research information, contact Dr.
Spitzer at ris8@columbia.edu.  PRIME-MD® is a trademark of Pfizer Inc. Copyright© 1999 Pfizer Inc. All rights reserved. 
If you checked any problems, how difficult have they made it for you to do your work, take care of 
things at home, or get along with other people?  
 
Not difficult at all                    Somewhat difficult            Very difficult             Extremely difficult  
     □                        □                   □                  □",C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\008_gad7anxietyupdated0.json,1,0
