Cell Data,Filename,Table Number,IsQuestion
"Name: ______________________Date: __________________________
Directions:
Below is a list of sentences that describe how people feel. Read each phrase and decide if it is 
“Not True or Hardly Ever True” or “Somewhat True or Sometimes True” or “Very True or Often 
True” for you.  Then for each sentence, fill in one circle that corresponds to the response that 
seems to describe you for the last 3 months.",C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\018_scaredformparentandchildversio.json,1,0
"0
Not True 
or Hardly 
Ever True",C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\018_scaredformparentandchildversio.json,1,0
"1
Somewhat 
True or 
Sometimes 
True",C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\018_scaredformparentandchildversio.json,1,0
"2
Very True 
or Often 
True",C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\018_scaredformparentandchildversio.json,1,0
"When I feel frightened, it is hard for me to breathe",C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\018_scaredformparentandchildversio.json,1,1
o,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\018_scaredformparentandchildversio.json,1,0
o,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\018_scaredformparentandchildversio.json,1,0
o,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\018_scaredformparentandchildversio.json,1,0
I get headaches when I am at school,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\018_scaredformparentandchildversio.json,1,1
o,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\018_scaredformparentandchildversio.json,1,0
o,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\018_scaredformparentandchildversio.json,1,0
o,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\018_scaredformparentandchildversio.json,1,0
I don’t like to be with people I don’t know well,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\018_scaredformparentandchildversio.json,1,1
o,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\018_scaredformparentandchildversio.json,1,0
o,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\018_scaredformparentandchildversio.json,1,0
o,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\018_scaredformparentandchildversio.json,1,0
I get scared if I sleep away from home,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\018_scaredformparentandchildversio.json,1,1
o,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\018_scaredformparentandchildversio.json,1,0
o,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\018_scaredformparentandchildversio.json,1,0
o,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\018_scaredformparentandchildversio.json,1,0
I worry about other people liking me,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\018_scaredformparentandchildversio.json,1,1
o,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\018_scaredformparentandchildversio.json,1,0
o,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\018_scaredformparentandchildversio.json,1,0
o,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\018_scaredformparentandchildversio.json,1,0
"When I get frightened, I feel like passing out",C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\018_scaredformparentandchildversio.json,1,1
o,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\018_scaredformparentandchildversio.json,1,0
o,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\018_scaredformparentandchildversio.json,1,0
o,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\018_scaredformparentandchildversio.json,1,0
I am nervous,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\018_scaredformparentandchildversio.json,1,1
o,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\018_scaredformparentandchildversio.json,1,0
o,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\018_scaredformparentandchildversio.json,1,0
