Cell Data,Filename,Table Number,IsQuestion
"To code, please use a checkmark () for each statement.",C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\028_mfqchildselfreportlong.json,1,0
"NOT 
TRUE",C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\028_mfqchildselfreportlong.json,1,0
"SOME 
TIMES",C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\028_mfqchildselfreportlong.json,1,0
TRUE,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\028_mfqchildselfreportlong.json,1,0
1. I felt miserable or unhappy.,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\028_mfqchildselfreportlong.json,1,1
2. I didn’t enjoy anything at all.,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\028_mfqchildselfreportlong.json,1,1
3. I was less hungry than usual.,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\028_mfqchildselfreportlong.json,1,1
4. I ate more than usual.,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\028_mfqchildselfreportlong.json,1,1
5. I felt so tired I just sat around and did nothing.,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\028_mfqchildselfreportlong.json,1,1
6. I was moving and walking more slowly than usual.,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\028_mfqchildselfreportlong.json,1,1
7. I was very restless.,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\028_mfqchildselfreportlong.json,1,1
8. I felt I was no good anymore.,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\028_mfqchildselfreportlong.json,1,1
9. I blamed myself for things that weren’t my fault.,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\028_mfqchildselfreportlong.json,1,1
10. It was hard for me to make up my mind.,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\028_mfqchildselfreportlong.json,1,1
11. I felt grumpy and cross with my parents.,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\028_mfqchildselfreportlong.json,1,1
12. I felt like talking less than usual.,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\028_mfqchildselfreportlong.json,1,1
13. I was talking more slowly than usual.,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\028_mfqchildselfreportlong.json,1,1
14. I cried a lot.,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\028_mfqchildselfreportlong.json,1,1
15. I thought there was nothing good for me in the future.,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\028_mfqchildselfreportlong.json,2,1
16. I thought that life wasn’t worth living.,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\028_mfqchildselfreportlong.json,2,1
17. I thought about death or dying.,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\028_mfqchildselfreportlong.json,2,1
18. I thought my family would be better off without me.,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\028_mfqchildselfreportlong.json,2,1
19. I thought about killing myself.,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\028_mfqchildselfreportlong.json,2,1
20. I didn’t want to see my friends.,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\028_mfqchildselfreportlong.json,2,1
21. I found it hard to think properly or concentrate.,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\028_mfqchildselfreportlong.json,2,1
22. I thought bad things would happen to me.,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\028_mfqchildselfreportlong.json,2,1
23. I hated myself.,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\028_mfqchildselfreportlong.json,2,1
24. I felt I was a bad person.,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\028_mfqchildselfreportlong.json,2,1
25. I thought I looked ugly.,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\028_mfqchildselfreportlong.json,2,1
26. I worried about aches and pains.,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\028_mfqchildselfreportlong.json,2,1
27. I felt lonely.,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\028_mfqchildselfreportlong.json,2,1
28. I thought nobody really loved me.,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\028_mfqchildselfreportlong.json,2,1
29. I didn’t have any fun in school.,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\028_mfqchildselfreportlong.json,2,1
30. I thought I could never be as good as other kids.,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\028_mfqchildselfreportlong.json,2,1
31. I did everything wrong.,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\028_mfqchildselfreportlong.json,2,1
32. I didn’t sleep as well as I usually sleep.,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\028_mfqchildselfreportlong.json,2,1
33. I slept a lot more than usual.,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\028_mfqchildselfreportlong.json,2,1
