Cell Data,Filename,Table Number,IsQuestion
AS PRIMEIRAS PERGUNTAS SÃO SOBRE ÁLCOOL,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\048_hrcw2protocolopsicoconfadultos.json,1,0
"Q1. ALGUMA VEZ NA VIDA, você já tomou alguma 
bebida de álcool, como cerveja, vinho ou vodka?",C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\048_hrcw2protocolopsicoconfadultos.json,1,1
"(   )  Sim 
(   )  Não",C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\048_hrcw2protocolopsicoconfadultos.json,1,0
"Q2. SE SIM, que IDADE você tinha quando tomou 
pela primeira vez?",C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\048_hrcw2protocolopsicoconfadultos.json,1,1
"____  ____ anos 
(   ) Não se aplica (nunca tomei bebida de álcool)",C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\048_hrcw2protocolopsicoconfadultos.json,1,0
"Q3. SE SIM, você tomou bebida de álcool NOS 
ÚLTIMOS 12 MESES?",C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\048_hrcw2protocolopsicoconfadultos.json,1,1
"(   ) Sim 
(   ) Não 
(   ) Não se aplica (nunca tomei álcool)",C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\048_hrcw2protocolopsicoconfadultos.json,1,0
"Q4. SE SIM, com que frequência você tomou 
bebida de álcool nos ÚLTIMOS 12 MESES?",C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\048_hrcw2protocolopsicoconfadultos.json,1,1
"(   ) Uma ou duas vezes 
(   ) Mensalmente 
(   ) Semanalmente 
(   ) Diariamente ou quase diariamente 
(   ) Não se aplica (não tomei nos últimos meses) 
(   ) Não se aplica (nunca tomei álcool)",C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\048_hrcw2protocolopsicoconfadultos.json,1,0
"Q5. SE SIM, com que frequência você tomou um 
porre ou ficou bêbedo nos ÚLTIMOS 12 MESES?",C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\048_hrcw2protocolopsicoconfadultos.json,1,1
