Cell Data,Filename,Table Number,IsQuestion
"Not at allSeveral
days
More than
half the
days
012
012
012
012
012
012
012
012
012
add columns++
TOTAL:
Not difficult at all
Somewhat difficult
Very difficult
Extremely difficult",C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\052_phq9iddate0803.json,1,0
Total Score,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\052_phq9iddate0803.json,2,0
Depression Severity,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\052_phq9iddate0803.json,2,1
1-4,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\052_phq9iddate0803.json,2,0
Minimal depression,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\052_phq9iddate0803.json,2,1
5-9,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\052_phq9iddate0803.json,2,0
Mild depression,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\052_phq9iddate0803.json,2,1
10-14,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\052_phq9iddate0803.json,2,0
Moderate                                          depression,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\052_phq9iddate0803.json,2,1
15-19,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\052_phq9iddate0803.json,2,0
Moderately severe depression,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\052_phq9iddate0803.json,2,1
20-27,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\052_phq9iddate0803.json,2,0
Severe                                          depression,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\052_phq9iddate0803.json,2,1
