Cell Data,Filename,Table Number,IsQuestion
Day of Week,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\053_neighbourhood.json,1,0
"(Monday = 1, Tues = 2, Weds=3, Thurs-4. 
Fri=5, Sat=6, Sun=7",C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\053_neighbourhood.json,1,0
Time of Day,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\053_neighbourhood.json,1,0
"Morning = 1, Afternoon = 2, Evening =3",C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\053_neighbourhood.json,1,0
"How would you rate the general condition of 
most of the residences or other buildings in 
the street?",C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\053_neighbourhood.json,1,1
"Well kept, good repair & exterior surfaces
Fair condition
Poor condition, peeling paint, broken 
windows
Badly deteriorated",C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\053_neighbourhood.json,1,0
"1 
2 
3 
 
4",C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\053_neighbourhood.json,1,0
"1 
2 
3 
 
4",C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\053_neighbourhood.json,1,0
"1 
2 
3 
 
4",C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\053_neighbourhood.json,1,0
"1 
2 
3 
 
4",C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\053_neighbourhood.json,1,0
"1 
2 
3 
 
4",C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\053_neighbourhood.json,1,0
"1 
2 
3 
 
4",C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\053_neighbourhood.json,1,0
"Do any of the fronts of residential or 
commercial units have metal security blinds, 
gates, or iron bars & grilles?",C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\053_neighbourhood.json,1,1
"None
Some
Most",C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\053_neighbourhood.json,1,0
"1 
2 
3",C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\053_neighbourhood.json,1,0
"1 
2 
3",C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\053_neighbourhood.json,1,0
"1 
2 
3",C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\053_neighbourhood.json,1,0
"1 
2 
3",C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\053_neighbourhood.json,1,0
"1 
2 
3",C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\053_neighbourhood.json,1,0
"1 
2 
3",C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\053_neighbourhood.json,1,0
"Are there any traffic calming measures in 
place on the street?",C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\053_neighbourhood.json,1,1
"Yes
No",C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\053_neighbourhood.json,1,0
"1 
2",C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\053_neighbourhood.json,1,0
"How would you rate the volume of traffic on 
the street?",C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\053_neighbourhood.json,1,1
"No traffic permitted
Light
Moderate
Heavy",C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\053_neighbourhood.json,1,0
"1 
2 
3 
4",C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\053_neighbourhood.json,1,0
"1 
2 
3 
4",C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\053_neighbourhood.json,1,0
"1 
2 
3 
4",C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\053_neighbourhood.json,1,0
"1 
2 
3 
4",C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\053_neighbourhood.json,1,0
"1 
2 
3 
4",C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\053_neighbourhood.json,1,0
"1 
2 
3 
4",C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\053_neighbourhood.json,1,0
"Are there any abandoned or burnt-out cars 
on the street?",C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\053_neighbourhood.json,1,1
"Yes
No",C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\053_neighbourhood.json,1,0
"1 
2",C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\053_neighbourhood.json,1,0
"1 
2",C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\053_neighbourhood.json,1,0
"1 
2",C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\053_neighbourhood.json,1,0
