Cell Data,Filename,Table Number,IsQuestion
AS PRIMEIRAS PERGUNTAS SÃO SOBRE ÁLCOOL,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\064_hrcw1psicoconf.json,1,0
"Q1. ALGUMA VEZ NA VIDA, você já tomou 
alguma bebida de álcool, como cerveja, vinho ou 
vodka?",C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\064_hrcw1psicoconf.json,1,1
"(   ) 1 Sim 
(   ) 2 Não",C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\064_hrcw1psicoconf.json,1,0
"Q2. SE SIM, que IDADE você tinha quando tomou 
pela primeira vez?",C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\064_hrcw1psicoconf.json,1,1
"____  ____ anos 
(   ) 99 Não se aplica (nunca tomei bebida de álcool)",C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\064_hrcw1psicoconf.json,1,0
"Q3. SE SIM, você tomou bebida de álcool NOS 
ÚLTIMOS 12 MESES?",C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\064_hrcw1psicoconf.json,1,1
"(   ) 1 Sim 
(   ) 2 Não 
(   ) 99 Não se aplica (nunca tomei álcool)",C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\064_hrcw1psicoconf.json,1,0
"Q4. SE SIM, com que frequência você tomou 
bebida de álcool nos ÚLTIMOS 12 MESES?",C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\064_hrcw1psicoconf.json,1,1
"(   ) 1 Uma ou duas vezes 
(   ) 2 Mensalmente 
(   ) 3 Semanalmente 
(   ) 4 Diariamente ou quase diariamente 
(   ) 99 Não se aplica (não tomei nos últimos meses) 
(   ) 99 Não se aplica (nunca tomei álcool)",C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\064_hrcw1psicoconf.json,1,0
"Q5. SE SIM, com que frequência você tomou um 
porre ou ficou bêbedo nos ÚLTIMOS 12 MESES?",C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\064_hrcw1psicoconf.json,1,1
"(   ) 1 Uma ou duas vezes 
(   ) 2 Mensalmente 
(   ) 3 Semanalmente 
(   ) 4 Diariamente ou quase diariamente 
(   ) 99 Não se aplica (não tomei porre) 
(   ) 99 Não se aplica (não tomei nos últimos meses) 
(   ) 99 Não se aplica (nunca tomei álcool)",C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\064_hrcw1psicoconf.json,1,0
"Q6. SE SIM, beber tem causado problemas para 
você (com seus pais, com seus amigos, na escola 
ou no trabalho)?",C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\064_hrcw1psicoconf.json,1,1
"(   ) 1 Sim 
(   ) 2 Não 
(   ) 99 Não se aplica (nunca tomei álcool)",C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\064_hrcw1psicoconf.json,1,0
AS PRÓXIMAS PERGUNTAS SÃO SOBRE CIGARRO E SUBSTÂNCIAS,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\064_hrcw1psicoconf.json,2,0
"Q7. ALGUMA VEZ NA VIDA, você já fumou 
cigarro, charuto ou mascou fumo?",C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\064_hrcw1psicoconf.json,2,1
"(   ) 1 Sim 
(   ) 2 Não",C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\064_hrcw1psicoconf.json,2,0
"Q8. SE SIM, que IDADE você tinha quando 
experimentou pela primeira vez?",C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\064_hrcw1psicoconf.json,2,1
"____  ____ anos 
(   ) 99 Não se aplica (nunca fumei cigarro)",C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\064_hrcw1psicoconf.json,2,0
"Q9. SE SIM, você fumou cigarro alguma vez NOS 
ÚLTIMOS 12 MESES?",C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\064_hrcw1psicoconf.json,2,1
"(   ) 1 Sim 
(   ) 2 Não 
(   ) 99 Não se aplica (nunca fumei cigarro)",C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\064_hrcw1psicoconf.json,2,0
"Q10. SE SIM, com que frequência você fumou 
cigarro NOS ÚLTIMOS 12 MESES?",C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\064_hrcw1psicoconf.json,2,1
