Cell Data,Filename,Table Number,IsQuestion
"None of 
the time",C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\051_dejonggierveldlonlinessscale.json,1,0
Rarely,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\051_dejonggierveldlonlinessscale.json,1,0
"Some of 
the time",C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\051_dejonggierveldlonlinessscale.json,1,0
Often,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\051_dejonggierveldlonlinessscale.json,1,0
"All of 
the time",C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\051_dejonggierveldlonlinessscale.json,1,0
"There is always someone I can talk to about 
my day-to-day problems",C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\051_dejonggierveldlonlinessscale.json,1,1
I miss having a really close friend,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\051_dejonggierveldlonlinessscale.json,1,1
I experience a general sense of emptiness,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\051_dejonggierveldlonlinessscale.json,1,1
"There are plenty of people I can lean on when 
I have problems",C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\051_dejonggierveldlonlinessscale.json,1,1
I miss the pleasure of the company of others,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\051_dejonggierveldlonlinessscale.json,1,1
"I find my circle of friends and acquaintances 
too limited",C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\051_dejonggierveldlonlinessscale.json,1,1
There are many people I can trust completely,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\051_dejonggierveldlonlinessscale.json,1,1
There are enough people I feel close to,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\051_dejonggierveldlonlinessscale.json,1,1
I miss having people around me,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\051_dejonggierveldlonlinessscale.json,1,1
I often feel rejected,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\051_dejonggierveldlonlinessscale.json,1,1
I can call on my friends whenever I need them,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\051_dejonggierveldlonlinessscale.json,1,1
Identification subsamples,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\051_dejonggierveldlonlinessscale.json,2,0
Year and months of data collection,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\051_dejonggierveldlonlinessscale.json,2,0
Sex,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\051_dejonggierveldlonlinessscale.json,2,0
Age (or year and month of birth),C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\051_dejonggierveldlonlinessscale.json,2,0
"Official marital status  
- unmarried and never married  
- married  
- divorced (separated)  
- widowed",C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\051_dejonggierveldlonlinessscale.json,2,1
