Text,IsQuestion
,0
Child Self-Report,0
,0
,0
,0
MOOD AND FEELINGS QUESTIONNAIRE: Short Version,0
,0
This form is about how you might have been feeling or acting recently.,0
,0
"For each question, please check () how you have been feeling or acting in the past two",0
weeks.,0
,0
"If a sentence was not true about you, check NOT TRUE.",0
"If a sentence was only sometimes true, check SOMETIMES.",0
"If a sentence was true about you most of the time, check TRUE.",0
,0
Score the MFQ as follows:,0
NOT TRUE = 0,0
SOMETIMES = 1,0
TRUE = 2,0
,0
,0
"To code, please use a checkmark () for each statement.",0
NOT,0
TRUE,0
,0
SOME,0
TIMES,0
,0
TRUE,0
,0
1. I felt miserable or unhappy.,1
,0
2. I didn’t enjoy anything at all.,1
,0
3. I felt so tired I just sat around and did nothing.,1
,0
4. I was very restless.,1
,0
5. I felt I was no good anymore.,1
,0
6. I cried a lot.,1
,0
7. I found it hard to think properly or concentrate.,1
,0
8. I hated myself.,1
,0
9. I was a bad person.,1
,0
10. I felt lonely.,1
,0
11. I thought nobody really loved me.,1
,0
12. I thought I could never be as good as other kids.,1
,0
13. I did everything wrong.,1
,0
,0
,0
"Copyright Adrian Angold & Elizabeth J. Costello, 1987; Developmental Epidemiology Program; Duke University",0
