Text,IsQuestion,comment
,0,
P A T I E N T  H E A L T H  Q U E S T I O N N A I R E - 9,0,
( P H Q - 9 ),0,
,0,
"Over the last 2 weeks, how often have you been bothered",1,question slitted on two lines
by any of the following problems?,1,question slitted on two lines
(Use “✔” to indicate your answer) Not at all,0,
,0,
Several,0,
days,0,
,0,
More,0,
than half,0,
the days,0,
,0,
Nearly,0,
every,0,
day,0,
,0,
1. Little interest or pleasure in doing things 0 1 2 3,1,
,0,
"2. Feeling down, depressed, or hopeless 0 1 2 3",1,
,0,
"3. Trouble falling or staying asleep, or sleeping too much 0 1 2 3",1,
,0,
4. Feeling tired or having little energy 0 1 2 3,1,
,0,
5. Poor appetite or overeating 0 1 2 3,1,
,0,
6. Feeling bad about yourself — or that you are a failure or,1,question slitted on two lines
have let yourself or your family down 0 1 2 3,1,question slitted on two lines
,0,
"7. Trouble concentrating on things, such as reading the",1,question slitted on two lines
newspaper or watching television 0 1 2 3,1,question slitted on two lines
,0,
8. Moving or speaking so slowly that other people could have,1,question slitted on three lines
noticed?  Or the opposite — being so fidgety or restless,1,question slitted on three lines
that you have been moving around a lot more than usual,1,question slitted on three lines
,0,
0 1 2 3,0,
,0,
9. Thoughts that you would be better off dead or of hurting,1,question slitted on two lines
yourself in some way 0 1 2 3,1,question slitted on two lines
,0,
FOR OFFICE CODING     0      + ______  +  ______  +  ______,0,
,0,
#NAME?,0,
,0,
,0,
,0,
,0,
"If you checked off any problems, how difficult have these problems made it for you to do your",1,question slitted on two lines
"work, take care of things at home, or get along with other people?",1,question slitted on two lines
,0,
Not difficult,0,
at all,0,
,0,
,0,
,0,
Somewhat,0,
difficult,0,
,0,
,0,
,0,
Very,0,
difficult,0,
,0,
,0,
,0,
Extremely,0,
difficult,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
"Developed by Drs. Robert L. Spitzer, Janet B.W. Williams, Kurt Kroenke and colleagues, with an educational grant from",0,
"Pfizer Inc.  No permission required to reproduce, translate, display or distribute.",0,
