Text,IsQuestion,comment
,0,
"Pensando nos últimos seis meses, você:",0,
,0,
Nunca Uma,0,
vez,0,
,0,
Duas,0,
vezes,0,
,0,
Três,0,
vezes,0,
,0,
Quatro,0,
vezes,0,
,0,
Cinco,0,
vezes,0,
,0,
Mais,0,
de,0,
,0,
cinco,0,
vezes,0,
,0,
NÃO SABE,0,
,0,
"DSHI1. Cortou os pulsos, braços ou",1,question splitted in two lines
outras partes do corpo,1,question splitted in two lines
,0,
0 1 2 3 4 5 6 99,0,
,0,
"DSHI2. Queimou-se com cigarros,",1,question splitted in two lines
isqueiros ou fósforos,1,question splitted in two lines
,0,
0 1 2 3 4 5 6 99,0,
,0,
"DSHI3. Fez palavras, ou desenhos na",1,question splitted in two lines
pele através de cortes,1,question splitted in two lines
,0,
0 1 2 3 4 5 6 99,0,
,0,
DSHI4. Arranhou-se gravemente a,1,question splitted in two lines
ponto de sangrar,1,question splitted in two lines
,0,
0 1 2 3 4 5 6 99,0,
,0,
DSHI5. Mordeu-se a ponto de abrir a,1,question splitted in two lines
pele,1,question splitted in two lines
,0,
0 1 2 3 4 5 6 99,0,
,0,
DSHI6. Cravou objetos pontudos na,1,question splitted in two lines
pele,1,question splitted in two lines
,0,
0 1 2 3 4 5 6 99,0,
,0,
DSHI7. Bateu a cabeça a ponto de,1,question splitted in two lines
provocar um machucado,1,question splitted in two lines
,0,
0 1 2 3 4 5 6 99,0,
,0,
DSHI8. Se deu socos a ponto de,1,question splitted in two lines
provocar um machucado,1,question splitted in two lines
,0,
0 1 2 3 4 5 6 99,0,
,0,
DSHI9. Não deixou feridas cicatrizarem 0 1 2 3 4 5 6 99,1,
,0,
DSHI10a. Outro comportamento auto,1,question splitted in two lines
lesivo:,1,question splitted in two lines
,0,
0,0,
àDSHI11,0,
,0,
Descreva:,0,
↓ DSHI10b,0,
,0,
99,0,
àDSHI11,0,
,0,
DSHI10b. Quantas vezes realizou o,1,question splitted in three lines
comportamento mencionado,1,question splitted in three lines
anteriormente:,1,question splitted in three lines
,0,
0 1 2 3 4 5 6 99,0,
,0,
DSHI11. Qualquer comportamento auto,1,question splitted in four lines
lesivo suficientemente grave para,1,question splitted in four lines
precisar de hospitalização ou de,1,question splitted in four lines
tratamento médico,1,question splitted in four lines
,0,
0 1 2 3 4 5 6 99,0,
