Text,IsQuestion,comment
,0,
"Nos últimos 3 meses, o quanto VERDADEIRO cada frase é para",0,
você:,0,
,0,
NUNCA OU,0,
RARAMENTE ÀS VEZES,0,
,0,
MUITAS,0,
VEZES OU,0,
,0,
QUASE,0,
SEMPRE,0,
,0,
"SC1 Quando eu fico com medo, eu tenho dificuldade de respirar. (  ) 0 (  ) 1 (  ) 2",1,
,0,
SC2 Eu sinto dor de cabeça quando estou na faculdade ou,1,question splitted in two lines
trabalho. (  ) 0 (  ) 1 (  ) 2,1,question splitted in two lines
,0,
SC3 Eu não gosto de estar com pessoas que não conheço bem. (  ) 0 (  ) 1 (  ) 2,1,
,0,
SC4 Eu fico com medo quando eu durmo fora de casa. (  ) 0 (  ) 1 (  ) 2,1,
SC5 Eu me preocupo se outras pessoas gostam de mim. (  ) 0 (  ) 1 (  ) 2,1,
"SC6 Quando eu fico com medo, eu sinto como se eu fosse",1,
,0,
desmaiar. (  ) 0 (  ) 1 (  ) 2,0,
,0,
SC7,0,
Eu sou nervoso (a). (  ) 0 (  ) 1 (  ) 2,1,
,0,
SC8 Eu sigo as pessoas a quem sou muito ligado aonde eles,1,question splitted in two lines
vão. (  ) 0 (  ) 1 (  ) 2,1,question splitted in two lines
,0,
SC9 As pessoas me dizem que eu pareço nervoso. (  ) 0 (  ) 1 (  ) 2,1,
SC10,0,
,0,
Eu fico nervoso(a) com pessoas que eu não conheço bem. (  ) 0 (  ) 1 (  ) 2,1,
,0,
SC11 Eu tenho dor de barriga na faculdade ou trabalho. (  ) 0 (  ) 1 (  ) 2,1,
"SC12 Quando eu fico com medo, eu acho que vou enlouquecer. (  ) 0 (  ) 1 (  ) 2",1,
SC13,0,
,0,
Eu tenho medo de dormir sozinho. (  ) 0 (  ) 1 (  ) 2,1,
,0,
SC14 Eu me preocupo em ser tão bom quanto aos outros. (  ) 0 (  ) 1 (  ) 2,1,
"SC15 Quando eu fico com medo, tenho a impressão de que as",1,
,0,
coisas não são reais.,0,
(  ) 0 (  ) 1 (  ) 2,0,
,0,
SC16 Eu tenho pesadelos com coisas ruins acontecendo com as,1,question splitted in two lines
pessoas a quem sou muito ligado.,1,question splitted in two lines
,0,
(  ) 0 (  ) 1 (  ) 2,0,
,0,
SC17 Eu fico preocupado quando tenho que ir à faculdade ou,1,question splitted in two lines
trabalho.,1,question splitted in two lines
,0,
(  ) 0 (  ) 1 (  ) 2,0,
,0,
SC18,0,
"Quando eu fico com medo, o meu coração bate rápido. (  ) 0 (  ) 1 (  ) 2",1,
,0,
SC19,0,
"Quando eu fico nervoso, eu tremo de medo. (  ) 0 (  ) 1 (  ) 2",1,
,0,
SC20 Eu tenho pesadelos com alguma coisa ruim acontecendo,1,question splitted in two lines
comigo.,1,question splitted in two lines
,0,
(  ) 0 (  ) 1 (  ) 2,0,
,0,
SC21,0,
Eu fico preocupado se as coisas vão dar certo para mim. (  ) 0 (  ) 1 (  ) 2,1,
,0,
SC22,0,
"Quando eu fico com medo, eu suo muito. (  ) 0 (  ) 1 (  ) 2",1,
