Text,IsQuestion,comment
,0,
Escala de Aptidões Sociais,0,
,0,
Como se compara o/a [Nome do Jovem] com as outras crianças/pessoas da idade dele/a nas seguintes situações:,0,
,0,
,0,
Muito pior,0,
,0,
que a,0,
média,0,
,0,
Um pouco,0,
pior que a,0,
,0,
média,0,
Na média,0,
,0,
Um pouco,0,
melhor,0,
que a,0,
média,0,
,0,
Muito,0,
melhor,0,
que a,0,
média,0,
,0,
"SAS1 É capaz de rir com os outros,",1,question splitted in four lines
"por exemplo, aceitando",1,question splitted in four lines
brincadeiras leves e reagindo,1,question splitted in four lines
adequadamente.,1,question splitted in four lines
,0,
,0,
0,0,
,0,
,0,
1,0,
,0,
,0,
,0,
2,0,
,0,
,0,
3,0,
,0,
,0,
4,0,
,0,
"SAS2 É fácil de conversar com ele/a,",1,question splitted in four lines
mesmo sobre um tema que,1,question splitted in four lines
ele/a não tenha um interesse,1,question splitted in four lines
especial.,1,question splitted in four lines
,0,
,0,
0,0,
,0,
,0,
1,0,
,0,
,0,
2,0,
,0,
,0,
3,0,
,0,
,0,
4,0,
,0,
SAS3 É capaz de chegar a um meio-,1,question splitted in two lines
termo e ser flexível,1,question splitted in two lines
,0,
0 1 2 3 4,0,
,0,
SAS4 Encontra a coisa certa para,1,question splitted in four lines
dizer ou fazer para tornar mais,1,question splitted in four lines
fácil uma,1,question splitted in four lines
situação tensa ou embaraçosa.,1,question splitted in four lines
,0,
,0,
0,0,
,0,
,0,
1,0,
,0,
,0,
2,0,
,0,
,0,
3,0,
,0,
,0,
4,0,
,0,
SAS5 Tem espírito esportivo quando,1,question splitted in four lines
não ganha ou percebe que está,1,question splitted in four lines
errado/a.,1,question splitted in four lines
Sabe perder.,1,question splitted in four lines
,0,
,0,
0,0,
,0,
,0,
1,0,
,0,
,0,
2,0,
,0,
,0,
3,0,
,0,
,0,
4,0,
,0,
SAS6 Outras pessoas se sentem bem,1,question splitted in two lines
com ele/a por perto.,1,question splitted in two lines
,0,
0 1 2 3 4,0,
,0,
SAS7 Entendendo as entrelinhas do,1,question splitted in five lines
"que as pessoas dizem, ele/a",1,question splitted in five lines
consegue saber o,1,question splitted in five lines
que as pessoas estão realmente,1,question splitted in five lines
pensando ou sentindo.,1,question splitted in five lines
,0,
,0,
0,0,
,0,
,0,
1,0,
,0,
,0,
2,0,
,0,
,0,
3,0,
,0,
,0,
4,0,
,0,
"SAS8 Depois de ter feito algo errado,",1,question splitted in six lines
ele/a é,1,question splitted in six lines
capaz de pedir desculpas e,1,question splitted in six lines
resolver a situação de forma,1,question splitted in six lines
que não fiquem,1,question splitted in six lines
ressentimentos.,1,question splitted in six lines
,0,
,0,
,0,
,0,
0,0,
,0,
,0,
,0,
,0,
1,0,
,0,
,0,
,0,
,0,
2,0,
,0,
,0,
,0,
,0,
3,0,
,0,
,0,
,0,
,0,
4,0,
,0,
SAS9 Sabe liderar sem parecer,1,question splitted in two lines
mandão/mandona.,1,question splitted in two lines
,0,
0 1 2 3 4,0,
,0,
SAS10 Sabe o que é apropriado ou,1,question splitted in four lines
não apropriado,1,question splitted in four lines
nas diferentes situações,1,question splitted in four lines
sociais.,1,question splitted in four lines
,0,
,0,
0,0,
,0,
,0,
1,0,
,0,
,0,
2,0,
,0,
,0,
3,0,
,0,
,0,
4,0,
,0,
"copyright Robert Goodman, 2001",0,
