Text,IsQuestion,comment
,0,
,0,
,0,
,0,
,0,
ID: |_   |_   |_   |_   |_   |,0,
,0,
,0,
Data:        /        /,1,
,0,
,0,
,0,
,0,
,0,
,0,
Este questionário é confidencial.,0,
,0,
,0,
Seu nome não aparecerá nele.,0,
,0,
,0,
,0,
,0,
,0,
,0,
"Se você tiver alguma dúvida, chame a psicóloga. Ela irá ajudar você sem olhar as suas respostas.",0,
,0,
,0,
,0,
,0,
,0,
Leia as perguntas com atenção e marque um X na resposta que você achar melhor.  Não há,0,
,0,
"resposta certa ou errada, queremos apenas a sua opinião.",0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
CONF. RESPONDEU  CONFIDENCIAL?,1,
,0,
(   )  SIM,0,
,0,
"(   )  NÃO, RECUSA",0,
,0,
,0,
"(   )  NÃO, OUTRO MOTIVO",0,
,0,
,0,
,0,
AS PRIMEIRAS PERGUNTAS SÃO SOBRE ÁLCOOL,0,
,0,
"Q1. ALGUMA VEZ NA VIDA, você já tomou alguma",1,question splitted in two lines
,0,
"bebida de álcool, como cerveja, vinho ou vodka?",1,question splitted in two lines
,0,
(   )  Sim,0,
,0,
(   )  Não,0,
,0,
"Q2. SE SIM, que IDADE você tinha quando tomou pela",1,
,0,
primeira vez?,0,
,0,
,0,
,0,
____  ____ anos,0,
,0,
(   ) Não se aplica (nunca tomei bebida de álcool),0,
,0,
"Q3. SE SIM, você tomou bebida de álcool NOS",1,
,0,
ÚLTIMOS 12 MESES?,1,
,0,
(   ) Sim,0,
,0,
(   ) Não,0,
,0,
(   ) Não se aplica (nunca tomei álcool),0,
,0,
"Q4. SE SIM, com que frequência você tomou bebida de",1,
,0,
álcool nos ÚLTIMOS 12 MESES?,1,
,0,
(   ) Uma ou duas vezes,0,
,0,
(   ) Mensalmente,0,
,0,
(   ) Semanalmente,0,
,0,
(   ) Diariamente ou quase diariamente,0,
,0,
(   ) Não se aplica (não tomei nos últimos meses),0,
,0,
(   ) Não se aplica (nunca tomei álcool),0,
,0,
"Q5. SE SIM, com que frequência você tomou um porre",1,
,0,
ou ficou bêbedo nos ÚLTIMOS 12 MESES?,1,
,0,
(   ) Uma ou duas vezes,0,
,0,
(   ) Mensalmente,0,
,0,
(   ) Semanalmente,0,
,0,
(   ) Diariamente ou quase diariamente,0,
,0,
(   ) Não se aplica (não tomei porre),0,
,0,
(   ) Não se aplica (não tomei nos últimos meses),0,
,0,
(   ) Não se aplica (nunca tomei álcool),0,
,0,
"Q6. SE SIM, beber tem causado problemas para você",1,
,0,
"(com seus pais, com seus amigos, na escola ou no",1,
,0,
trabalho)?,1,
,0,
(   ) Sim,0,
,0,
(   ) Não,0,
,0,
(   ) Não se aplica (nunca tomei álcool),0,
,0,
"Q7. Nos ÚLTIMOS 12 MESES , qual a frequência do seu",1,
,0,
consumo de bebidas alcoólicas?,1,
,0,
,0,
,0,
(   ) Nunca,0,
,0,
(   ) 1 vês por mês ou menos,0,
,0,
(   ) De 2 a 4 vezes por mês,0,
,0,
(   ) De 2 a 3 vezes por semana,0,
,0,
(   ) 4 ou mais vezes por semana,0,
,0,
"Q8. Nos ÚLTIMOS 12 MESES, quantas doses / bebidas",1,
,0,
alcoólicas você consome em um dia típico quando está,1,
,0,
bebendo?,1,
,0,
Considere 1 dose = 1 lata de cerveja ou 1 taça de vinho,0,
ou 1 martelinho de destilado,0,
Garrafa cerveja = 2 doses,0,
Garrafa vinho = 8 doses,0,
Garrafa destilado = 30 a 35 unidades,0,
,0,
(   ) De 1 a 2 doses,0,
,0,
(   ) De 3 a 4 doses,0,
,0,
(   ) De 5 a 6 doses,0,
,0,
(   ) De 7 a 9 doses,0,
,0,
(   ) 10 doses ou mais,0,
,0,
"Q9. Nos ÚLTIMOS 12 MESES, qual a frequência que você",1,question splitted in three0 lines
,0,
consome 6 ou mais doses de bebida alcoólica em uma,1,
,0,
mesma ocasião?,1,
,0,
(   ) Nunca,0,
,0,
(   ) Menos de 1 vez por mês,0,
,0,
(   ) Pelo menos 1 vez por mês,0,
,0,
,0,
,0,
(   ) Pelo menos 1 vez por semana,0,
,0,
(   ) Diariamente ou quase diariamente,0,
,0,
,0,
,0,
,0,
,0,
