Text,IsQuestion,comment
,0,
TESTE DE ANSIEDADE GAD-7,0,
,0,
O teste de ansiedade disponível aqui no nosso site tem o nome de Escala de,0,
,0,
Transtorno de Ansiedade Generalizada (GAD-7). Ele é representado pela sigla GAD-,0,
,0,
7 porque foi traduzido do inglês Generalized Anxiety Disorder 7-item.,0,
,0,
"Trata-se de uma importante ferramenta criada por Spitzer, Williams, Kroenke e",0,
,0,
colaboradores com o apoio da P�zer Inc. Diversas publicações cientí�cas,0,
,0,
"demonstraram a con�abilidade e validade do GAD-7, inclusive em português para",0,
,0,
brasileiros. Todas as versões do teste podem ser encontradas sem restrições no,0,
,0,
site da P�zer.,0,
,0,
O GAD-7  é composto por 7 itens com o objetivo de avaliar os sintomas do,0,
,0,
Transtorno de Ansiedade Generalizada. Há um texto sobre ansiedade  disponível,0,
,0,
aqui no nosso site.,0,
,0,
Não há até o momento um teste capaz de diagnosticar o Transtorno de Ansiedade,0,
,0,
"Generalizada. Nem mesmo um questionário como o GAD-7, amplamente",0,
,0,
"legitimado pela comunidade cientí�ca, é capaz de substituir uma consulta com",0,
,0,
psiquiatra. Assim o nosso propósito é alertar os pacientes sobre a necessidade de,0,
,0,
continuar a investigação clínica.,0,
,0,
Encare o teste como um ponto de partida na sua jornada em busca de saúde,0,
,0,
mental. Vamos começar?!,0,
,0,
Nota: valorizamos muito a sua privacidade e por isso o preenchimento do teste é,0,
,0,
realizado de forma anônima. Não é necessário cadastrar o seu  email  para ter,0,
,0,
acesso aos resultados.,0,
,0,
aa,0,
,0,
Bem-vindo ao site da Dra Nadimme. Ao continuar navegando você concorda com nossa Política de Privacidade. SIM,0,
,0,
(11) 3230-0542  nadimme,0,
,0,
https://www.phqscreeners.com/select-screener,0,
https://dranadimme.com.br/novo/transtornos-mentais/ansiedade/,0,
https://bit.ly/3cRf3Zv,0,
https://dranadimme.com.br/,0,
https://dranadimme.com.br/politica-de-privacidade-lgpd/,0,
tel:+55 (11) 3230-0542,0,
mailto:nadimme.caloba@unifesp.br,0,
,0,
,0,
"DURANTE AS ÚLTIMAS 2 SEMANAS, COM QUE FREQÜÊNCIA VOCÊ FOI",0,
INCOMODADO/A PELOS PROBLEMAS ABAIXO?,0,
,0,
"1. Sentir-se nervoso/a, ansioso/a ou muito tenso/a",1,
,0,
Nenhuma vez,0,
,0,
Vários dias,0,
,0,
Mais da metade dos dias,0,
,0,
Quase todos os dias,0,
,0,
2. Não ser capaz de impedir ou de controlar as preocupações,1,
,0,
Nenhuma vez,0,
,0,
Vários dias,0,
,0,
Mais da metade dos dias,0,
,0,
Quase todos os dias,0,
,0,
3. Preocupar-se muito com diversas coisas,1,
,0,
Nenhuma vez,0,
,0,
Vários dias,0,
,0,
Mais da metade dos dias,0,
,0,
Quase todos os dias,0,
,0,
4. Di�culdade para relaxar,1,
,0,
Nenhuma vez,0,
,0,
Vários dias,0,
,0,
Mais da metade dos dias,0,
,0,
Quase todos os dias,0,
,0,
5. Ficar tão agitado/a que se torna difícil permanecer sentado/a,1,
,0,
Nenhuma vez,0,
,0,
Vários dias,0,
,0,
Mais da metade dos dias,0,
,0,
Quase todos os dias,0,
,0,
