Text,IsQuestion,Note
,0,
,0,
,0,
,0,
,0,
1,0,
,0,
,0,
,0,
PROJETO CONEXÃO 2018,0,
,0,
AGENDAMENTO,0,
CÓDIGO IDENTIFICADOR:,1,
,0,
,0,
,0,
|___|___|___|___|___|,0,
,0,
DATA:,1,
,0,
,0,
______/______/______,0,
,0,
HORÁRIO:,1,
,0,
,0,
_____:_____,0,
,0,
*000,0,
1*,0,
,0,
NOME DO JOVEM:,1,
,0,
,0,
,0,
,0,
FONE RES:,1,
(__ __) __ __ __ __ - __ __ __ __,0,
,0,
FONE COM:,1,
(__ __) __ __ __ __ - __ __ __ __,0,
,0,
NOME DO RESPONSÁVEL:,1,
,0,
,0,
,0,
CELULAR:,1,
,0,
(__ __) __ __ __ __ - __ __ __ __,0,
,0,
OUTRO:,1,
,0,
(__ __) __ __ __ __ - __ __ __ __,0,
,0,
ENDEREÇO:,1,
,0,
,0,
BAIRRO:,1,
,0,
,0,
,0,
,0,
,0,
ENTREVISTA,0,
,0,
ENTREVISTADOR(A): CPF:,1,
,0,
,0,
|___|___|___|.|___|___|___|.|___|___|___|.|___|___|,0,
,0,
DATA:,1,
,0,
,0,
____/____/____,0,
,0,
ASSINATURA: CÓDIGO ENTREVISTADOR:,1,
,0,
|___|___|,0,
,0,
,0,
,0,
VOLTAS DE CAMPO,0,
,0,
,0,
__________________,0,
,0,
,0,
__________________,0,
,0,
,0,
__________________,0,
,0,
,0,
__________________,0,
,0,
,0,
,0,
,0,
,0,
5r,0,
,0,
,0,
___________________________________________________________________________________________,0,
,0,
,0,
,0,
___________________________________________________________________________________________,0,
,0,
,0,
___________________________________________________________________________________________,0,
,0,
,0,
___________________________________________________________________________________________,0,
,0,
,0,
,0,
,0,
,0,
COORTE DE ALTO RISCO – REAVALIAÇÃO 6 ANOS (W2),0,
,0,
Protocolo Domiciliar (<18anos),0,
,0,
INFORMAÇÕES DO ENTREVISTADO COM CÓDIGO DE BARRAS,0,
,0,
,0,
[PARA USO DO ENTREVISTADOR],0,
ANTES DE SAIR PARA CAMPO CONFIRA:,1,
,0,
,0,
CERTIFIQUE-SE DE QUE VOCÊ ESTÁ LEVANDO:,1,
,0,
(1) O TCLE AVULSO PARA DEIXAR COM O ENTREVISTADO,0,
(2) O MATERIAL DE APOIO DO PROTOCOLO DAWBA,0,
(3) O SEU MATERIAL DE ESTÍMULO,0,
(4) GRAVADOR DE ÁUDIO,0,
(5) TABLET,0,
(6) MAPA DOS CENTROS DE PESQUISA,0,
(7) UMA CÓPIA IMPRESSA DO PROTOCOLO DE PESQUISA,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
2,0,
,0,
,0,
,0,
,0,
,0,
INSTRUÇÕES GERAIS,0,
1. AS INSTRUÇÕES PARA VOCÊ CONDUZIR A ENTREVISTA SÃO PRECEDIDAS DO CHAMADO,0,
,0,
"[ENTREVISTADOR], COM AS INSTRUÇÕES EM CAIXA ALTA EM ITÁLICO. ESSAS INSTRUÇÕES NÃO",0,
,0,
"DEVEM SER LIDAS AO ENTREVISTADO, SÃO INSTRUÇÕES DE COMO VOCÊ DEVE CONDUZIR A",0,
,0,
ENTREVISTA.,0,
,0,
,0,
,0,
,0,
2. As instruções ao entrevistado (explicações sobre as perguntas) são precedidas da,0,
instrução [LEIA] em itálico. Essas instruções são as que você deve ler ao entrevistado,0,
exatamente como estão colocadas no questionário. Você não pode mudar a instrução ao,0,
entrevistado mas você deve dar entonação à pergunta e usar um linguajar coloquial.,0,
,0,
,0,
,0,
,0,
"3. Para tornar a entrevista mais pessoal, as perguntas sempre devem incluir o nome",0,
habitual do jovem quando estiver indicado no texto [NOME DO JOVEM]. Quando nos,0,
"referirmos à “o jovem” na entrevista, certifique-se que o respondente está falando do",0,
jovem índice (acerca de quem foi a entrevista anterior) e não de outro de seus filhos.,0,
,0,
,0,
,0,
,0,
4. As setas  (pulo na próxima questão) e ↓ (continuação abaixo) indicam para qual,0,
,0,
questão você deve ir ou os pulos do questionário.,0,
,0,
,0,
,0,
,0,
"5. Quando não houver indicação de pulo, você deve seguir a ordem normal do questionário.",0,
,0,
,0,
,0,
,0,
,0,
"6. As questões condicionadas, isto é, aquelas que só serão perguntadas dependendo da",0,
"resposta anterior, estão marcadas em quadros cinza pontilhados para facilitar o pulo para",0,
