Text,IsQuestion,
,0,
41,0,
,0,
Screen for Child Anxiety Related Disorders (SCARED),0,
,0,
Child Version - Page 1 of 2 (To be filled out by the CHILD),0,
,0,
Name: ______________________ Date: __________________________,0,
,0,
Directions:,0,
Below is a list of sentences that describe how people feel. Read each phrase and decide if it is,0,
“Not True or Hardly Ever True” or “Somewhat True or Sometimes True” or “Very True or Often,0,
"True” for you.  Then for each sentence, fill in one circle that corresponds to the response that",0,
seems to describe you for the last 3 months.,0,
,0,
0,0,
Not True,0,
or Hardly,0,
Ever True,0,
,0,
1,0,
Somewhat,0,
,0,
True or,0,
Sometimes,0,
,0,
TRUE,0,
,0,
2,0,
Very True,0,
or Often,0,
,0,
TRUE,0,
,0,
"1. When I feel frightened, it is hard for me to breathe o o o",1,
,0,
2. I get headaches when I am at school o o o,1,
,0,
3. I don’t like to be with people I don’t know well o o o,1,
,0,
4. I get scared if I sleep away from home o o o,1,
,0,
5. I worry about other people liking me o o o,1,
,0,
"6. When I get frightened, I feel like passing out o o o",1,
,0,
7. I am nervous o o o,1,
,0,
8. I follow my mother or father wherever they go o o o,1,
,0,
9. People tell me that I look nervous o o o,1,
,0,
10. I feel nervous with people I don’t know well o o o,1,
,0,
11. My I get stomachaches at school o o o,1,
,0,
"12. When I get frightened, I feel like I am going crazy o o o",1,
,0,
13. I worry about sleeping alone o o o,1,
,0,
14. I worry about being as good as other kids o o o,1,
,0,
"15. When I get frightened, I feel like things are not real o o o",1,
,0,
16,0,
I have nightmares about something bad happening to my par-,1,question splitted in two lines
ents,1,question splitted in two lines
,0,
o o o,0,
,0,
17. I worry about going to school o o o,1,
,0,
"18. When I get frightened, my heart beats fast o o o",1,
,0,
19. I get shaky o o o,1,
,0,
20. I have nightmares about something bad happening to me o o o,1,
,0,
,0,
,0,
42,0,
,0,
"*For children ages 8 to 11, it is recommended that the clinician explain all questions, or have the child",0,
answer the questionnaire sitting with an adult in case they have any questions.,0,
,0,
0,0,
Not True,0,
or Hardly,0,
Ever True,0,
,0,
1,0,
Somewhat,0,
,0,
True or,0,
Sometimes,0,
,0,
TRUE,0,
,0,
2,0,
Very True,0,
