Text,IsQuestion,comment
,0,
,0,
,0,
1,0,
,0,
,0,
,0,
PROJETO CONEXÃO 2018,0,
,0,
AGENDAMENTO,0,
CÓDIGO IDENTIFICADOR:,0,
,0,
,0,
,0,
|___|___|___|___|___|,0,
,0,
DATA:,0,
,0,
,0,
______/______/______,0,
,0,
HORÁRIO:,0,
,0,
,0,
_____:_____,0,
,0,
,0,
,0,
NOME DO JOVEM:,0,
,0,
,0,
,0,
,0,
FONE RES:,0,
,0,
(__ __) __ __ __ __ - __ __ __ __,0,
,0,
FONE COM:,0,
,0,
(__ __) __ __ __ __ - __ __ __ __,0,
,0,
NOME DO RESPONSÁVEL:,0,
,0,
,0,
CELULAR:,0,
,0,
(__ __) __ __ __ __ - __ __ __ __,0,
,0,
OUTRO:,0,
(__ __) __ __ __ __ - __ __ __ __,0,
,0,
ENDEREÇO:,0,
,0,
,0,
BAIRRO:,0,
,0,
,0,
,0,
,0,
,0,
ENTREVISTA,0,
,0,
PSICÓLOGO (A): CPF:,0,
,0,
,0,
|___|___|___|.|___|___|___|.|___|___|___|.|___|___|,0,
,0,
DATA:,0,
,0,
,0,
____/____/____,0,
,0,
ASSINATURA: CÓDIGO PSICÓLOGO:,0,
,0,
|___|___|,0,
,0,
,0,
,0,
VOLTAS DE CAMPO,0,
,0,
,0,
__________________,0,
,0,
,0,
__________________,0,
,0,
,0,
__________________,0,
,0,
,0,
__________________,0,
,0,
,0,
,0,
,0,
,0,
COMENTÁRIOS DE CAMPO,0,
,0,
,0,
,0,
________________________________________________________________________________________,0,
,0,
,0,
________________________________________________________________________________________,0,
,0,
,0,
________________________________________________________________________________________,0,
,0,
,0,
,0,
________________________________________________________________________________________,0,
,0,
,0,
,0,
,0,
,0,
COORTE DE ALTO RISCO – REAVALIAÇÃO 6 ANOS (W2),0,
,0,
PSICÓLOGOS (<18 anos),0,
,0,
,0,
,0,
,0,
[PARA USO DO PSICÓLOGO],0,
ANTES DE SAIR PARA CAMPO CONFIRA:,0,
,0,
,0,
,0,
CERTIFIQUE-SE DE QUE VOCÊ ESTÁ LEVANDO:,0,
,0,
(1) O material de apoio DAWBA;,0,
(2) O seu material de estímulo;,0,
(3) Os blocos de Corsi;,0,
(4) O computador para testagem cognitiva.,0,
(5) Balança e fita métrica,0,
(6) Gravador de áudio,0,
(7) Lápis e borracha e folha do teste de escrita,0,
(8) Conferir funcionamento do cronometro do celular,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
2,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
IDENTIFICAÇÃO,0,
,0,
[PSICÓLOGO] CERTIFIQUE-SE DE QUE O JOVEM QUE SERÁ ENTREVISTADA É DE FATO A MESMO JOVEM QUE FOI,0,
,0,
ENTREVISTADA 3 ANOS ATRÁS.,0,
,0,
,0,
[PSICÓLOGO]  NOME DEVE ESTAR COMPLETO E EXATAMENTE GRAFADO COMO É ESCRITO NA IDENTIDADE OU,0,
,0,
"CERTIDÃO DE NASCIMENTO. ESCREVA EM LETRA DE FORMA (MAIÚSCULA), LEGÍVEL, SEM ABREVIAÇÕES, SEM ACENTOS",0,
,0,
"E SEM “Ç”, DEIXANDO UM QUADRADO DE ESPAÇO ENTRE NOME, SEGUNDO NOME E SOBRENOMES.",0,
,0,
,0,
,0,
CHECAGEM DE DADOS DE IDENTIFICAÇÃO,0,
,0,
Nome1 – Nome completo do jovem (conforme identidade),0,
,0,
|____|____|____|____|____|____|____|____|____|____|____|____|____|____|____|____|____|____|____|____|,0,
,0,
|____|____|____|____|____|____|____|____|____|____|____|____|____|____|____|____|____|____|____|____|,0,
,0,
,0,
,0,
Nome2 – Nome completo da mãe biológica (conforme identidade),0,
,0,
|____|____|____|____|____|____|____|____|____|____|____|____|____|____|____|____|____|____|____|____|,0,
,0,
|____|____|____|____|____|____|____|____|____|____|____|____|____|____|____|____|____|____|____|____|,0,
,0,
,0,
(  ) 99 Mãe desconhecida,0,
,0,
,0,
,0,
Nome3 – Nome completo do pai biológico (conforme identidade),0,
,0,
|____|____|____|____|____|____|____|____|____|____|____|____|____|____|____|____|____|____|____|____|,0,
,0,
|____|____|____|____|____|____|____|____|____|____|____|____|____|____|____|____|____|____|____|____|,0,
,0,
(  ) 99 Pai biológico desconhecido,0,
,0,
,0,
,0,
Nome5 – Nome do psicólogo,0,
,0,
