Text,IsQuestion,comment
,0,
Strengths and Difficulties Questionnaire,0,
,0,
"For each item, please mark the box for Not True, Somewhat True or Certainly True.  It would help us if you answered all items as",0,
best you can even if you are not absolutely certain or the item seems daft!  Please give your answers on the basis of the child's,0,
behaviour over the last six months or this school year.,0,
,0,
Child's Name ..............................................................................................               Male/Female,1,
,0,
Date of Birth...........................................................,1,
,0,
Considerate of other people's feelings □ □ □,1,
"Restless, overactive, cannot stay still for long □ □ □",1,
"Often complains of headaches, stomach-aches or sickness □ □ □",1,
"Shares readily with other children (treats, toys, pencils etc.) □ □ □",1,
Often has temper tantrums or hot tempers □ □ □,1,
"Rather solitary, tends to play alone □ □ □",1,
"Generally obedient, usually does what adults request □ □ □",1,
"Many worries, often seems worried □ □ □",1,
"Helpful if someone is hurt, upset or feeling ill □ □ □",1,
Constantly fidgeting or squirming □ □ □,1,
Has at least one good friend □ □ □,1,
Often fights with other children or bullies them □ □ □,1,
"Often unhappy, down-hearted or tearful □ □ □",1,
Generally liked by other children □ □ □,1,
"Easily distracted, concentration wanders □ □ □",1,
"Nervous or clingy in new situations, easily loses confidence □ □ □",1,
Kind to younger children □ □ □,1,
Often lies or cheats □ □ □,1,
Picked on or bullied by other children □ □ □,1,
"Often volunteers to help others (parents, teachers, other children) □ □ □",1,
Thinks things out before acting □ □ □,1,
"Steals from home, school or elsewhere □ □ □",1,
Gets on better with adults than with other children □ □ □,1,
"Many fears, easily scared □ □ □",1,
"Sees tasks through to the end, good attention span □ □ □",1,
,0,
Not,0,
TRUE,0,
,0,
Somewhat,0,
TRUE,0,
,0,
Certainly,0,
TRUE,0,
,0,
"© Robert Goodman, 2005",0,
,0,
Date ...........................................................................,1,
,0,
Parent/Teacher/Other (please specify:),0,
,0,
Signature ...........................................................................,1,
,0,
Thank you very much for your help,0,
,0,
,0,
U:\\french\\parent double sided template.wpd,0,
spchheh,0,
D:20060404183322+01'00',0,
D:20060404183322+01'00',0,
Strengths and Difficulties Questionnaire,0,
"For each item, please mark the box for Not True, Somewhat True or Certainly True.  It would help us if you answered all items as best you can even if you are not absolutely certain or the item seems daft!  Please give your answers on the basis of the child's behaviour over the last six months or this school year.",0,
Child's Name ..............................................................................................,1,
Male/Female,1,
Date of Birth...........................................................,1,
Considerate of other people's feelings,1,
□,0,
□,0,
□,0,
"Restless, overactive, cannot stay still for long",1,
□,0,
□,0,
□,0,
"Often complains of headaches, stomach-aches or sickness",1,
□,0,
□,0,
□,0,
"Shares readily with other children (treats, toys, pencils etc.)",1,
□,0,
□,0,
□,0,
Often has temper tantrums or hot tempers,1,
□,0,
□,0,
□,0,
"Rather solitary, tends to play alone",1,
□,0,
□,0,
□,0,
"Generally obedient, usually does what adults request",1,
□,0,
□,0,
□,0,
"Many worries, often seems worried",1,
□,0,
□,0,
□,0,
"Helpful if someone is hurt, upset or feeling ill",1,
□,0,
□,0,
□,0,
Constantly fidgeting or squirming,1,
□,0,
□,0,
□,0,
Has at least one good friend,1,
□,0,
□,0,
□,0,
Often fights with other children or bullies them,1,
□,0,
□,0,
□,0,
"Often unhappy, down-hearted or tearful",1,
□,0,
□,0,
□,0,
Generally liked by other children,1,
□,0,
□,0,
□,0,
"Easily distracted, concentration wanders",1,
□,0,
□,0,
□,0,
"Nervous or clingy in new situations, easily loses confidence",1,
□,0,
□,0,
□,0,
Kind to younger children,1,
□,0,
□,0,
□,0,
Often lies or cheats,1,
□,0,
□,0,
□,0,
Picked on or bullied by other children,1,
□,0,
□,0,
□,0,
"Often volunteers to help others (parents, teachers, other children)",1,
□,0,
□,0,
□,0,
Thinks things out before acting,1,
□,0,
□,0,
□,0,
"Steals from home, school or elsewhere",1,
□,0,
□,0,
□,0,
Gets on better with adults than with other children,1,
□,0,
□,0,
□,0,
"Many fears, easily scared",1,
□,0,
□,0,
□,0,
"Sees tasks through to the end, good attention span",1,
□,0,
□,0,
□,0,
Not,0,
TRUE,0,
Somewhat,0,
TRUE,0,
Certainly,0,
TRUE,0,
"© Robert Goodman, 2005",0,
Date ...........................................................................,1,
Parent/Teacher/Other (please specify:),0,
Signature ...........................................................................,0,
Thank you very much for your help,0,
