Text,IsQuestion,comment
,0,
"Center for Epidemiologic Studies Depression Scale (CES-D), NIMH",0,
,0,
Below is a list of the ways you might have felt or behaved. Please tell me how often you have felt this way during the past week.,0,
,0,
During the Past,0,
Week,0,
,0,
Rarely or none of,0,
the time (less than,0,
,0,
1 day ),0,
,0,
Some or a,0,
little of the,0,
time (1-2,0,
,0,
days),0,
,0,
Occasionally or a,0,
moderate amount of time,0,
,0,
(3-4 days),0,
,0,
Most or all of,0,
the time (5-7,0,
,0,
days),0,
,0,
1.  I was bothered by things that usually,1,question splitted in two lines
don’t bother me.,1,question splitted in two lines
2.  I did not feel like eating; my appetite,1,question splitted in two lines
was poor.,1,question splitted in two lines
3.  I felt that I could not shake off the,1,question splitted in three lines
blues even with help from my family or,1,question splitted in three lines
friends.,1,question splitted in three lines
4.  I felt I was just as good as other,1,question splitted in two lines
people.,1,question splitted in two lines
5.  I had trouble keeping my mind on,1,question splitted in two lines
what I was doing.,1,question splitted in two lines
6.  I felt depressed.,1,
,0,
7.  I felt that everything I did was an,1,question splitted in two lines
effort.,1,question splitted in two lines
8.  I felt hopeful about the future.,1,
,0,
9.  I thought my life had been a failure.,1,
,0,
10.  I felt fearful.,1,
,0,
11.  My sleep was restless.,1,
,0,
12.  I was happy.,1,
,0,
13.  I talked less than usual.,1,
,0,
14.  I felt lonely.,1,
,0,
15.  People were unfriendly.,1,
,0,
16.  I enjoyed life.,1,
,0,
17.  I had crying spells.,1,
,0,
18.  I felt sad.,1,
,0,
19.  I felt that people dislike me.,1,
,0,
20.  I could not get “going.”,1,
,0,
"SCORING: zero for answers in the first column, 1 for answers in the second column, 2 for answers in the third column, 3 for",0,
"answers in the fourth column.  The scoring of positive items is reversed.  Possible range of scores is zero to 60, with the higher",0,
scores indicating the presence of more symptomatology.,0,
