Text,IsQuestion,
,0,
1,0,
,0,
QUESTIONÁRIO DE HUMOR E SENTIMENTOS (MFQ Short),0,
[LEIA] Este questionário é sobre como você pode estar se sentindo ou agindo recentemente.,0,
,0,
"Para cada pergunta, por favor diga como você esteve se sentindo ou agindo nas últimas duas semanas.",0,
,0,
"Se a frase não for verdadeira sobre você, diga NÃO É VERDADE.",0,
"Se a frase for verdadeira apenas às vezes, diga ÀS VEZES.",0,
"Se a frase for verdadeira sobre você na maior parte do tempo, diga VERDADE.",0,
,0,
[PSICO] Pontue o MFQ da seguinte forma:,0,
,0,
NÃO É VERDADE = 0,0,
ÀS VEZES = 1,0,
VERDADE = 2,0,
,0,
,0,
,0,
,0,
"Para preencher, por favor use “X” para cada afirmação?",1,
NAÕ É,0,
,0,
VERDADE ÀS VEZES VERDADE,0,
,0,
MFQ1 Eu me senti muito triste ou infeliz. (  ) 0 (  ) 1 (  ) 2,1,
,0,
MFQ2 Eu não consegui me divertir com absolutamente nada. (  ) 0 (  ) 1 (  ) 2,1,
,0,
MFQ3 Eu me senti tão cansado(a) que só ficava sentado(a) sem,1,question splitted in two lines
fazer nada. (  ) 0 (  ) 1 (  ) 2,1,question splitted in two lines
,0,
MFQ4 Eu estive muito agitado(a). (  ) 0 (  ) 1 (  ) 2,1,
,0,
MFQ5 Eu senti que eu não valia mais nada. (  ) 0 (  ) 1 (  ) 2,1,
,0,
MFQ6 Eu chorei muito. (  ) 0 (  ) 1 (  ) 2,1,
,0,
MFQ7 Eu achei difícil raciocinar ou me concentrar. (  ) 0 (  ) 1 (  ) 2,1,
,0,
MFQ8 Eu me odiei. (  ) 0 (  ) 1 (  ) 2,1,
,0,
MFQ9 Eu me senti uma pessoa ruim. (  ) 0 (  ) 1 (  ) 2,1,
,0,
MFQ10 Eu me senti sozinho(a). (  ) 0 (  ) 1 (  ) 2,1,
,0,
MFQ11 Eu pensei que ninguém me amava de verdade. (  ) 0 (  ) 1 (  ) 2,1,
,0,
MFQ12 Eu pensei que eu nunca seria tão bom(boa) quanto as outras,1,question splitted in two lines
pessoas. (  ) 0 (  ) 1 (  ) 2,1,question splitted in two lines
,0,
MFQ13 Eu fiz tudo errado. (  ) 0 (  ) 1 (  ) 2,1,
