Text,IsQuestion,
,0,
PHQ-9 Depression,0,
,0,
"Over the last 2 weeks, how often have you",0,
been bothered by any of the following problems?,0,
(Use “s”” to indicate your answer”,0,
,0,
1. Little interest or pleasure in doing things................,1,
,0,
"2. Feeling down, depressed, or hopeless..................",1,
,0,
"3. Trouble falling or staying asleep, or sleeping too",1,
,0,
4. Feeling tired or having little energy................:0008,1,
,0,
5. Poor appetite or overeating...........ccccccccccecceeeceeenees,1,
,0,
6. Feeling bad about yourself — or that you are a failure,1,question splitted in two lines
or have let yourself or your family down................2.0..08,1,question splitted in two lines
,0,
"7. Trouble concentrating on things, such as reading the",1,question splitted in two lines
newspaper or watching television..................ececeeeeeees,1,question splitted in two lines
,0,
8. Moving or speaking so slowly that other people could,1,question splitted in three lines
have noticed? Or the opposite — being so fidgety or,1,question splitted in three lines
restless that you have been moving .around a lot more than,1,question splitted in three lines
,0,
9. Thoughts that you would be better off dead or of hurting,1,question splitted in two lines
yourself in SOME WAY......... 0 :eceec eee ececeeeneeeceeeaeneeenenens,1,question splitted in two lines
,0,
Column totals,0,
,0,
From the Primary Care Evaluation of Mental Disorders Patient Health Questionnaire (PRIME-MD PHQ). The PHQ,0,
"was developed by Drs. Robert L. Spitzer, Janet B.W. Williams, Kurt Kroenke and colleagues. For research",0,
"information, contact Dr. Spitzer at rls8@columbia.edu. PRIME-MD@® is a trademark of Pfizer Inc. Copyright© 1999",0,
,0,
Pfizer Inc. All rights reserved. Reproduced with permission,0,
,0,
,0,
,0,
More,0,
than Nearly,0,
Not at Several half the every,0,
all days days day,0,
0 1 2 3,0,
0 1 Z 3,0,
0 1 2 2,0,
0 1 2 3,0,
0 1 2 3,0,
0 1 2 3,0,
0 1 2 3,0,
0 1 2 3,0,
0 1 2 3,0,
+ +,0,
#NAME?,0,
