Text,IsQuestion
,0
Child Self-Report,0
,0
,0
,0
MOOD AND FEELINGS QUESTIONNAIRE: Long Version,0
,0
This form is about how you might have been feeling or acting recently.,0
,0
"For each question, please check () how you have been feeling or acting in the past two",0
weeks.,0
,0
"If a sentence was not true about you, check NOT TRUE.",0
"If a sentence was only sometimes true, check SOMETIMES.",0
"If a sentence was true about you most of the time, check TRUE.",0
,0
Score the MFQ as follows:,0
NOT TRUE = 0,0
SOMETIMES = 1,0
TRUE = 2,0
,0
,0
"To code, please use a checkmark () for each statement.",0
NOT,0
TRUE,0
,0
SOME,0
TIMES,0
,0
TRUE,0
,0
1. I felt miserable or unhappy.,1
,0
2. I didn’t enjoy anything at all.,1
,0
3. I was less hungry than usual.,1
,0
4. I ate more than usual.,1
,0
5. I felt so tired I just sat around and did nothing.,1
,0
6. I was moving and walking more slowly than usual.,1
,0
7. I was very restless.,1
,0
8. I felt I was no good anymore.,1
,0
9. I blamed myself for things that weren’t my fault.,1
,0
10. It was hard for me to make up my mind.,1
,0
11. I felt grumpy and cross with my parents.,1
,0
12. I felt like talking less than usual.,1
,0
13. I was talking more slowly than usual.,1
,0
14. I cried a lot.,1
,0
,0
,0
Child Self-Report,0
,0
,0
,0
15. I thought there was nothing good for me in the future.,1
,0
16. I thought that life wasn’t worth living.,1
,0
17. I thought about death or dying.,1
,0
18. I thought my family would be better off without me.,1
,0
19. I thought about killing myself.,1
,0
20. I didn’t want to see my friends.,1
,0
21. I found it hard to think properly or concentrate.,1
,0
22. I thought bad things would happen to me.,1
,0
23. I hated myself.,1
,0
24. I felt I was a bad person.,1
,0
25. I thought I looked ugly.,1
,0
26. I worried about aches and pains.,1
,0
27. I felt lonely.,1
,0
28. I thought nobody really loved me.,1
,0
29. I didn’t have any fun in school.,1
,0
30. I thought I could never be as good as other kids.,1
,0
31. I did everything wrong.,1
,0
32. I didn’t sleep as well as I usually sleep.,1
,0
33. I slept a lot more than usual.,1
,0
,0
,0
,0
,0
,0
,0
,0
"Copyright Adrian Angold & Elizabeth J. Costello, 1987; Developmental Epidemiology Program; Duke University",0
