Text,IsQuestion,comment
,0,
Questionário de Capacidades e Dificuldades – Auto-relato,0,
"Instruções: Esta entrevista cobre muitos tópicos em detalhes, mas",0,
"antes de nos concentrarmos nesses detalhes, nós gostaríamos que você",0,
preenchesse um breve questionário para nos dar uma visão geral sobre,0,
suas capacidades e dificuldades. Por favor responda todos os,0,
itens mesmo que você não tenha 100% de certeza de que as respostas,0,
estão certas. O quão bem cada afirmação descreve como você tem,0,
estado nos últimos 6 meses?,0,
,0,
Fa,0,
ls,0,
,0,
o,0,
,0,
M,0,
ai,0,
,0,
s,0,
ou,0,
,0,
m,0,
en,0,
,0,
os,0,
,0,
,0,
ve,0,
rd,0,
,0,
ad,0,
ei,0,
,0,
ro,0,
,0,
,0,
Ve,0,
rd,0,
,0,
ad,0,
ei,0,
,0,
ro,0,
,0,
,0,
EM,0,
O,0,
,0,
C,0,
IO,0,
,0,
N,0,
AL,0,
,0,
,0,
,0,
C,0,
O,0,
,0,
N,0,
D,0,
,0,
U,0,
TA,0,
,0,
,0,
,0,
H,0,
IP,0,
,0,
ER,0,
AT,0,
,0,
IV,0,
ID,0,
,0,
AD,0,
E,0,
,0,
SO,0,
C,0,
,0,
IA,0,
L,0,
,0,
PR,0,
Ó,0,
,0,
#NAME?,0,
O,0,
,0,
C,0,
IA,0,
,0,
L,0,
,0,
SDQ1. Tento ser legal com as outras pessoas. Eu me preocupo com,1,question splitted in two lines
os sentimentos dos outros 0 1 2,1,question splitted in two lines
"SDQ2. Sou inquieto/a, é difícil para mim ficar sentado por muito",1,question splitted in two lines
tempo 0 1 2,1,question splitted in two lines
"SDQ3. Muitas vezes tenho dor de cabeça, dor de barriga ou enjôo 0 1 2",1,
SDQ4. Geralmente me disponho a dividir com os outros (ex. comida,1,question splitted in two lines
ou bebida) 0 1 2,1,question splitted in two lines
SDQ5. Fico muito bravo/a e geralmente perco a paciência 0 1 2,1,
SDQ6. Prefiro estar sozinho/a do que com outras pessoas 0 1 2,1,
SDQ7. Geralmente estou disposto/a a fazer o que as outras pessoas,1,question splitted in two lines
querem 2 1 0,1,question splitted in two lines
"SDQ8. Tenho muitas preocupações, muitas vezes pareço",1,question splitted in two lines
preocupado/a com tudo 0 1 2,1,question splitted in two lines
"SDQ9. Tento ajudar se alguém parece magoado, aflito ou sentindo-",1,question splitted in two lines
se mal 0 1 2,1,question splitted in two lines
"SDQ10. Estou sempre agitado/a, balançando as pernas ou mexendo",1,question splitted in two lines
as mãos 0 1 2,1,question splitted in two lines
SDQ11. Eu tenho pelo menos um bom amigo ou amiga 2 1 0,1,
SDQ12. Brigo muito. Consigo fazer com que as pessoas façam o que,1,question splitted in two lines
eu quero 0 1 2,1,question splitted in two lines
"SDQ13. Frequentemente estou chateado/a, desanimado/a ou",1,question splitted in two lines
choroso/a 0 1 2,1,question splitted in two lines
SDQ14. Outras pessoas geralmente gostam de mim 2 1 0,1,
SDQ15. Facilmente perco a concentração 0 1 2,1,
SDQ16. Fico nervoso/a quando tenho que fazer alguma coisa,1,question splitted in two lines
"diferente, facilmente perco a confiança em mim mesmo 0 1 2",1,question splitted in two lines
SDQ17. Sou legal com crianças 0 1 2,1,
SDQ18. Frequentemente sou acusado/a de mentir ou trapacear 0 1 2,1,
"SDQ19. Outras pessoas ""pegam no meu pé"" ou fazem bullying",1,question splitted in two lines
comigo 0 1 2,1,question splitted in two lines
SDQ20. Frequentemente me ofereço para ajudar os outros (pessoas,1,question splitted in two lines
"da família, amigos, colegas) 0 1 2",1,question splitted in two lines
SDQ21. Penso antes de fazer as coisas 2 1 0,1,
"SDQ22. Pego para mim coisas que não são minhas, de casa, do",1,question splitted in two lines
trabalho ou de outros lugares 0 1 2,1,question splitted in two lines
SDQ23. Eu me dou melhor com pessoas mais velhas do que com,1,question splitted in two lines
pessoas da minha idade 0 1 2,1,question splitted in two lines
SDQ24. Sinto muito medo. Eu me assusto facilmente 0 1 2,1,
SDQ25. Consigo terminar as atividades que começo e prestar,1,question splitted in two lines
atenção 2 1 0,1,question splitted in two lines
SUB-TOTAIS,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
"SDQ26. De forma geral, você acha que você tem dificuldades em uma ou mais das seguintes",1,question splitted in three lines
"áreas: emoções, concentração, comportamento ou ser capaz de se relacionar com outras",1,question splitted in three lines
pessoas?,1,question splitted in three lines
,0,
,0,
Não Sim – pequenas,0,
dificuldades,0,
,0,
Sim – dificuldades bem,0,
definidas,0,
,0,
Sim – dificuldades,0,
graves,0,
,0,
(  ) 0 (  ) 1 (  ) 2 (  ) 3,0,
,0,
,0,
Pule para Seção A     SDQ26a,0,
,0,
SDQ26a. Há quanto tempo estas dificuldades existem?,1,
,0,
Menos de 1 mês 1-5 meses 6-12 meses Mais de 1 ano,1,
(  ) 0 (  ) 1 (  ) 2 (  ) 3,0,
,0,
,0,
,0,
SDQ26b. Estas dificuldades incomodam ou aborrecem você?,1,
,0,
Nada Um pouco Muito Extremamente,1,
(  ) 0 (  ) 1  (  ) 2 (  ) 3,0,
,0,
,0,
,0,
• Estas dificuldades atrapalham o seu dia-a-dia em alguma das situações abaixo?,1,
,0,
,0,
Nada Um pouco Muito Extremamente,1,question splitted in three lines
SDQ26c. Relacionamento com,1,question splitted in three lines
"pessoas próximas (ex. família,",1,question splitted in three lines
esposo/a),0,
,0,
(  ) 0,0,
,0,
,0,
(  ) 1,0,
,0,
,0,
(  ) 2,0,
,0,
,0,
(  ) 3,0,
,0,
,0,
SDQ26d. Fazer e manter amigos (  ) 0,1,
,0,
,0,
(  ) 1,0,
,0,
,0,
(  ) 2,0,
,0,
,0,
(  ) 3,0,
,0,
,0,
SDQ26e. Trabalho ou estudos (  ) 0,1,
,0,
,0,
(  ) 1,0,
,0,
,0,
(  ) 2,0,
,0,
,0,
(  ) 3,0,
,0,
,0,
SDQ26f. Coisas que você gosta de,1,question splitted in three lines
"fazer, esportes ou outras atividades de",1,question splitted in three lines
lazer,1,question splitted in three lines
,0,
(  ) 0,0,
,0,
,0,
(  ) 1,0,
,0,
,0,
(  ) 2,0,
,0,
,0,
(  ) 3,0,
,0,
,0,
,0,
,0,
SDQ26g. Estas dificuldades tornam as coisas mais difíceis para as pessoas que convivem,1,question splitted in two lines
"com você (família, amigos, etc.)?",1,question splitted in two lines
,0,
,0,
Nada Um pouco Muito Extremamente,1,
(  ) 0 (  ) 1 (  ) 2 (  ) 3,0,
