Text,IsQuestion,comment
,0,
Seção BEM - Escala de bem-estar mental Warwick-Edinbrugh,0,
,0,
,0,
,0,
Abaixo se encontram algumas afirmações sobre sentimentos e pensamentos.,0,
,0,
"Marque com um (X), por favor, cada uma das afirmações, a que se aproxima mais do modo como",0,
você tem se sentido nas últimas duas semanas.,0,
,0,
,0,
,0,
Nunca Raramente Algumas,0,
vezes Frequentemente Sempre,0,
,0,
BEM1 Tenho me sentido otimista com relação ao,1,question splitted in two lines
futuro (  ) 1  (  ) 2 (  ) 3 (  ) 4 (  ) 5,1,question splitted in two lines
,0,
BEM2 Tenho me sentido útil (  ) 1  (  ) 2 (  ) 3 (  ) 4 (  ) 5,1,
,0,
BEM3 Tenho me sentido tranquilo(a) (  ) 1  (  ) 2 (  ) 3 (  ) 4 (  ) 5,1,
,0,
BEM4 Tenho lidado bem com os problemas (  ) 1  (  ) 2 (  ) 3 (  ) 4 (  ) 5,1,question splitted in two lines
BEM5 Tenho pensado com clareza (  ) 1  (  ) 2 (  ) 3 (  ) 4 (  ) 5,1,question splitted in two lines
,0,
BEM6 Tenho me sentido próximo(a) às outras,1,question splitted in two lines
pessoas (  ) 1  (  ) 2 (  ) 3 (  ) 4 (  ) 5,1,question splitted in two lines
,0,
BEM7 Tenho sido capaz de tomar minhas próprias,1,question splitted in two lines
decisões (  ) 1  (  ) 2 (  ) 3 (  ) 4 (  ) 5,1,question splitted in two lines
