Text,IsQuestion,comment
,0,
3,0,
,0,
,0,
,0,
,0,
,0,
Short General Health Questionnaire (GHQ 12),0,
,0,
Have you recently?,1,
,0,
,0,
1. Been able to concentrate on what you’re doing? Better than usual Same as usual  Less than usual Much less than,1,question splitted in two lines
usual,1,question splitted in two lines
,0,
2. Lost much sleep over worry? Not at all No more than,1,question splitted in two lines
usual,1,question splitted in two lines
,0,
Rather more than,0,
usual,0,
,0,
Much more than,0,
usual,0,
,0,
3. Felt you were playing a useful part in things? More so than usual Same as usual Less useful than,1,
usual,1,
,0,
Much less useful,0,
,0,
4. Felt capable of making decisions about things? More so than usual Same as usual Less so than usual Much less capable,1,
5. Felt constantly under strain? Not at all No more than,1,
,0,
usual,0,
Rather more than,0,
usual,0,
,0,
Much more than,0,
usual,0,
,0,
6. Felt you couldn’t overcome your difficulties? Not at all No more than,1,question splitted in two lines
usual,1,question splitted in two lines
,0,
Rather more than,0,
usual,0,
,0,
Much more than,0,
usual,0,
,0,
7. Been able to enjoy your normal day-to-day activities? More so than usual Same as usual Less so than usual Much less than,1,question splitted in two lines
usual,1,question splitted in two lines
,0,
8. Been able to face up to your problems? More so than usual Same as usual Less so than usual Much less able,1,
9. Been feeling unhappy and depressed? Not at all No more than,1,
,0,
usual,0,
Rather more than,0,
usual,0,
,0,
Much more than,0,
usual,0,
,0,
10. Been losing confidence in yourself? Not at all No more than,1,question splitted in two lines
usual,1,question splitted in two lines
,0,
Rather more than,0,
usual,0,
,0,
Much more than,0,
usual,0,
,0,
11. Been thinking of yourself as a worthless person? Not at all No more than,1,question splitted in two lines
usual,1,question splitted in two lines
,0,
Rather more than,0,
usual,0,
,0,
Much more than,0,
usual,0,
,0,
"12. Been feeling reasonably happy, all things considered More so than usual About same as",1,question splitted in two lines
usual,1,question splitted in two lines
,0,
Less so than usual Much less than,0,
usual;,0,
