Text,IsQuestion
,0
Further information on the Malaise Inventory,0
,0
The Malaise Inventory is comprised of 24 self-completion items covering emotional and somatic,0
,0
"symptoms and is intended to measure psychological distress (Rutter, 1970). The Malaise Inventory",0
,0
"was derived from the Cornell Medical Index Health Questionnaire, which was comprised of 195 self-",0
,0
"completion items (Brodman et al., 1949). Each item in the Malaise Inventory has the response",0
,0
options yes or no.,0
,0
How are you feeling generally…,1
,0
1. Do you often have backache?,1
,0
2. Do you feel tired most of the time?,1
,0
3. Do you often feel miserable or depressed?,1
,0
4. Do you often have bad headaches?,1
,0
5. Do you often get worried about things?,1
,0
6. Do you usually have great difficulty in falling or staying asleep?,1
,0
7. Do you usually wake unnecessarily early in the morning?,1
,0
8. Do you wear yourself out worrying about your health?,1
,0
9. Do you often get in a violent rage?,1
,0
10. Do people often annoy and irritate you?,1
,0
"11. Have you at times had twitching of the face, head or shoulders?",1
,0
12. Do you often suddenly become scared for no good reason?,1
,0
13. Are you scared to be alone when there are no friends near you?,1
,0
14. Are you easily upset or irritated?,1
,0
15. Are you frightened of going out alone or of meeting people?,1
,0
16. Are you constantly keyed up and jittery?,1
,0
17. Do you suffer from indigestion?,1
,0
18. Do you suffer from an upset stomach?,1
,0
19. Is your appetite poor?,1
,0
20. Does every little thing get on your nerves and wear you out?,1
,0
21. Does your heart often race like mad?,1
,0
22. Do you often have bad pains in your eyes?,1
,0
23. Are you troubled with rheumatism or fibrositis?,1
,0
24. Have you ever had a nervous breakdown?,1
,0
The Malaise Inventory has a good level of internal consistency and its validity is robust across,1
,0
"different population groups (Rodgers et al., 1999). Consequently it has been widely used in",1
,0
population studies.,0
,0
References,0
,0
"Brodman, K., Erdmann, A., Lorge, I., Wolff, H., Broadbent, T., 1949. The Cornell Medical Index. An",0
"adjunct to medical interview. J. Am. Med. Assoc. 140, 530–534.",0
,0
"Rodgers, B., Pickles, A., Power, C., Collishaw, S., Maughan, B., 1999. Validity of the malaise inventory",0
"in general population samples. Soc. Psychiatry Psychiatr. Epidemiol. 34, 333–341.",0
,0
"Rutter, M., 1970. Education, health and behaviour. Longman, Harlow.",0
