Text,IsQuestion
,0
Seus vizinhos tomariam alguma,0
atitude se...,0
,0
Muito,0
provável,0
,0
Provável  Nem provável,0
nem,0
,0
improvável,0
,0
Improvável  Muito,0
improvável,0
,0
Não,0
sabe,0
,0
CS1.  As crianças faltarem na,1
escola e ficarem brincando na rua?,1
,0
,0
(   ) 1,0
,0
,0
(   ) 2,0
,0
,0
(   ) 3,0
,0
,0
(   ) 4,0
,0
,0
(   ) 5,0
,0
,0
(   ),0
99,0
,0
CS2.  Se as crianças estiverem,1
pichando um muro do bairro?,1
,0
,0
(   ) 1,0
,0
,0
(   ) 2,0
,0
,0
(   ) 3,0
,0
,0
(   ) 4,0
,0
,0
(   ) 5,0
,0
,0
(   ),0
99,0
,0
CS3.  Se as crianças estiverem,1
sendo mal educadas com um,1
adulto?,1
,0
,0
(   ) 1,0
,0
,0
(   ) 2,0
,0
,0
(   ) 3,0
,0
,0
(   ) 4,0
,0
,0
(   ) 5,0
,0
,0
(   ),0
99,0
,0
CS4.  Se acontecer uma briga em,1
frente a sua casa?,1
,0
,0
(   ) 1,0
,0
,0
(   ) 2,0
,0
,0
(   ) 3,0
,0
,0
(   ) 4,0
,0
,0
(   ) 5,0
,0
,0
(   ),0
99,0
,0
CS5.  Se houver diminuição do,1
número de postos de saúde ou,1
outros serviços essenciais no,1
bairro?,1
,0
,0
(   ) 1,0
,0
,0
(   ) 2,0
,0
,0
(   ) 3,0
,0
,0
(   ) 4,0
,0
,0
(   ) 5,0
,0
,0
(   ),0
99,0
