Text,IsQuestion
,0
,0
,0
INVENTÁRIO DEPRESSIVO DE BECK,0
,0
(Cotação das diversas questões),0
,0
CCOOTTAAÇÇÃÃOO,0
,0
A . ESTADO DE ÂNIMO TRISTE,0
,0
0   - Não me sinto triste,0
,0
1   - Ando “neura” ou triste,0
,0
2a - Sinto-me “neura” ou triste todo o tempo e não consigo evitá-lo,0
,0
2b - Estou tão triste ou infeliz que esse estado se torna penoso para mim,0
,0
3   - Sinto-me tão triste ou infeliz que não consigo suportar mais este estado,0
,0
B . PESSIMISMO,0
,0
0  - Não estou demasiado pessimista nem me sinto desencorajado em relação ao,0
,0
futuro,0
,0
1  - Sinto-me com medo do futuro,0
,0
2a - Sinto que não tenho nada a esperar do que surja no futuro,0
,0
2b - Creio que nunca conseguirei resolver os meus problemas,0
,0
3  - Não tenho qualquer esperança no futuro e penso que a minha situação não pode,0
,0
melhorar,0
,0
C . SENTIMENTO DE FRACASSO,0
,0
0  - Não tenho a sensação de ter fracassado,0
,0
1  - Sinto que tive mais fracassos que a maioria das pessoas,0
,0
2a - Sinto que realizei muito pouca coisa que tivesse valor ou significado,0
,0
2b - Quando analiso a minha vida passada tudo o que noto é uma imensidade de,0
,0
fracassos,0
,0
"3  - Sinto-me completamente fracassado como pessoa (pai, mãe, marido, mulher)",0
,0
D . INSATISFAÇÃO,0
,0
0  - Não me sinto descontente com nada em especial,0
,0
1a - Sinto-me aborrecido a maior parte do tempo,0
,0
1b - Não obtenho satisfação com as coisas que me alegravam antigamente,0
,0
2  - Nunca mais consigo obter satisfação seja com o que for,0
,0
3  - Sinto-me descontente com tudo,0
,0
E . SENTIMENTO DE CULPABILIDADE,0
,0
0  - Não me sinto culpado de nada em particular,0
,0
"1  - Sinto, grande parte do tempo, que sou mau ou que não tenho qualquer valor",0
,0
2a - Sinto-me bastante culpado,0
,0
"2b - Agora, sinto permanentemente que sou mau e não valho absolutamente nada",0
,0
3  - Considero que sou muito mau e não valho absolutamente nada,0
,0
F . SENTIMENTO DE PUNIÇÃO,0
,0
0  -  Não sinto que esteja a ser vítima de algum castigo,0
,0
,0
,0
,0
,0
1  - Tenho o pressentimento de que me pode acontecer alguma coisa de mal,0
,0
2  - Sinto que estou a ser castigado ou que em breve serei castigado,0
,0
3a - Sinto que mereço ser castigado,0
,0
3b - Quero ser castigado,0
,0
G - ÓDIO A SI MESMO,0
,0
0  - Não me sinto descontente comigo mesmo,0
,0
1a - Estou desiludido comigo mesmo,0
,0
1b - Não gosto de mim,0
,0
2  - Estou bastante desgostoso comigo mesmo,0
,0
3  - Odeio-me,0
,0
H - AUTO-ACUSAÇÕES,0
,0
0  - Não sinto que seja pior do que qualquer outra pessoa,0
,0
2  - Critico-me a mim mesmo pelas minhas fraquezas ou erros,0
,0
2  - Culpo-me das minhas próprias faltas,0
,0
3  - Acuso-me por tudo de mal que acontece,0
,0
I – DESEJOS SUICIDAS,0
,0
0  - Não tenho quaisquer ideias de fazer mal a mim mesmo,0
,0
"1  - Tenho ideias de pôr termo à vida, mas não sou capaz de as concretizar",0
,0
2a - Sinto que seria melhor morrer,0
,0
2b - Creio que seria melhor para a minha família se eu morresse,0
,0
3a - Tenho planos concretos sobre a forma como hei-de pôr termo à vida,0
,0
3b - Matar-me-ia se tivesse oportunidade,0
,0
] - CRISES DE CHORO,0
,0
0  -Actualmente não choro mais do que de costume,0
,0
1  - Choro agora mais do que costumava,0
,0
2  - Actualmente passo o tempo a chorar e não consigo parar de fazê-Io,0
,0
"3  - Costumava ser capaz de chorar, mas agora nem sequer consigo, mesmo",0
,0
quando tenho vontade,0
,0
K - IRRITABILIDADE,0
,0
0  - Não ando agora mais irritado do que de costume,0
,0
1  - Fico aborrecido ou irritado mais fàcilmente do que costumava,0
,0
2  Sinto-me permanentemente irritado,0
,0
3  - Já não consigo ficar irritado por coisas que me irritavam anteriormente,0
,0
L – AFASTAMENTO SOCIAL,0
,0
0  - Não perdi o interesse que tinha nas outras pessoas,0
,0
1  - Actualmente sinto menos interesse pelos outros do que costumava ter,0
,0
"2  - Perdi quase todo o interesse pelas outras pessoas, sentindo pouca simpatia por",0
,0
elas,0
,0
,0
,0
,0
,0
"3  - Perdi por completo o interesse pelas outras pessoas, não me importando",0
,0
absolutamente com nada,0
,0
a seu respeito,0
,0
M – INCAPACIDADE DE DECISÃO,0
