Text,IsQuestion
,0
,0
,0
,0
1,0
,0
,0
,0
,0
,0
,0
,0
ALAMEDA,0
"SANTOS, 2101",0
SÃO PAULO,0
,0
,0
INÍCIO:,0
,0
,0
_____:_____,0
,0
TÉRMINO:,0
,0
,0
_____:_____,0
,0
NÚMERO DO,0
QUESTIONÁRIO:,0
,0
,0
|____|____|____|____|,0
,0
JOB 090690 PREVENÇÃO  JULHO DE 2010,0
NOME DO ENTREVISTADO:,0
,0
,0
,0
DDD:,0
,0
FONE RES:,0
ENDEREÇO:,0
FONE COM:,0
,0
CELULAR:,0
e-mail:,0
,0
,0
BAIRRO: ZONA:,0
,0
ENTREVISTADOR(A): CPF:,0
,0
|___|___|___|.|___|___|___|.|___|___|___|.|___|___|,0
,0
DATA:,0
,0
_____/_____/ 10,0
,0
CRÍTICO(A): CPF:,0
,0
|___|___|___|.|___|___|___|.|___|___|___|.|___|___|,0
,0
DATA:,0
,0
_____/_____/ 10,0
,0
VERIFICADOR(A): CPF:,0
,0
|___|___|___|.|___|___|___|.|___|___|___|.|___|___|,0
,0
DATA:,0
,0
_____/_____/ 10,0
,0
CONTROLE DE QUALIDADE IBOPE RECRÍTICA: CPF:,0
,0
|___|___|___|.|___|___|___|.|___|___|___|.|___|___|,0
,0
DATA:,0
,0
_____/_____/ 10,0
,0
CONTROLE DE QUALIDADE IBOPE VERIFICAÇÃO: CPF:,0
,0
|___|___|___|.|___|___|___|.|___|___|___|.|___|___|,0
,0
DATA:,0
,0
_____/_____/ 10,0
,0
VOLTAS DE PROCESSAMENTO E CODIFICAÇÃO CÓDIGO DO CODIFICADOR:,0
,0
,0
|______|______|______|,0
,0
,0
VOLTAS DE CAMPO,0
,0
,0
,0
,0
COMENTÁRIOS DE CAMPO,0
,0
,0
,0
,0
PREVENTION,0
,0
Protocolo Domiciliar,0
,0
,0
,0
,0
,0
COLE A ETIQUETA AQUI,0
,0
,0
,0
,0
,0
,0
,0
,0
[PARA USO DO ENTREVISTADOR],0
ANTES DE SAIR PARA CAMPO CONFIRA:,0
,0
,0
(1) CERTIFIQUE-SE DE QUE VOCÊ ESTÁ LEVANDO:,0
,0
a. O PROTOCOLO DENTRO DO SACO PLÁSTICO GRANDE IDENTIFICADO,0
b. A ETIQUETA PARA COLAR NO LOCAL INDICADO ACIMA,0
c. OS 2 FRASCOS DE SALIVA DENTRO DO SACO PLÁSTICO PEQUENO IDENTIFICADO + 6 ETIQUETAS PEQUENAS,0
d. O TCLE AVULSO PARA DEIXAR COM O ENTREVISTADO,0
e. O MATERIAL DE APOIO DO PROTOCOLO DAWBA,0
,0
(2)  CERTIFIQUE-SE QUE TODAS AS ETIQUETAS POSSUEM O MESMO CÓDIGO IDENTIFICADOR,0
(3) CERTIFIQUE-SE DE QUE VOCÊ ESTÁ LEVANDO O SEU MATERIAL DE ESTÍMULO,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
2,0
,0
,0
,0
,0
,0
INSTRUÇÕES GERAIS,0
,0
,0
"1. AS INSTRUÇÕES PARA VOCÊ CONDUZIR A ENTREVISTA, SÃO SEMPRE PRECEDIDOS DO CHAMADO",0
"[ENTREVISTADOR], COM AS INSTRUÇÕES EM CAIXA ALTA EM ITÁLICO. ESSAS INSTRUÇÕES NÃO",0
"DEVEM SER LIDAS AO ENTREVISTADO, SÃO INSTRUÇÕES DE COMO VOCÊ CONDUZIR A ENTREVISTA.",0
,0
,0
,0
2. As instruções ao entrevistado (explicações sobre as perguntas) são precedidos da instrução,0
[LEIA] em itálico. Essas instruções são as que você deve ler ao entrevistado como estão,0
colocadas no questionário. Você não pode mudar a instrução ao entrevistado mas você,0
deve dar entonação à pergunta e usar um linguajar coloquial.,0
,0
,0
,0
"3. Para tornar a entrevista mais pessoal, as perguntas sempre devem incluir o nome habitual",0
da criança quando estiver indicado no texto [nome da criança]. Quando nos referirmos à “a,0
"criança” na entrevista, certifique-se que a mãe está falando da criança índice (criança",0
marcada na etiqueta) e não outro de seus filhos.,0
,0
,0
,0
4. As setas à (pulo na próxima página) e ↓ (continuação abaixo OU pulo abaixo) indicam,0
sempre para qual questão você deve ir ou os pulos do questionário.,0
,0
,0
,0
"5. Quando não houver indicação de pulo, você deve seguir a ordem normal do questionário",0
,0
,0
,0
,0
