Text,IsQuestion
,0
Millennium Cohort Study,0
Seventh Sweep (MCS7),0
Age 17 Survey,0
,0
Young Person Online (CAWI) Questionnaire,0
,0
Jan-20,0
,0
,0
,0
Contents,0
Introduction ......................................................................................................................... 3,0
,0
Personality and Attitudes ................................................................................................... 4,0
,0
Activities and Risky Behaviours ........................................................................................ 5,0
,0
Risk and Time Preference ................................................................................................ 14,0
,0
Identity ............................................................................................................................... 16,0
,0
Learning and Future ......................................................................................................... 19,0
,0
Life and Wellbeing ............................................................................................................ 24,0
,0
Index .................................................................................................................................. 29,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
Introduction,0
,0
INTROYPCAWI1,0
{DISPLAY TO ALL},0
Thank you for logging on to complete the online questionnaire.,0
,0
"Please make sure you have read the booklet we sent you, called “WHAT WOULD WE LIKE",0
"YOU TO DO? INFORMATION FOR STUDY MEMBERS”. If you don’t have it to hand, you can",0
"find a copy here. If you have any questions before you start the questionnaire, you can call",0
the team on 0808 202 2102 or email childnc@ipsos.com.,0
,0
,0
YPCAWIWELSH,0
{IF LIVES IN WALES: HQ.COUNTRY = 2},0
How are you completing the questionnaire today?,1
,0
1 Online,0
2 Over the phone with an interviewer,0
,0
,0
INTROYPCAWI2,0
{DISPLAY TO ALL},0
We’d like you to answer some questions about different things in your life. You can stop at,0
any time. It is not a test so there are no right or wrong answers. If you don’t want to answer,0
"a question that’s ok, you can skip it.  If you wish to go back and change an answer that",0
"you’ve given, click ‘Back’.  It usually takes about 15 minutes. Some of the questions are",0
about things that are personal so please make sure you fill in the questionnaire on your,0
own. We’d like to remind you that all the answers you give will be completely confidential.,0
We hope that you find the questions interesting and enjoy answering them.,0
,0
,0
,0
INTROYPCAWI3,0
{DISPLAY TO ALL},0
Some questions are about things that are more personal. Remember no-one in your family,0
will see your answers. If you come to a question that you don’t want to answer that’s ok.,0
You can skip it and move to the next one by pressing ‘next’.,0
,0
Some questions are about things that not all young people your age will have done. That’s,0
ok – we’re just as interested in what people haven’t done as well as what they have. It’s,0
important that you answer honestly.,0
,0
,0
,0
,0
,0
https://childnc.net/resources/,0
,0
,0
Personality and Attitudes,0
,0
,0
***SELF CONTROL,0
,0
BSCA-BSCD,0
"{ASK ALL, ASK AS A GRID}",0
Please read the following statements and for each choose the answer that best represents,0
you.,0
,0
GRID ROWS,0
BSCA I am good at resisting temptation,0
BSCB I find it hard to break bad habits,0
BSCC I wish I had more self-control,0
BSCD People would say that I have strong self-control,0
,0
GRID COLS,0
1 Not at all like me,0
2 A little bit like me,0
3 Somewhat like me,0
4 Mostly like me,0
5 Very much like me,0
,0
,0
,0
**ATTITUDES,0
OPPO-OPEN,0
"{ASK ALL, ASK AS A GRID}",0
The next set of questions is a list of opinions on different topics. Select the button that,0
corresponds with how much you agree or disagree with each statement.,0
,0
GRID ROWS,0
OPPO None of the political parties would do anything to benefit me,0
OPJO Having almost any job is better than being unemployed,0
OPCH Couples who have children should not separate,0
OPAB All women should have the right to choose to have an abortion if they wish,0
OPRA I would not mind if a family from another race moved in next door to me,0
OPRE I would not mind if a family from another religion moved in next door to me,0
OPEN Preserving the environment is more important than any other political issue today,0
,0
GRID COLS,0
1 Strongly agree,0
2 Agree,0
3 Neither agree or disagree,0
4 Disagree,0
5 Strongly disagree,0
,0
,0
,0
,0
,0
Activities and Risky Behaviours,0
,0
,0
***ACTIVITIES,0
,0
DISC-SPFD,0
