Text,IsQuestion
,0
,0
1,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
PREVENTION - Protocolo Escolar,0
,0
PSICÓLOGO,0
,0
,0
,0
[PARA USO DA COORDENAÇÃO – PREENCHER ANTES DE ENTREGAR],0
,0
IDENTIFICAÇÃO DO APLICADOR,0
,0
PSICO_Profissional (Nome do Aplicador),0
,0
|____|____|____|____|____|____|____|____|____|____|____|____|____|____|____|____|____|____|____|____|,0
,0
|____|____|____|____|____|____|____|____|____|____|____|____|____|____|____|____|____|____|____|____|,0
,0
,0
PSICO_ID: |____|____|,0
,0
,0
,0
,0
,0
,0
,0
,0
COLE A ETIQUETA AQUI,0
,0
,0
,0
,0
,0
,0
[PARA USO DO PSICÓLOGO],0
,0
ANTES DE SAIR PARA CAMPO CONFIRA:,0
,0
,0
(1) CERTIFIQUE-SE DE QUE VOCÊ ESTÁ LEVANDO:,0
a. O PROTOCOLO DENTRO DO SACO PLÁSTICO GRANDE IDENTIFICADO,0
b. A ETIQUETA PARA COLAR NO LOCAL INDICADO ACIMA,0
,0
(2) CERTIFIQUE-SE QUE TODAS AS ETIQUETAS POSSUEM O MESMO CÓDIGO IDENTIFICADOR E DO NOME DA CRIANÇA,0
"(3) CERTIFIQUE-SE DE QUE VOCÊ ESTÁ LEVANDO OS SEUS MATERIAIS DE ESTÍMULOS, 2 CANETAS, 2 LÁPIS GRAFITE,",0
,0
"APONTADOR, BORRACHA E CRONÔMETRO PESSOAL",0
,0
P_OCOR1. ANOTE AQUI ALGUMA OCORRÊCIA DE CAMPO QUE VOCÊ DESEJA RELATAR,0
,0
__________________________________________________________________________________________________________,0
,0
__________________________________________________________________________________________________________,0
,0
__________________________________________________________________________________________________________,0
,0
__________________________________________________________________________________________________________,0
,0
__________________________________________________________________________________________________________,0
,0
,0
,0
,0
2,0
,0
,0
,0
IDENTIFICAÇÃO e REGISTRO,0
,0
,0
[ENTREVISTADOR],0
"CONFIRA COM A CRIANÇA, O NOME DOS PAIS BIOLÓGICOS, ENDEREÇO E TELEFONES DA ETIQUETA",0
,0
"a. SE HOUVER TROCA DE ETIQUETA, COMUNIQUE IMEDIATAMENTE A EQUIPE INPD PELO TELEFONE",0
,0
,0
ANTES DE INICIAR A ENTREVISTA à  COLOQUE SEU CELULAR NO SILENCIOSO OU DESLIGUE,0
[DIGITADOR] NO CAMPO ID DIGITAR O IDENTIFICADOR DA ETIQUETA,0
[DIGITADOR] NO CAMPO ID [REPETIÇÃO] DIGITAR MAIS UMA VEZ O MESMO CÓDIGO IDENTIFICADOR,0
,0
[DIGITADOR] NO CAMPO “ORDEM” DIGITAR O NÚMERO DE ORDEM QUE ESTÁ NO CANTO DIREITO DA ETIQUETA,0
[DIGITADOR] NO CAMPO “ORDEM”[REPETIÇÃO] DIGITAR MAIS UMA VEZ O MESMO NÚMERO DE ORDEM (CANTO DA ETIQUETA),0
,0
P_REG5. Código da escola em que a criança estuda: ______,0
(  ) 99 ERRO DE REGISTRO / ESCOLA EM QUE A CRIANÇA ESTUDAVA NÃO ESTÁ NA LISTA à COMUNICAR SUPERVISOR,0
,0
Código Escolas Porto Alegre,0
01 EEEF Custódio de Mello 12 Col. Est. Francisco A Viera Caldas Jr,0
02 EEEM José do Patrocínio 13 Col Est. Eng. Ildo Meneghetti,0
03 EEEB Almirante Bacelar 14 Col. Est. Japão,0
04 EEEF Eva Carminatti 15 EEE Cel Aparício Borges,0
05 Almirante Álvaro A.Motta e Silva 16 Col Est. Odila Gay da Fonseca,0
06 Escola Brigadeiro Francisco Lima e Silva 17 EEEF Antão de Faria,0
07 EEEM Mariz e Barros 18 EEEM Itália,0
08 Dom Pedro I 19 C. Est. De E Med Raul Pilla,0
09 EEB Dolores Alcaraz Caldas 20 IE Dom Diogo de Souza,0
10 EEEF Julio Brunelli 21 EEEB Mons. Leopoldo Hoff,0
11 EEEF Prof. Edgar Luiz Schneider 22 Escola Dr. José Loureiro da Silva,0
,0
Código Escolas São Paulo,0
23 Adelina Issa Ashcar 41 Nossa Senhora Aparecida,0
24 Alcides Gonçalves 42 Oswaldo Walder,0
25 Prof.André Dreyfuss 43 Pandiá Calógeras,0
26 Annita Atalla 44 Prof Pedro Voss,0
27 Antonio Castelar de Franceschi 45 Raul Humaitá,0
