Text,IsQuestion
,0
1 I worry about things Never Sometimes Often Always,1
,0
2 I feel sad or empty Never Sometimes Often Always,1
,0
"3 When I have a problem, I get a funny feeling in my stomach Never Sometimes Often Always",1
,0
4 I worry when I think I have done poorly at something Never Sometimes Often Always,1
,0
5 I would feel afraid of being on my own at home Never Sometimes Often Always,1
,0
6 Nothing is much fun anymore Never Sometimes Often Always,1
,0
7 I feel scared when I have to take a test Never Sometimes Often Always,1
,0
8 I feel worried when I think someone is angry with me Never Sometimes Often Always,1
,0
9 I worry about being away from my parent Never Sometimes Often Always,1
,0
10 I am bothered by bad or silly thoughts or pictures in,1
my mind,1
,0
Never Sometimes Often Always,1
,0
11 I have trouble sleeping Never Sometimes Often Always,1
,0
12 I worry that I will do badly at my school work Never Sometimes Often Always,1
,0
13 I worry that something awful will happen to someone,1
in my family,1
,0
Never Sometimes Often Always,1
,0
14 I suddenly feel as if I can’t breathe when there is no,1
reason for this,0
,0
Never Sometimes Often Always,1
,0
15 I have problems with my appetite Never Sometimes Often Always,1
,0
16 I have to keep checking that I have done things right,1
"(like the switch is off, or the door is locked)",1
,0
Never Sometimes Often Always,1
,0
17 I feel scared if I have to sleep on my own Never Sometimes Often Always,1
,0
18 I have trouble going to school in the mornings,1
because I feel nervous or afraid,1
,0
Never Sometimes Often Always,1
,0
19 I have no energy for things Never Sometimes Often Always,1
,0
20 I worry I might look foolish Never Sometimes Often Always,1
,0
"RCADS—C h i l d / Y o u n g  P e r s o n                                                                                                   Questions © 2003 Bruce F. Chorpita, Ph.D",0
,0
NHS ID:,0
,0
Child/ Young Person’s NAME:,0
,0
,0
Date:  / / 20                                                      Time:   h  m,0
,0
Please put a circle around the word that shows how often each of these things happens to you.,1
There are no right or wrong answers.,1
,0
RCADS,0
,0
,0
,0
21 I am tired a lot Never Sometimes Often Always,0
,0
22 I worry that bad things will happen to me Never Sometimes Often Always,0
,0
23 I can’t seem to get bad or silly thoughts out of my head Never Sometimes Often Always,0
,0
"24 When I have a problem, my heart beats really fast Never Sometimes Often Always",0
,0
25 I cannot think clearly Never Sometimes Often Always,0
,0
26 I suddenly start to tremble or shake when there is no,0
reason for this,0
,0
Never Sometimes Often Always,0
,0
27 I worry that something bad will happen to me Never Sometimes Often Always,0
,0
"28 When I have a problem, I feel shaky Never Sometimes Often Always",0
,0
29 I feel worthless Never Sometimes Often Always,0
,0
30 I worry about making mistakes Never Sometimes Often Always,0
,0
31 I have to think of special thoughts (like numbers or,0
words) to stop bad things from happening,0
,0
Never Sometimes Often Always,0
,0
32 I worry what other people think of me Never Sometimes Often Always,0
,0
33 I am afraid of being in crowded places (like shopping,0
"centers, the movies, buses, busy playgrounds)",0
,0
Never Sometimes Often Always,0
,0
34 All of a sudden I feel really scared for no reason at all Never Sometimes Often Always,0
,0
35 I worry about what is going to happen Never Sometimes Often Always,0
,0
36 I suddenly become dizzy or faint when there is no,0
reason for this,0
,0
Never Sometimes Often Always,0
,0
37 I think about death Never Sometimes Often Always,0
,0
38 I feel afraid if I have to talk in front of my class Never Sometimes Often Always,0
,0
39 My heart suddenly starts to beat too quickly for no reason Never Sometimes Often Always,0
,0
40 I feel like I don’t want to move Never Sometimes Often Always,0
,0
41 I worry that I will suddenly get a scared feeling when,0
there is nothing to be afraid of,0
,0
Never Sometimes Often Always,0
,0
42 I have to do some things over and over again (like washing,0
"my hands, cleaning or putting things in a certain order)",0
,0
Never Sometimes Often Always,0
,0
43 I feel afraid that I will make a fool of myself in front,0
of people,0
,0
Never Sometimes Often Always,0
,0
44 I have to do some things in just the right way to stop,0
bad things from happening,0
,0
Never Sometimes Often Always,0
,0
45 I worry when I go to bed at night Never Sometimes Often Always,0
,0
46 I would feel scared if I had to stay away from,0
home overnight,0
,0
Never Sometimes Often Always,0
,0
47 I feel restless Never Sometimes Often Always,0
,0
"RCADS—C h i l d / Y o u n g  P e r s o n                                                                                                   Questions © 2003 Bruce F. Chorpita, Ph.D",0
