Text,IsQuestion
,0
1,0
,0
Adult Behavior Checklist,0
,0
ABCL5a. Aproximadamente quantos(as) amigos(as) próximos(as) ele(a) tem? (Não incluir pessoas da,1
família),0
(   ) 0 Nenhum,0
(   ) 1 Um,0
(   ) 2 Dois ou três,0
(   ) 4 Quatro ou mais,0
(   ) 99 NÃO SABE,0
,0
"ABCL5b. Aproximadamente, quantas vezes por mês ele(a) tem contato com qualquer um dos amigo(a)",1
"próximo(a)? (Incluir contatos pessoalmente, por telefonemas, cartas, e-mails.)",1
(   ) 0 Menos de um,0
(   ) 1 Um ou dois,0
(   ) 3 Três ou quatro,0
(   ) 5 Cinco ou mais,0
(   ) 99 NÃO SABE,0
,0
ABCL5c. Até que ponto ele(a) se dá bem com amigos(as) próximos?,1
(   ) 0 Não se dá bem,0
(   ) 1 Na média,0
(   ) 2 Acima da média,0
(   ) 3 Bem acima da média,0
(   ) 99 NÃO SABE,0
,0
"ABCL5d. Aproximadamente, quantas vezes por mês amigos ou familiares o (a) visitam?",1
(   ) 0 Menos de um,0
(   ) 1 Um ou dois,0
(   ) 3 Três ou quatro,0
(   ) 5 Cinco ou mais,0
(   ) 99 NÃO SABE,0
,0
ABCL6. Qual o estado civil dele(a)?,1
(   ) 0 Nunca foi casado,0
(   ) 1 Casado e vivendo com o(a) esposo(a),0
(   ) 2 Casado mas separado,0
(   ) 3 Divorciado(a),0
(   ) 4 Viúvo(a),0
(   ) 5 Outro:___________,0
(   ) 99 NÃO SABE,0
,0
"ABCL7. Em algum momento nos últimos seis meses, ele(a) viveu com um(a) esposo(a) ou companheiro(a)?",1
(   ) 1 Sim ↓ AB7a,0
(   ) 0 Não à AB8.,0
(   ) 99 NÃO SABE à AB8.,0
,0
,0
,0
,0
2,0
,0
"ABCL7a Agora por favor, circule 0, 1 ou 2 ao lado das afirmações abaixo para descrever o relacionamento",1
dele(a) nos últimos seis meses:,0
,0
,0
O jovem ... Não é,0
verdadeira,0
,0
Um pouco ou,0
algumas vezes,0
,0
verdadeira,0
,0
Muito ou,0
frequentement,0
e verdadeira,0
,0
ABCL7a1. Se dá bem com o esposo(a) ou companheiro(a) (  ) 0 (  ) 1 (  ) 2,0
ABCL7a2. Tem dificuldade em dividir responsabilidades com,0
esposo(a) ou companheiro(a) (  ) 0 (  ) 1 (  ) 2,0
,0
ABCL7a3. Parece satisfeito(a) com esposo(a) ou,0
companheiro(a) (  ) 0 (  ) 1 (  ) 2,0
,0
ABCL7a4. Gosta das mesmas atividades que o esposo(a) ou,0
companheiro(a) (  ) 0 (  ) 1 (  ) 2,0
,0
ABCL7a5. Discorda do esposo(a) ou companheiro(a) sobre,0
