Text,IsQuestion
,0
,0
,0
,0
,0
Adult Temperament Questionnaire (ATQ),0
,0
,0
,0
The Adult Temperament Questionnaire (ATQ) was adapted from the,0
,0
Physiological Reactions Questionnaire developed by Derryberry and Rothbart (1988).,0
,0
"Based upon the results from recent studies (Rothbart, Ahadi, & Evans, 2000; Evans &",0
,0
"Rothbart, 2007) we have formulated a self-report model of temperament that includes",0
,0
"general constructs of effortful control, negative affect (which can be further divided into",0
,0
"aggressive and nonaggressive negative affects) extraversion/surgency, orienting",0
,0
"sensitivity, and affiliativeness.",0
,0
References,0
,0
,0
,0
"Derryberry, D. & Rothbart, M.K. (1988).  Arousal, affect, and attention as components of",0
,0
"temperament.  Journal of Personality and Social Psychology, 55, 958-966.",0
,0
,0
,0
"Rothbart, M. K., Ahadi, S. A., & Evans D. E. (2000).  Temperament and personality:",0
,0
"Origins and outcomes.  Journal of Personality and Social Psychology, 78, 122-",0
,0
135,0
,0
"Evans, D. E., & Rothbart, M. K. (2007).  Development of a model for adult",0
,0
"temperament.  Journal of Research in Personality, 41, 868-888.",0
,0
"Evans, D. E., & Rothbart, M. K. (2008).  Temperamental sensitivity: Two constructs or",0
,0
"one? Personality and Individual Differences, 44, 108-118.",0
,0
"Evans, D. E., & Rothbart, M. K. (2007).  A Two-Factor Model of Temperament.",0
,0
Manuscript submitted.,0
,0
,0
,0
,0
,0
SCORING INSTRUCTION FOR ATQ LONG FORM (249 items),0
,0
,0
,0
,0
,0
UPDATED SEPTEMBER 2007,0
,0
,0
,0
Contact David Evans at David.Evans@Moffitt.org if you have any questions or need,0
,0
additional information.,0
,0
,0
,0
"For reliabilities and norms, etc., please refer to Evans and Rothbart (2007).",0
,0
,0
,0
,0
,0
,0
,0
Scoring Instructions for Evans & Rothbart (2007) ATQ long form,0
,0
"Reversed (R) Items:  After the initial coding of the questionnaire, reversed items",0
,0
"need to be reverse coded (i.e., a response of 1=7, 2=6, 3=5, 4=4, 5=3, 6=2, and 7=1).",0
,0
Items that are reversed are marked with an “R” next to their item number in the listing of,0
,0
items by scale.,0
,0
"Subscales/Subconstructs are listed in bold print.  To score the subscales, add all",0
,0
of the Likert-responses within a given scale together and divide by the number of valid,0
,0
item responses.,0
,0
"General Scales/Constructs are listed in capitalized, underlined print.  To score",0
,0
"general scales for the long form, add the AVERAGE Likert score from each subscale and",0
,0
then divide by the total number of items belonging to that scale.,0
,0
Item clusters are used to further differentiate the content of subscales and are,0
,0
listed in italics.  Not all of the main-scales are divided into item clusters.  If particular,0
,0
"item clusters are of interest, they can be scored in the same manner as the subscales.",0
,0
"However, in most instances, it is likely that the main scales and/or factor scales will be",0
,0
the variables of interest.,0
,0
mailto:David.Evans@Moffitt.org,0
,0
,0
Hierarchical Listing of Constructs and Table of Contents,0
,0
,0
General Scales underlined in bold print,0
,0
Subscales in bold print (not underlined),0
,0
Item Clusters in italics,0
,0
,0
NEGATIVE AFFECT (p. 4)  EFFORTFUL CONTROL  (p. 7),0
,0
Fear   (p. 4)  Inhibitory Control   (p. 7),0
,0
Primary Fear    Activation Control   (p. 7),0
,0
Secondary Fear    Attentional Control   (p. 8),0
,0
Sadness   (p. 4)  Attentional Shifting from Punishment,0
,0
Reactive Sadness    Attentional Shifting from Reward,0
,0
Endogenous Sadness   Attentional Focusing,0
,0
Discomfort  (p. 5)  Attentional Shifting,0
,0
Visual,0
,0
Auditory,0
,0
Tactile,0
,0
Olfactory-Gustatory,0
,0
Frustration  (p. 8),0
,0
Social Anger  (p. 9),0
,0
Aggression Control (p. 9),0
,0
EXTRAVERSION (p. 9)   ORIENTING REACTIVITY (p. 11),0
,0
Sociability  (p. 9)   Neutral Perceptual Sensitivity (p. 11),0
,0
Positive Affect  (p. 9)   Internal,0
,0
Frequency and Duration of Positive Affect  Visual,0
,0
Intensity of Positive Affect    Auditory,0
,0
Threshold for Positive Affect   Tactile,0
,0
High Pleasure  (p. 10)   Olfactory-Gustatory,0
,0
Intense Environmental Pleasure   Affective Perceptual Sensitivity (p. 12),0
,0
Intense Behavioral Pleasure   Aesthetic,0
,0
Novel Behavioral Pleasure   Social,0
,0
Associative Sensitivity  (p. 13),0
,0
AFFILIATIVNESS (p. 14)   Coherent,0
,0
Emotional Empathy (p. 14)   Intrusive,0
,0
Emotional Empathy t to Animals   Activity,0
,0
