Text,IsQuestion
,0
1,0
,0
Child Behavior Checklist,0
,0
"Comparando com outros jovens da mesma idade,",0
como seu filho/filha:  Pior Igual Melhor Não sabe/não,0
,0
se aplica,0
CB5a. ...se dá com os irmãos/irmãs? (  ) 1 (  ) 2 (  ) 3 (  ) 99,0
CB5b. ...se dá com outros adolescentes? (  ) 1 (  ) 2 (  ) 3 (  ) 99,0
CB5c. ...se comporta em relação aos pais? (  ) 1 (  ) 2 (  ) 3 (  ) 99,0
CB5d. ...brinca ou trabalha sozinho? (  ) 1 (  ) 2 (  ) 3 (  ) 99,0
,0
,0
,0
CB4. Comparando com outros jovens da,1
"mesma idade, como é o desempenho de",1
seu filho nas matérias escolares?,1
,0
Insuficiente,0
(abaixo da,0
,0
média exigida,0
pela escola),0
,0
Pior Igual Melhor,0
Não,0
,0
sabe/não,0
se aplica,0
,0
CB4a. Português ou Literatura (  ) 0 (  ) 1 (  ) 5 (  ) 10 (  ) 99,0
CB4b. História ou Estudos Sociais (  ) 0  (  ) 1 (  ) 5 (  ) 10 (  ) 99,0
CB4c. Matemática (  ) 0 (  ) 1 (  ) 5 (  ) 10 (  ) 99,0
CB4d. Ciências (  ) 0  (  ) 1 (  ) 5 (  ) 10 (  ) 99,0
CB4e. Geografia (  ) 0 (  ) 1 (  ) 5 (  ) 10 (  ) 99,0
CB4f. Inglês ou Espanhol (Língua,0
estrangeira) (  ) 0  (  ) 1 (  ) 5 (  ) 10 (  ) 99,0
,0
CB4g. Computação  (  ) 0 (  ) 1 (  ) 5 (  ) 10 (  ) 99,0
CB4h. Biologia (  ) 0  (  ) 1 (  ) 5 (  ) 10 (  ) 99,0
,0
,0
,0
,0
,0
0 = Não é verdadeiro (tanto quanto sabe) 1 = Um pouco verdadeira ou algumas vezes,0
verdadeira,0
,0
2 = Muito verdadeira ou,0
frequentemente verdadeira,0
,0
0 1 2 CL1. Comporta-se de maneira muito,0
infantil para sua idade  0 1 2 CL33. Acha ou reclama que ninguém,0
,0
gosta dele(a),0
,0
0 1 2 CL2. Toma bebida alcoólica sem a,0
permissão dos pais.  0 1 2 CL34. Acha que os outros o(a),0
,0
perseguem,0
,0
0 1 2 CL3. Argumenta muito para não fazer o,0
que querem que ele faça  0 1 2 CL35. Sente-se sem valor ou inferior,0
,0
0 1 2 CL4. Não termina as coisas que,0
"começa  0 1 2 CL36. Machuca-se com frequência,",0
,0
tem tendência a sofrer acidentes,0
0 1 2 CL5. Poucas coisas lhe dão prazer  0 1 2 CL37. Mete-se em muitas brigas,0
,0
0 1 2 CL6. Faz cocô na calça ou fora do vaso,0
sanitário  0 1 2 CL38. É alvo de muitas gozações,0
,0
