Text,IsQuestion
,0
"Using a scale from 1 to 10, where 1 means",0
“Strongly Disagree” and 10 means “Strongly,0
,0
"Agree”, please indicate how much you agree or",0
disagree with the following statements,0
,0
(Mean scores on a 1-10,0
scale),0
,0
(Mean scores on a 1-10,0
scale),0
,0
Women Men,0
1019 962,0
,0
,0
I don’t like to get overly involved in money matters  4.8 4.2,0
,0
I enjoy taking care of my financial affairs   7.0 7.8,0
,0
I don’t consider myself to be money savvy  5.0 4.5,0
,0
I know a lot about financial products and services,0
offered by financial institutions  5.1 5.9,0
,0
I know how to take advantage of all the different,0
things you can do with your money  5.2 6.0,0
It is important for me to keep well informed about,0
financial issues  6.3 7.1,0
,0
I always try to pay using cash or debit card  7.3 6.4,0
I’m comfortable borrowing against the equity in my,0
home  3.7 4.5,0
I have difficulty paying off my debt  3.4 2.9,0
,0
I am more of a ‘spender’ than a ‘saver’  4.2 3.8,0
,0
I can get what I want from many financial institutions  6.2 6.5,0
I would find it easy to change from one financial,0
institution to another  5.0 5.6,0
,0
I always actively look for new offers and check that I,0
am getting the best deal from my financial institution   4.7 5.3,0
,0
I go to the financial institution holding my product(s),0
first for a quote before switching  6.1 6.8,0
,0
Any time there’s a single company as the only,0
"supplier of a product or service, it’s bad for the",0
customer  6.4 7.2,0
I prefer to have my business with one financial,0
institution if possible   7.4 6.7,0
,0
I find banking and personal finance interesting and,0
know quite a lot about it  5.5 6.3,0
Tend to stick to the FI you know 8.7 8.0,0
I feel confident that I will have enough money to retire,0
comfortably  6.1 6.8,0
,0
,0
,0
"Using a scale from 1 to 10, where 1 means",0
“Strongly Disagree” and 10 means “Strongly,0
,0
"Agree”, please indicate how much you agree or",0
disagree with the following statements,0
,0
(Mean scores on a 1-10,0
scale),0
,0
(Mean scores on a 1-10,0
scale),0
,0
Women Men,0
1019 962,0
,0
I am satisfied with my household’s current financial,0
situation  6.0 6.6,0
I am comfortable when I have to negotiate  5.4 6.1,0
I believe in paying more to get better quality  5.2 5.5,0
I’ll go to whatever financial institution gives me the,0
best deal  6.3 6.7,0
I like to do things on the spur of the moment  5.1 4.5,0
I don’t like to invest in the stock market because it is,0
too risky  6.3 5.5,0
