Text,IsQuestion
,0
,0
,0
MacLean Screening Instrument for BPD,0
,0
,0
,0
,0
,0
1.  Have any of your closest relationships been troubled  Yes____No____,1
by a lot of arguments or repeated breakups?,1
,0
"2. Have you deliberately hurt yourself physically (e.g., Yes____No____",1
"punched yourself, cut yourself, burned yourself)?",1
How about made a suicide attempt?,1
,0
3. Have you had at least two other problems with  Yes____No____,1
"impulsivity (e.g., eating binges and spending",1
"sprees, drinking too much and verbal outbursts)?",1
,0
4. Have you been extremely moody? Yes____No____,1
,0
5. Have you felt very angry a lot of the time? How Yes____No____,1
about often acted in an angry or sarcastic manner?,1
,0
6. Have you often been distrustful of other people? Yes____No____,1
,0
7. Have you frequently felt unreal or as if things around  Yes____No____,1
you were unreal?,1
,0
8. Have you chronically felt empty? Yes____No____,1
,0
9. Have you often felt that you had no idea of who you Yes____No____,1
are or that you have no identity?,0
,0
10.  Have you made desperate efforts to avoid feeling  Yes____No____,1
"abandoned or being abandoned (e.g., repeatedly called",0
"someone to reassure yourself that he or she still cared,",0
"begged them not to leave you, clung to them physically)?",1
