Text,IsQuestion
,0
,0
,0
,0
,0
1,0
,0
1,0
,0
,0
,0
,0
ALAMEDA,0
"SANTOS, 2101",0
SÃO PAULO,0
,0
INSERIR NOME DO,0
FORNECEDOR,0
(PELO CAMPO),0
,0
INÍCIO:,0
,0
,0
____:____,0
,0
TÉRMINO:,0
,0
,0
_____:_____,0
,0
NÚMERO DO,0
QUESTIONÁRIO:,0
,0
,0
|____|____|____|__,0
__|,0
,0
JOB Nº 090690  Prevenção,0
,0
NOME DO ENTREVISTADO:,0
,0
,0
,0
DDD:,0
,0
FONE RES:,0
,0
ENDEREÇO:,0
,0
,0
FONE COM:,0
,0
CELULAR:,0
,0
e-mail:,0
,0
,0
BAIRRO: ZONA:,0
,0
ENTREVISTADOR(A): CPF:,0
,0
|___|___|___|.|___|___|___|.|___|___|___|.|___|___|,0
,0
DATA:,0
,0
_____/_____/ 08,0
,0
CRÍTICO(A): CPF:,0
,0
|___|___|___|.|___|___|___|.|___|___|___|.|___|___|,0
,0
DATA:,0
,0
_____/_____/ 08,0
,0
VERIFICADOR(A): CPF:,0
,0
|___|___|___|.|___|___|___|.|___|___|___|.|___|___|,0
,0
DATA:,0
,0
_____/_____/ 08,0
,0
CONTROLE DE QUALIDADE IBOPE RECRÍTICA: CPF:,0
,0
|___|___|___|.|___|___|___|.|___|___|___|.|___|___|,0
,0
DATA:,0
,0
_____/_____/ 08,0
,0
CONTROLE DE QUALIDADE IBOPE VERIFICAÇÃO: CPF:,0
,0
|___|___|___|.|___|___|___|.|___|___|___|.|___|___|,0
,0
DATA:,0
,0
_____/_____/ 08,0
,0
VOLTAS DE PROCESSAMENTO E CODIFICAÇÃO CÓDIGO DO CODIFICADOR:,0
,0
,0
|______|______|______|,0
,0
,0
,0
VOLTAS DE CAMPO,0
,0
,0
,0
,0
COMENTÁRIOS DE CAMPO,0
,0
NOME DA ESCOLA,0
,0
,0
,0
,0
,0
INTRODUÇÃO:,0
,0
,0
"Meu nome é (nome do entrevistador), faço parte da equipe de avaliação do projeto PREVENÇÃO. Há",0
"alguns dias um entrevistador do IBOPE conversou com o(a) sr(a) na escola do(s) seu(s) filho(s), onde",0
"o(a) sr(a) nos forneceu seus dados para contato telefônico, e é por isso que estou ligando hoje.",0
,0
"Como já foi explicado, a escola em que seu filho está se matriculando é uma das participantes desse",0
grande projeto financiado pelo governo federal que tem o objetivo de desenvolver estudos que permitam,0
compreender melhor os problemas emocionais e de comportamento das crianças. O projeto é uma,0
"parceria entre a Universidade Federal do Rio Grande do Sul (UFRGS), Universidade Federal de São",0
"Paulo (UNIFESP), Universidade de São Paulo (USP), Secretaria de Educação do seu estado e escola do",0
seu filho.,0
,0
"O projeto conta com psiquiatras, psicólogos e fonoaudiólogos, bem como uma ampla equipe de pesquisa",0
que poderá entrar em contato com o(a) sr(a) e com seu filho no próximo ano. As crianças selecionadas,0
para participação no projeto contarão com entrevistas em casa sobre seu filho e sua família e avaliações,0
especializadas do seu filho na escola.,0
,0
A secretaria de educação e a sua escola são parceiras nesse projeto e estimulam a sua participação.,0
Para continuar participando basta responder algumas questões sobre o(a) sr(a) e sobre sua família em,0
"uma entrevista comigo (com duração de cerca de 15 minutos). Lembre-se, o(a) sr(a) poderá se retirar da",0
pesquisa em qualquer momento do estudo. A equipe estará a disposição para dar as informações,0
necessárias acerca do projeto.,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
2,0
,0
2,0
,0
,0
,0
,0
,0
A. rematricula B. Cidade,0
,0
Sim 1 São Paulo 1,0
,0
Não 2 - encerrar Porto Alegre 2,1
,0
,0
,0
,0
P4. Anote o sexo do respondente? (RU),0
,0
,0
Masculino 01,0
,0
Feminino 02,0
,0
,0
,0
P5. O(a) sr(a) poderia nos confirmar  seu nome completo e idade?,1
,0
,0
Nome,0
,0
Idade,0
,0
,0
,0
,0
P6. O(a) sr(a) poderia nos confirmar o nome completo de cada um dos seus filhos?,1
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
P7. O(a) Sr.(a) possui algum filho(a) falecido? (RU),1
,0
Sim 01,0
,0
Não 02 Pule para,0
P10,0
,0
,0
,0
P8. Qual o nome do(a) seu(sua) filho(a) falecido(a)?,1
,0
Nome,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
