Text,IsQuestion
,0
conmoenmat BRITISH BIRTHS No 19416,0
,0
A Survey under the joint auspices of the National Birthday Trust Fund and the,0
Royal College of Obstetricians and Gynaecologists,0
,0
Please complete the enquiry for all babies born (alive or dead) after the 24th week of gestation from 00.01 hours,0
"on Sunday 5th April, 1970 to 24.00 hours on Saturday 11th April, 1970 whether born in hosnital, at home or else-",0
where.,0
,0
Part | relates to information not usually included in the clinical records. It will be necessary to interview the mother,0
as soon as possible after the birth.,0
,0
Part Il is concerned with antenatal care and with the delivery. Complete soon after birth using all the available,0
"records, discussing with the doctor or anyone else concerned with the care of the mother and baby.",0
,0
"Part If relates to the first seven days after the birth. Keep it up-to-date daily, if possible, so that it is immediately",0
"available if the mother moves. If the mother and baby are separated, complete the form for the mother first and then",0
forward it for the baby section to be completed.,0
,0
Most questions are pre-coded and except where otherwise stated should be answered by ringing one or more,0
numbers as appropriate. Please complete one section at least in each question. Do not leave a question blank.,0
"For Multiple Births, please complete the whole form for the first baby. For each of the other babies, question 1",0
"of Part | should be filled in and then question 25 of Part I] onwards, on a separate form.",0
,0
"When the form is complete it should normally be returned to the supervisor of midwives, the superintendent midwife,",0
or the matron of the hospital unless other arrangements have been made locally.,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
With this form there is a letter for the mother. Please hand it to her before starting the questionnaire. 1-5 6,0
"Questions 1-11 should be filled in by interviewing the mother. If you are unable to do this, please use the records.",0
MULTIPLICITY CODE > ACOCCL For Office,0
1 Name and Address: Hospital MUM er ec cece ccsssssssesecesesececsssanetesesesceeeeecesnssntanees Use Only,0
1,0
7,0
County or County Borough en..cccceccceccccceescssscsssesseneessesseesevennees soasssssennenunuusnsceececessoanineseceestitutueseescanasicsiesseeeersssstievsesse,0
Address where this delivery OCCUSTOG ...ceeccscccecssessssssscsseeeseeeseseentuanunnsssnsnsssseeesensuestssssssasseccssesseisestumtniuivansavensesaseumessssvasssvessesitnienanseeeeeeeessenunesess Bh,0
2 Date of birth of mother: For Office 4 Age at which full-time education was,0
; Use Only completed (including college or univer-,0
de IVQoccunsnnnnsne 42-17) sity),0
day month Mother of baby............ ACOCI years,0
Father of baby.wwww7 OO. Ie years (24-27),0
3 Town and Country of birth:,0
Mother of baby.............. ACCOGA ecsssssnseeeeecutescans 5 Date of present marriage:,0
Teas AO OMT ocsmnnnnnin| VQownuvnnsesne (28-33),0
6 Present marital status: 4 C C/ 2,0
20-21 SIGNS eessssssssestssssessstnnseceessensssseeetttnsscsssenessecceeeT,0
ceestesneeetsessescescesteetstnasavassetseceeceeensonvineeseceesesunnnuseestescceenseasaneeietetseeteey Married .... ed,0
", Widowed weed",0
", iO (34)",0
Mother’s mother..........70%.¢° Divorced ..... 4,0
22-23 SOPAarAate oonccccecccecscessssesssesssecsssnseneeseeoenseestn 5,0
Not KNOWD Qu. eeeeceggeeecee a ceseeeggeee,0
PREMARIFAL CONCEP TICN = AOC/IA4,0
7 Husband Mother of baby,0
(Before this pregnancy),0
Occupation ACtUal JOD. cecccccccscssecssnssesstesssnretsessescesesesveeefceseeeee ACOIS AVL IF.,0
Description of job ACCI4 1. ACOIS 38-88,0
Self-employed Employing 25 or more persons ACIS 1 ACC 1,0
Employing fewer than 25 persons 2 2 39,0
Not self employed Supervising others,0
"€.g. fFOreMAN, MANAGES CEC... 3 3",0
Not supervising others... 4 4,0
Employed at Presemt in ccccccccccccssccssssssssssssssssssseececeneseesaneenecarensannnscassessase 1 1 40—43,0
Unemployed at present 2 2,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
8 Does the mother care for children at,0
,0
home (including adopted and foster,0
children) ?,0
,0
VOS ecicccseeees ACORO oeceesceesnseieeeeceente 1,0
,0
NO. ceccccsccsssssssesssssessesesuesessiiisiiiassensnneeeeeeesenee 2,0
,0
NOt KNOWD ooo ccccssssseteesseseeestsssneineeseen,0
,0
If YES: give details of who is looking after,0
them now.,0
,0
SEE PAGE 2c,0
,0
,0
,0
Number of,0
children,0
Living at home,0
,0
,0
,0
Looked after by Home,0
Help,0
,0
With child minder,0
