Text,IsQuestion
,0
njs,0
Typewritten Text,0
See illness records,0
,0
njs,0
Typewritten Text,0
See BRC,0
,0
njs,0
Typewritten Text,0
Jun-50,0
,0
njs,0
Typewritten Text,0
,0
njs,0
Typewritten Text,0
COMP50,0
,0
,0
,0
05-Jun-50,0
,0
,0
,0
STRICTLY COMP50 |,0
CONFIDENTIAL |,0
,0
SECOND FOLLOW-UP SURVEY © Num cccccccnes,0
,0
Serial! Numbers...stseeseseaes me),0
,0
,0
,0
,0
,0
,0
,0
,0
,0
ROYAL COLLEGE OF OBSTETRICIANS AND GYNAECOLOGISTS,0
POPULATION INVESTIGATION COMMITTEE,0
INSTITUTE OF CHILD HEALTH,0
"At the LONDON SCHOOL OF ECONOMICS, HOUGHTON STREET, LONDON, W.C.2",0
,0
INTIS SINFO: sabonoubconono sasssastetiandos:-SapnoseennenGecasseroces ide ubenan seas ec If she has moved what is her present address ? ..........:c0seccccecsseeeeeeeees,0
,0
Address,0
,0
,0
,0
Soeeebae tes In what M. & C.W. Authority is it? .......::.csesescessseeceeennereseeeserereeet ees,0
,0
IF SHE HAS MOVED TO ANOTHER M. & C.W. AUTHORITY RETURN THIS FORM AT ONCE TO WHOEVER HAS BEEN,0
"DELEGATED BY YOUR MEDICAL OFFICER OF HEALTH, TO RECEIVE IT.",0
,0
"Approach to the Mother,",0
,0
Remind her that in 1946 and 1948 she gave us most valuable information about herself and her child. We ncw want to find out what progress,0
"her child has made during the last two years. All information she gives will, of course, be ABSOLUTELY CONFIDENTIAL.",0
How to fill in this form.,0
,0
"This inquiry refers throughout to the CHILD BORN IN MARCH, 1946.",0
,0
The questioas are printed in heavy type and the mother’s answers in light type. Instructions to the interviewer are in italics.,0
,0
Some questions are pre-coded and shculd be answered by putting a ring with a soft percil round the code number or letter oppcsite the mother’s,0
"answer. If her answer does nct fit any alternative, write it below the question itself. If the mcther refuses or is unab'e to answer any question ring ‘X’",0
or ‘XX for “no answer”. If a question does rot apply to this child ring ‘Y’ or ‘YY’ for “dces nct apply”. EVERY QUESTION SHOULD BE,0
ANSWERED. Befoie leaving the mother plcase check thro. gh the questionnaire to make sure that this has been done.,0
,0
"If this child has died, please try to obtain all the details you can about his health up to the date of his death. However, use your own judgment",0
in leaving out any questions that might cause embarrassment.,0
,0
Before you interview this mother read through the questionraire and answer as many questions as possitle fiom your records and those of the,0
Infant Welfare Centre. Check with the mother wken you interview her all the answers you have obtained from the records.,0
,0
"If a mother refuses to be interviewed, try {o find out her reasons and write them in the spzce provided. Then fillin as much as you can from",0
the records end RETURN THE FORM WITH THE OTHERS YOU HAVE COMPLETED.,0
,0
"When you have completed your interviews, hand the questionnaires to whoever has been delegated by your Medical Officer of Health to receive them.",0
,0
QUESTIONNAIRE,0
,0
(Ring with a soft pencil the code number opposite the mother’s answer),0
@hristian Names orichildsBORIN DIN MARCH 194 6sesceuscssccstossececseeccisstieseccnesccestccerecsnsensesssasstneesnnnas een National Registration NoO........:.ccc.0ceeseeeseeees,0
,0
"1. Uf mother not interviewed because she was ill, refitsed, Ctc., GIVE TCASONS......-.ccc-ressessseenyesssseeives econ scsessesnusesenanecenecacseetusstes sssssevanyestveusssssavsisiiees",0
,0
See illness records,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
"2. If this child has died, please state:— I. ACCIDENTS",1
"(a) Age at death...........years............months,",0
uestion does not apply YY 4. Has this child ever had an accident in which he was BURNT or,0
"2 ae ea Xx SCALDED, BROKE A BONE, or was BADLY CUT or",0
No answer.......+-.-. BRUISED?,0
(b) Cause of death (as given on death certificate)...... (Only record accidents treated in hospital (in-patients and out-,0
"patients), nursing home or by Doctor or District Nurse).",0
Beare oF rece Neate Senate eaeeu snes ee suena tesenneseene i. ries —,0
(For all living Children) Scalds Bones or Bruises,0
3. Where is this child now living? (Ate hOmMes ceases cers eriere) Vise cole cea |e 1 Fulon i ee I,1
With relatives............2 None er ORS som 2,1
Adopted «+--+. -+.4++ +443 No Answer... .].. Dre Me alos OK,0
Residential nursery. .......4,0
see BRC Ill in hospital. -..........5,0
"1 pe ee a none Uf “ Yes,” please give the following details about each accident in turn,",0
"Elsewhere, namely. ...-... WG starting with the earliest and ending with the most recent. Any acci-",0
NSP a Shae eget ar a dents recorded in the 1948 survey are entered in red. Please check this,0
INO} anSWetz-nsnectensececesee Xx information and fill in any gaps).,0
inj Age when Treatment : R (If in-patient),0
"Pee Se aoe Part injured Hosp. LP., Name and Address of Hospital, Length of stay",0
"BROKEN BONE, or Parts (in years Hosp. O.P., Nursing Home, Doctor or Nurse in Hospital or",0
"CUT, BRUISE, or injured and Nursing Home, giving treatment N. Home",0
"combination of these) months) Doctor, Nurse ‘(in days)",0
First I,0
Accident,0
2,0
Subsequent,0
Accidents | 3,0
4,0
"fi i y TT OCCURRED (if burnt by fire, say whether Details of remaining Scarring,",0
"iNuinben ol accicen Deiaiisiof how cad oe gas, open fire or stove) Disability orgDeformity",0
as gi,0
First 1,0
Accident,0
2,0
Subsequent,0
Accidents 3,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
njs,0
Typewritten Text,0
,0
njs,0
Typewritten Text,0
(,0
(,0
( See A6,0
(,0
(,0
,0
njs,0
Typewritten Text,0
Not wanted,0
,0
njs,0
Typewritten Text,0
No rubric card,0
,0
njs,0
Typewritten Text,0
,0
njs,0
Typewritten Text,0
,0
njs,0
Typewritten Text,0
,0
njs,0
Typewritten Text,0
,0
njs,0
Typewritten Text,0
DISE46-50,0
,0
njs,0
Typewritten Text,0
DISH46-50,0
,0
njs,0
Typewritten Text,0
,0
njs,0
Typewritten Text,0
,0
njs,0
Typewritten Text,0
,0
njs,0
Typewritten Text,0
DISL46-50,0
,0
njs,0
Typewritten Text,0
,0
njs,0
Typewritten Text,0
,0
njs,0
Typewritten Text,0
length of attack,0
,0
njs,0
Typewritten Text,0
,0
njs,0
Typewritten Text,0
,0
njs,0
Typewritten Text,0
,0
njs,0
Typewritten Text,0
,0
njs,0
