Text,IsQuestion
,0
Questionnaire for Class Teacher,0
,0
,0
,0
Table of Contents,0
Questionnaire for Class Teacher.............................................................................................................. 7,0
,0
Instrument Locations.......................................................................................................................... 7,0
,0
alspac_02_qct..................................................................................................................................... 7,0
,0
s_intro_i.............................................................................................................................................. 7,0
,0
s_intro_ii............................................................................................................................................. 7,0
,0
s_intro_iii............................................................................................................................................ 7,0
,0
s_intro_iv............................................................................................................................................ 7,0
,0
s_intro_v............................................................................................................................................. 8,0
,0
s_intro_vi............................................................................................................................................ 8,0
,0
SECTION A: ABOUT THE CLASS............................................................................................................8,0
,0
qi_A1 - A1........................................................................................................................................... 8,0
,0
qi_A2_a - A2 a..................................................................................................................................... 8,0
,0
qi_A2_b_i - A2 b(i).............................................................................................................................. 8,0
,0
qi_A2_b_ii - A2 b(ii)............................................................................................................................ 9,0
,0
qi_A2_c - A2 c..................................................................................................................................... 9,0
,0
qi_A2_d - A2 d.................................................................................................................................... 9,0
,0
qg_A2_e - A2 e....................................................................................................................................9,0
,0
qi_A2_e_v - A2 e(v)...........................................................................................................................10,0
,0
qi_A2_f_i - A2 f(i).............................................................................................................................. 10,0
,0
qi_A2_f_ii - A2 f(ii)............................................................................................................................ 10,0
,0
qi_A2_f_iii - A2 f(iii).......................................................................................................................... 10,0
,0
qi_A3 - A3......................................................................................................................................... 10,0
,0
qi_A4 - A4......................................................................................................................................... 11,0
,0
qi_A5_i - A5 i..................................................................................................................................... 11,0
,0
qi_A5_ii - A5 ii................................................................................................................................... 11,0
,0
qi_A5_iii - A5 iii................................................................................................................................. 12,0
,0
qi_A6_a - A6 a................................................................................................................................... 12,0
,0
qi_A6_b_i - A6 b(i)............................................................................................................................ 12,0
,0
qi_A6_b_ii - A6 b(ii).......................................................................................................................... 12,0
,0
qi_A6_b_iii - A6 b(iii).........................................................................................................................12,0
,0
qi_A6_b_iv - A6 b(iv).........................................................................................................................13,0
,0
qg_A7 - A7........................................................................................................................................ 13,0
,0
qi_A8_a - A8 a................................................................................................................................... 14,0
,0
qi_A8_b - A8 b.................................................................................................................................. 15,0
,0
qi_A8_c - A8 c................................................................................................................................... 15,0
,0
qi_A9_a - A9 a................................................................................................................................... 15,0
,0
qi_A9_b - A9 b.................................................................................................................................. 16,0
,0
qi_A9_c - A9 c................................................................................................................................... 16,0
,0
qi_A9_d - A9 d.................................................................................................................................. 16,0
,0
qi_A9_e - A9 e...................................................................................................................................16,0
,0
qi_A10_a - A10 a............................................................................................................................... 17,0
,0
qi_A10_b - A10 b.............................................................................................................................. 17,0
,0
,0
,0
qi_A10_c - A10 c............................................................................................................................... 18,0
,0
qi_A10_d - A10 d.............................................................................................................................. 18,0
,0
qg_A10_e - A10 e..............................................................................................................................18,0
,0
qi_A10_e_iii - A10 e(iii)..................................................................................................................... 19,0
,0
qi_A10_f - A10 f................................................................................................................................ 19,0
,0
qi_A11 - A11..................................................................................................................................... 19,0
,0
SECTION B: THE TEACHING STAFF.................................................................................................... 20,0
,0
qg_B1 - B1......................................................................................................................................... 20,0
,0
qg_B2 - B2......................................................................................................................................... 20,0
,0
qi_B3 - B3.......................................................................................................................................... 21,0
,0
qi_B4_a - B4 a................................................................................................................................... 21,0
,0
qi_B4_b - B4 b...................................................................................................................................21,0
,0
qi_B4_c - B4 c....................................................................................................................................22,0
,0
qi_B4_d - B4 d...................................................................................................................................22,0
,0
qi_B4_e - B4 e................................................................................................................................... 22,0
,0
SECTION C: THE ENVIRONMENT....................................................................................................... 22,0
,0
qg_C1_a - C1 a.................................................................................................................................. 23,0
,0
qi_C1_b_i - C1 b(i).............................................................................................................................23,0
,0
qi_C1_b_ii - C1 b(ii)........................................................................................................................... 23,0
,0
qi_C1_c - C1 c....................................................................................................................................24,0
,0
The school building(s):...................................................................................................................... 24,0
,0
qi_C2_a - C2 a................................................................................................................................... 24,0
,0
qi_C2_b - C2 b................................................................................................................................... 24,0
,0
qi_C2_c - C2 c....................................................................................................................................25,0
,0
qi_C2_d - C2 d................................................................................................................................... 25,0
,0
qi_C2_d_i - C2 d(i).............................................................................................................................25,0
,0
SECTION D: STRESSES AND STRAINS................................................................................................. 26,0
,0
s_sectiond_i...................................................................................................................................... 26,0
,0
s_qD1................................................................................................................................................ 26,0
,0
qi_D1 - D1......................................................................................................................................... 26,0
,0
qi_D2 - D2......................................................................................................................................... 26,0
,0
qi_D3 - D3......................................................................................................................................... 27,0
,0
qi_D4 - D4......................................................................................................................................... 27,0
,0
qi_D5 - D5......................................................................................................................................... 28,0
,0
qi_D6 - D6......................................................................................................................................... 28,0
,0
qi_D7 - D7......................................................................................................................................... 28,0
,0
qi_D8 - D8......................................................................................................................................... 29,0
,0
qi_D9 - D9......................................................................................................................................... 29,0
,0
qi_D10 - D10..................................................................................................................................... 29,0
,0
qi_D11 - D11..................................................................................................................................... 30,0
,0
qi_D12 - D12..................................................................................................................................... 30,0
,0
qi_D13 - D13..................................................................................................................................... 30,0
,0
qi_D14 - D14..................................................................................................................................... 31,0
,0
qi_D15 - D15..................................................................................................................................... 31,0
,0
,0
,0
qi_D16 - D16..................................................................................................................................... 31,0
,0
qi_D17 - D17..................................................................................................................................... 32,0
,0
qi_D18 - D18..................................................................................................................................... 32,0
,0
qi_D19 - D19..................................................................................................................................... 32,0
,0
qi_D20 - D20..................................................................................................................................... 33,0
,0
qi_D21 - D21..................................................................................................................................... 33,0
,0
qi_D22 - D22..................................................................................................................................... 33,0
,0
qi_D23 - D23..................................................................................................................................... 34,0
,0
SECTION E: YOUR PERCEPTION OF THE SCHOOL.............................................................................. 34,0
,0
s_sectione_i...................................................................................................................................... 34,0
,0
Expectations and standards:.............................................................................................................34,0
,0
qi_E1_a - E1 a....................................................................................................................................35,0
,0
qi_E1_b - E1 b................................................................................................................................... 35,0
,0
qi_E1_c - E1 c.................................................................................................................................... 35,0
,0
qi_E1_d - E1 d................................................................................................................................... 36,0
,0
qi_E1_e - E1 e................................................................................................................................... 36,0
,0
qi_E1_f - E1 f..................................................................................................................................... 36,0
,0
qi_E1_g - E1 g....................................................................................................................................37,0
,0
qi_E1_h - E1 h................................................................................................................................... 37,0
,0
qi_E1_i - E1 i..................................................................................................................................... 37,0
,0
qi_E1_j - E1 j..................................................................................................................................... 38,0
,0
qi_E1_k - E1 k....................................................................................................................................38,0
,0
qi_E1_l - E1 l..................................................................................................................................... 39,0
,0
Staff unity on school values and practices:.......................................................................................39,0
,0
qi_E2_a - E2 a....................................................................................................................................39,0
,0
qi_E2_b - E2 b................................................................................................................................... 39,0
,0
qi_E2_c - E2 c.................................................................................................................................... 40,0
,0
qi_E2_d - E2 d................................................................................................................................... 40,0
,0
qi_E2_e - E2 e................................................................................................................................... 41,0
,0
qi_E2_f - E2 f..................................................................................................................................... 41,0
,0
qi_E2_g - E2 g....................................................................................................................................41,0
,0
qi_E2_h - E2 h................................................................................................................................... 42,0
,0
Teacher-pupil reactions in the school:..............................................................................................42,0
,0
qi_E3_a - E3 a....................................................................................................................................42,0
,0
qi_E3_b - E3 b................................................................................................................................... 43,0
,0
qi_E3_c - E3 c.................................................................................................................................... 43,0
,0
qi_E3_d - E3 d................................................................................................................................... 43,0
,0
qi_E3_e - E3 e................................................................................................................................... 44,0
,0
qi_E3_f - E3 f..................................................................................................................................... 44,0
,0
qi_E3_g - E3 g....................................................................................................................................44,0
,0
Pupil performance monitoring and rewards in the school:.............................................................. 45,0
,0
qi_E4_a - E4 a....................................................................................................................................45,0
,0
qi_E4_b - E4 b................................................................................................................................... 45,0
,0
qi_E4_c - E4 c.................................................................................................................................... 46,0
,0
,0
,0
qi_E4_d - E4 d................................................................................................................................... 46,0
,0
Home-school relationships:.............................................................................................................. 46,0
,0
qi_E5_a - E5 a....................................................................................................................................47,0
,0
qi_E5_b - E5 b................................................................................................................................... 47,0
,0
qi_E5_c - E5 c.................................................................................................................................... 47,0
,0
qi_E5_d - E5 d................................................................................................................................... 48,0
,0
qi_E5_e - E5 e................................................................................................................................... 48,0
,0
qi_E5_f - E5 f..................................................................................................................................... 48,0
,0
qi_E5_g - E5 g....................................................................................................................................49,0
,0
Pupil attitudes to learning:............................................................................................................... 49,0
,0
qi_E6_a - E6 a....................................................................................................................................49,0
,0
qi_E6_b - E6 b................................................................................................................................... 50,0
,0
qi_E6_c - E6 c.................................................................................................................................... 50,0
,0
qi_E6_d - E6 d................................................................................................................................... 50,0
,0
qi_E6_e - E6 e................................................................................................................................... 51,0
,0
qi_E6_f - E6 f..................................................................................................................................... 51,0
,0
qi_E6_g - E6 g....................................................................................................................................51,0
,0
qi_E6_h - E6 h................................................................................................................................... 52,0
,0
Teacher involvement in the school:..................................................................................................52,0
,0
qi_E7_a - E7 a....................................................................................................................................52,0
,0
qi_E7_b - E7 b................................................................................................................................... 53,0
,0
qi_E7_c - E7 c.................................................................................................................................... 53,0
,0
qi_E7_d - E7 d................................................................................................................................... 53,0
,0
qi_E7_e - E7 e................................................................................................................................... 54,0
,0
qi_E8 - E8.......................................................................................................................................... 54,0
,0
SECTION F: YOUR OPINION OF YOURSELF........................................................................................ 54,0
,0
s_sectionf_i....................................................................................................................................... 55,0
,0
qi_F1 - F1.......................................................................................................................................... 55,0
,0
qi_F2 - F2.......................................................................................................................................... 55,0
,0
qi_F3 - F3.......................................................................................................................................... 55,0
,0
qi_F4 - F4.......................................................................................................................................... 56,0
,0
qi_F5 - F5.......................................................................................................................................... 56,0
,0
qi_F6 - F6.......................................................................................................................................... 57,0
,0
qi_F7 - F7.......................................................................................................................................... 57,0
,0
qi_F8 - F8.......................................................................................................................................... 57,0
,0
qi_F9 - F9.......................................................................................................................................... 58,0
,0
qi_F10 - F10...................................................................................................................................... 58,0
,0
qi_F11 - F11...................................................................................................................................... 58,0
,0
SECTION G: YOUR ATTITUDE TOWARDS TEACHING......................................................................... 59,0
,0
qi_G1 - G1......................................................................................................................................... 59,0
,0
qi_G2 - G2......................................................................................................................................... 59,0
,0
qi_G3 - G3......................................................................................................................................... 60,0
,0
qi_G4 - G4......................................................................................................................................... 60,0
,0
qi_G5 - G5......................................................................................................................................... 61,0
,0
,0
,0
qi_G6 - G6......................................................................................................................................... 61,0
,0
s_sectionG_i......................................................................................................................................61,0
,0
SECTION H:........................................................................................................................................61,0
,0
qi_H1_a - H1 a.................................................................................................................................. 62,0
,0
qi_H1_b - H1 b.................................................................................................................................. 62,0
,0
qi_H2 - H2......................................................................................................................................... 62,0
,0
s_outro_i...........................................................................................................................................62,0
,0
qi_outro_i - outro i........................................................................................................................... 62,0
,0
s_outro_ii.......................................................................................................................................... 63,0
,0
,0
,0
CLOSER Discovery Questionnaire for Class Teacher,0
,0
Metadata downloaded from CLOSER Discovery. Copyright © 2023 CLOSER 7 of 63,0
,0
Questionnaire for Class Teacher,0
closer:sourceFileName,0
,0
alspac_02_qct,0
,0
Instrument Locations,0
· https://discovery.closer.ac.uk/files/instruments/alspac_02_qct-991eef643c3c112ef05e5e41b8de4847.pdf,0
,0
alspac_02_qct,0
Label,0
,0
alspac_02_qct,0
Location,0
,0
Sequence,0
Type,0
,0
Sequence,0
Order,0
,0
InOrderOfAppearance,0
,0
s_intro_i,0
Name,0
,0
s_intro_i,0
Location,0
,0
Sequence › alspac_02_qct,0
Type,0
,0
Statement,0
Statement Text,0
,0
YEAR 6 QUESTIONNAIRE FOR THE CLASS TEACHER,0
,0
s_intro_ii,0
Name,0
,0
s_intro_ii,0
Location,0
,0
Sequence › alspac_02_qct,0
Type,0
,0
Statement,0
Statement Text,0
,0
This questionnaire is for the Year 6 class teacher.,0
,0
s_intro_iii,0
Name,0
,0
s_intro_iii,0
Location,0
,0
Sequence › alspac_02_qct,0
Type,0
,0
Statement,0
Statement Text,0
,0
"It asks about the physical environment of the classroom, the class structure, the school ethos and the stresses",0
and strains you may be feeling.,0
,0
s_intro_iv,0
Name,0
,0
s_intro_iv,0
Location,0
,0
Sequence › alspac_02_qct,0
Type,0
,0
Statement,0
Statement Text,0
,0
"We would be grateful if you could answer all questions, but if there are any you feel are inappropriate please",0
put a line through them.,0
,0
,0
,0
CLOSER Discovery Questionnaire for Class Teacher,0
,0
Metadata downloaded from CLOSER Discovery. Copyright © 2023 CLOSER 8 of 63,0
,0
s_intro_v,0
Name,0
,0
s_intro_v,0
Location,0
,0
Sequence › alspac_02_qct,0
Type,0
,0
Statement,0
Statement Text,0
,0
THANK YOU VERY MUCH FOR YOUR HELP,0
,0
s_intro_vi,0
Name,0
,0
s_intro_vi,0
Location,0
,0
Sequence › alspac_02_qct,0
Type,0
,0
Statement,0
Statement Text,0
,0
This information is confidential. No person or establishment will be identified by name in any report or,0
publication.,0
,0
SECTION A: ABOUT THE CLASS,0
Label,0
,0
