Text,IsQuestion
,0
Journal of Counseling Psychology,0
"1996, Vol. 43, No. 4, 490-501",0
,0
"Copyright 1996 by the American Psychological Association, Inc.",0
0022-0167/96/S3.00,0
,0
Development and Validation of the Index of Race-Related Stress (IRRS),0
,0
Shawn O. Utsey and Joseph G. Ponterotto,0
Fordham University at Lincoln Center,0
,0
This article describes the development and validation of a measure of the stress experienced,0
by African Americans as a result of their daily encounters with racism and discrimination.,0
The Index of Race-Related Stress (IRRS) is a 46-item instrument developed according to the,0
"theoretical framework of daily hassles (R. S. Lazarus & S. Folkman, 1984) and integrated",0
with P. Essed's (1990) concept of everyday racism. The IRRS has adequate indexes of,0
internal consistency and fair-to-adequate estimates of test-retest stability. Several subscales,0
of the IRRS and a global racism index were correlated with other measures of stress and,0
"racism. Furthermore, the IRRS discriminated between Blacks and non-Blacks in a group-",0
differences study. Both principal-components and confirmatory factor analyses supported a,0
4-component model of race-related stress.,0
,0
Racism and acts of discrimination against African Amer-,0
"icans have taken on various forms over the past 350 years,",0
"ranging from lynchings, burnings, beatings, and other forms",0
of direct violence to more subtle slights and innuendoes,0
"(Duckitt, 1992; Ponterotto & Pederson, 1993; Thompson,",0
"Neville, Weathers, Poston, & Atkinson, 1990). There have",0
been several scholarly works of historical significance ex-,0
amining the nature of racism and discrimination in relation,0
to the experiences of African Americans in the United,0
"States (e.g., Allport, 1954; Dovidio & Gaertner, 1986; Duc-",0
"kitt, 1992; Essed, 1990; Myrdal, 1944; Jones, 1972; Petti-",0
"grew, 1964; Simpson & Yinger, 1985). For the most part,",0
racism has been of interest primarily to social psychologists,0
who study the development and expression of prejudice and,0
"in-group/out-group attitudes, or sociologists who are pri-",0
marily concerned with the outcome effects of racism and,0
discrimination on groups of people within society. How-,0
"ever, psychologists have more recently begun to examine",0
the clinical significance of racism and its relationship to the,0
psychological well-being of African Americans who expe-,0
"rience it as a chronic stressor in their daily lives (see Burke,",0
"1984; Fernando, 1984; Jackson, Williams, & Torres, 1995;",0
"McNeilly et al., in press; Smith, 1985; White & Parham,",0
1990).,0
,0
Despite some perceived progress made in U.S. race rela-,0
"tions over the last three decades, many writers believe that",0
"for African Americans, racism continues to be an inescap-",0
"able and painful reality of daily life (Essed, 1990; Feagin &",0
,0
"Shawn O. Utsey and Joseph G. Ponterotto, Psychological and",0
"Educational Services, Fordham University at Lincoln Center.",0
,0
"We gratefully acknowledge Dorinda Trader, Pat Vincent,",0
"Reginald Gougis, Lisa Whitten, and the many others who assisted",0
"with data collection, and Khayriyyah Abdul-Lateef for her excel-",0
lent editorial work on several drafts of this article. We also thank,0
"James S. Jackson, Francis Terrell, and Shelly Harrell for their",0
assistance in locating relevant literature.,0
,0
Correspondence concerning this article should be addressed to,0
"Shawn O. Utsey, who is now at 214-37 36th Avenue, Bayside,",0
New York 11361. Electronic mail may be sent via Internet to,0
utsey @ mary.fordham.edu.,0
,0
"Sikes, 1994; McNeilly et al., in press). Essed (1990), in her",0
groundbreaking qualitative study of the daily experiences of,0
"Blacks with racism, described the chronic nature of the",0
"stress associated with racism this way: ""to live with the",0
"threat of racism means planning, almost everyday of one's",0
"life, how to avoid or defend oneself against discrimination""",0
(p. 260). The experience of racism for African Americans is,0
"cumulative, whereby new encounters are interpreted on the",0
"basis of past experiences with racism, knowledge of others'",0
"experience with racism, and knowledge about the systemic",0
"nature of racism (Essed, 1990; Feagin & Sikes, 1994).",0
,0
According to Dovidio and Gaetner (1986) racism is em-,0
"bedded in the ""social norms, institutional policies, and cog-",0
"nitive and affective systems of White Americans"" (p. xi)",0
and as a result has a significant adverse impact on the,0
quality of life for African Americans. Racism can occur in,0
"three spheres: (a) individual racism, experienced on a per-",0
"sonal level; (b) institutional racism, experienced as a result",0
of racism being embedded in the policies of a given insti-,0
"tution; and (c) cultural racism, results from the cultural",0
practices of one group being lauded as superior to those of,0
"another (Essed, 1990; Jones, 1972). Essed (1990) extended",0
the individual realm of racism to include collective racism.,0
Collective racism occurs when organized (or semiorga-,0
nized) Whites/non-Blacks seek to restrict the rights of,0
"Blacks (e.g., when a Black family moves into a White",0
community and is met with open hostility by its new neigh-,0
"bors). Because of the omnipresence of racism, it makes",0
intuitive sense that any effort to study its impact on African,0
Americans would focus on the multidimensional character,0
of its expression and experience.,0
,0
"Due to the insidiousness of everyday racism, empirical",0
examination of this construct can be an arduous task. Con-,0
"sequently, past research has generally focused on examining",0
the most overt acts of racism experienced by African Amer-,0
"icans. However, the racism experienced by African Amer-",0
"icans throughout the day—whether at work, in public",0
"places, in route to and from their homes, or on television",0
and other popular media outlets—for the most part has,0
"remained unexamined (Essed, 1990). The greatest challenge",0
,0
490,0
,0
T,0
h,0
is,0
,0
d,0
o,0
cu,0
,0
m,0
en,0
,0
t,0
is,0
,0
c,0
o,0
p,0
y,0
ri,0
,0
g,0
h,0
te,0
,0
d,0
b,0
,0
y,0
t,0
,0
h,0
e,0
,0
A,0
m,0
,0
er,0
ic,0
,0
an,0
P,0
,0
sy,0
ch,0
,0
o,0
lo,0
,0
g,0
ic,0
,0
al,0
A,0
,0
ss,0
o,0
ci,0
,0
at,0
io,0
,0
n,0
o,0
,0
r,0
o,0
n,0
e,0
,0
o,0
f,0
,0
it,0
s,0
,0
al,0
li,0
,0
ed,0
p,0
,0
u,0
b,0
li,0
,0
sh,0
er,0
,0
s.,0
,0
,0
T,0
h,0
is,0
,0
a,0
rt,0
,0
ic,0
le,0
,0
i,0
