Text,IsQuestion
,0
© Australian Institute of Health & Welfare 2016 R09066 - 14 & over 8-Feb-2017,0
,0
What is the National Drug Strategy Household,1
Survey?,1
,0
• The 2016 National Drug Strategy Household Survey,0
"collects information on tobacco, alcohol and other",0
"drug use, attitudes and beliefs.",0
,0
• The survey is conducted about every three years,0
and started in 1985.,0
,0
• It is managed by the Australian Institute of Health,0
and Welfare (AIHW) on behalf of the Australian,0
Government Department of Health.,0
,0
,0
How confidential is the information I give you?,1
,0
• All answers you provide will be treated,0
confidentially.,0
,0
• The research is carried out in compliance with the,0
Privacy Act 1988 and the information is only used for,0
research purposes.,0
,0
"• The survey is conducted under the AIHW Act 1987,",0
which prohibits the release of information about,0
individuals collected in the survey.,0
,0
,0
How will my answers be used?,1
,0
• Your answers will be used by researchers to help in,0
"understanding what people think about tobacco,",0
alcohol and other drugs and how widely these drugs,0
are used.,0
,0
• The answers you give will not be released to anyone,1
(including the police).,1
,0
,0
Do I have to participate in the survey?,1
,0
• Participation in this survey is entirely voluntary.,0
,0
• If there are any questions you do not want to answer,1
"for any reason, please leave that question blank.",1
,0
• It is important that you complete this questionnaire,1
by yourself and be as honest and accurate as,1
possible.,0
,0
2016 National Drug Strategy Household Survey,0
,0
Are you 12 – 17 years old?,0
,0
• It is important that our younger respondents know,0
"that your answers will not be shown to anyone,",0
this includes your parents.,0
,0
• Please don’t be afraid or embarrassed to give honest,0
answers.,0
,0
• Your answers will simply become part of a bigger,0
pool of answers and no one will know who you are.,0
,0
,0
What do I do when I’ve completed the survey?,1
,0
"• Once you have completed the survey, seal it in the",0
envelope provided and a Roy Morgan Research,0
fieldworker will return to collect it.,0
,0
• The fieldworker will then return the sealed envelope,0
to the survey team for processing.,0
,0
• Only the survey team will have access to your form,0
and once the survey data is compiled your form will,0
be destroyed.,0
,0
• Your name and address will never be linked with any,0
of the information you provide.,0
,0
,0
How is the information processed?,0
,0
• All survey forms are coded so the researchers will,0
not know who you are. Your answers will be grouped,0
"with the answers of over 22,000 other people before",0
