Text,IsQuestion
,0
Project:Election Survey   Job:SNAP072                               Page 1,0
,0
"Good...., my name is ^I and I am calling from ACNielsen,",0
the market research company.,0
We are conducting a survey on what people are thinking during the 2002,0
"election campaign, on behalf of the New Zealand Election Study Group based",0
at the University of Auckland.,0
"May I please speak to the person in your household, aged 18 years or over,",0
"who MOST RECENTLY had a birthday, and who is eligible to vote in the coming",0
election?,0
** ARRANGE CALLBACK IF NECESSARY ** REINTRODUCE IF NECESSARY **,0
,0
NEW PERSON TO THE PHONE:,0
Can I just confirm that you are the member of your household who most,1
"recently had a birthday, and who is aged 18 or over, and is eligible",1
to vote in the coming election?,1
,0
,0
TIMDAY - Version 3 - 21/6/02 RC/SJ                    (2),0
,0
MORNING.....................................00,0
MORNING.....................................01,0
MORNING.....................................02,0
MORNING.....................................03,0
MORNING.....................................04,0
MORNING.....................................05,0
MORNING.....................................06,0
MORNING.....................................07,0
MORNING.....................................08,0
MORNING.....................................09,0
MORNING.....................................10,0
MORNING.....................................11,0
AFTERNOON...................................12,0
AFTERNOON...................................13,0
AFTERNOON...................................14,0
AFTERNOON...................................15,0
AFTERNOON...................................16,0
EVENING.....................................17,0
EVENING.....................................18,0
EVENING.....................................19,0
EVENING.....................................20,0
EVENING.....................................21,0
EVENING.....................................22,0
EVENING.....................................23,0
,0
INTV NAME                                             (3),0
______________,0
,0
INTV CODE                                             (4),0
______________,0
,0
PHONE NUMBER                                          (5),0
______________,0
,0
INTERVIEW TIME                                        (6),0
______________,0
,0
INTERVIEW DATE                                        (7),0
______________,0
,0
NUMBER OF TIMES CALLED                                (8),0
,0
,0
,0
______________,0
,0
IDENT                                                 (9),0
______________,0
,0
,0
,0
,0
Project:Election Survey   Job:SNAP072                               Page 2,0
,0
REGION                                                (10),0
,0
LOCATION.....................................1,0
,0
VALIDATION TIME STAMP                                 (11),0
______________,0
,0
INFOEXPRESS AREAS                                     (12),0
,0
WHANGAREI...................................01,0
AUCKLAND ZONE 1.............................02,0
AUCKLAND ZONE 2.............................03,0
AUCKLAND ZONE 3.............................04,0
AUCKLAND ZONE 4.............................05,0
HAMILTON....................................06,0
TAURANGA....................................07,0
ROTORUA.....................................08,0
GISBORNE....................................09,0
NAPIER/HASTINGS.............................10,0
NEW PLYMOUTH................................11,0
WANGANUI....................................12,0
PALMERSTON NORTH............................13,0
WELLINGTON ZONE 1...........................14,0
WELLINGTON ZONE 2...........................15,0
WELLINGTON ZONE 3...........................16,0
WELLINGTON ZONE 4...........................17,0
NELSON......................................18,0
CHRISTCHURCH ZONE 1.........................19,0
CHRISTCHURCH ZONE 2.........................20,0
CHRISTCHURCH ZONE 3.........................21,0
DUNEDIN.....................................22,0
INVERCARGILL................................23,0
NORTHLAND RURAL/TOWNS.......................24,0
AUCKLAND RURAL/TOWNS........................25,0
WAIKATO RURAL/TOWNS.........................26,0
BOP RURAL/TOWNS.............................27,0
EAST COAST RURAL/TOWNS......................28,0
TARANAKI RURAL/TOWNS........................29,0
WANGANUI RURAL/TOWNS........................30,0
MANAWATU RURAL/TOWNS........................31,0
HAWKES BAY RURAL/TOWNS......................32,0
WAIRARAPA RURAL/TOWNS.......................33,0
WGTN/KAPITI RURAL/TOWNS.....................34,0
NLSN/MARLBRGH RURAL/TOWNS...................35,0
WEST COAST S.I.RURAL/TOWNS..................36,0
CANTY RURAL/TOWNS...........................37,0
SOUTH CANTERBURY RURAL/TOWNS................38,0
OTAGO RURAL/TOWNS...........................39,0
SOUTHLAND RURAL/TOWNS.......................40,0
,0
,0
,0
,0
Project:Election Survey   Job:SNAP072                               Page 3,0
,0
TLA AREAS                                             (16),0
,0
000.........................................00,0
001.........................................01,0
002.........................................02,0
003.........................................03,0
004.........................................04,0
005.........................................05,0
006.........................................06,0
007.........................................07,0
008.........................................08,0
009.........................................09,0
010.........................................10,0
011.........................................11,0
012.........................................12,0
013.........................................13,0
014.........................................14,0
015.........................................15,0
016.........................................16,0
017.........................................17,0
018.........................................18,0
019.........................................19,0
020.........................................20,0
021.........................................21,0
022.........................................22,0
023.........................................23,0
024.........................................24,0
025.........................................25,0
026.........................................26,0
027.........................................27,0
028.........................................28,0
029.........................................29,0
030.........................................30,0
031.........................................31,0
032.........................................32,0
033.........................................33,0
034.........................................34,0
035.........................................35,0
036.........................................36,0
037.........................................37,0
038.........................................38,0
039.........................................39,0
040.........................................40,0
041.........................................41,0
042.........................................42,0
043.........................................43,0
044.........................................44,0
045.........................................45,0
046.........................................46,0
047.........................................47,0
048.........................................48,0
049.........................................49,0
050.........................................50,0
051.........................................51,0
052.........................................52,0
053.........................................53,0
054.........................................54,0
055.........................................55,0
056.........................................56,0
,0
,0
,0
057.........................................57,0
058.........................................58,0
059.........................................59,0
060.........................................60,0
061.........................................61,0
062.........................................62,0
063.........................................63,0
064.........................................64,0
065.........................................65,0
066.........................................66,0
067.........................................67,0
068.........................................68,0
069.........................................69,0
070.........................................70,0
071.........................................71,0
072.........................................72,0
073.........................................73,0
074.........................................74,0
075.........................................75,0
,0
,0
,0
,0
Project:Election Survey   Job:SNAP072                               Page 4,0
,0
SUBURB                                                (13),0
______________________________,0
,0
STREET                                                (14),0
______________________________,0
,0
