Text,IsQuestion
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
ANU Poll 16 (Foreign Affairs),0
,0
Jun-14,0
,0
,0
,0
,0
,0
,0
,0
TECHNICAL REPORT,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
PREPARED FOR,0
AUSTRALIAN NATIONAL UNIVERSITY,0
RESEARCH SCHOOL OF SOCIAL SCIENCES,0
AUSTRALIAN NATIONAL UNIVERSITY,0
CANBERRA ACT 0200,0
,0
,0
CONTACT: IAN MCALLISTER,0
PHONE: (02) 6125 5553,0
EMAIL: IAN.MCALLISTER@ANU.EDU.AU,0
,0
,0
,0
AUTHOR,0
CONTACT: PAUL MYERS AND NATASHA VICKERS,0
PHONE (03) 9236 8500,0
EMAIL:  PAUL.MYERS@SRCENTRE.COM.AU,0
,0
NATASHA.VICKERS@SRCENTRE.COM.AU,0
,0
mailto:ian.mcallister@anu.edu.au,0
,0
,0
Australian National University Page: 16,0
ANU Poll No 16 (Foreign Affairs),0
,0
The Social Research Centre,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
Appendix 1 - Final Questionnaire,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
Australian National University Page: 17,0
ANU Poll No 16 (Foreign Affairs),0
,0
The Social Research Centre,0
,0
ANU Poll (May 2014) – Foreign Affairs,0
Questionnaire – Pilot,0
,0
(8 May 2014),0
,0
,0
Call outcome codes (SMS screen),0
,0
,0
Proceed with interview,0
No answer,0
Answering machine,0
Fax machine / modem,0
Engaged,0
Appointment,0
Stopped interview,0
LOTE – No follow up,0
Named person not known (only applies if calling back to keep an appointment and phone   answerer,0
denies knowledge of named person),0
Telstra message / Disconnected,0
Not a residential number,0
Too old / deaf / disabled/health/family reasons,0
Claims to have done survey,0
Away for duration,0
Other out of scope (SUPRESS),0
Terminated during screening / midway (HIDDEN CODE),0
,0
,0
*INTRODUCTION,0
,0
*(TIMESTAMP1),0
,0
,0
*(ALL),0
SAMTYP,0
,0
1.  Landline,0
2.  Mobile,0
,0
,0
*(ALL),0
Intro1 Good afternoon/evening my name is <SAY NAME> and I’m calling on behalf of the Australian,0
,0
National University from the Social Research Centre. The University is doing a short survey of,0
community attitudes towards a number of issues. Your telephone number has been chosen at,0
random from all possible telephone numbers in Australia.,0
,0
,0
IF NECESSARY: It’s about your opinion on a range of issues – there are no right or wrong answers,0
#NAME?,0
,0
,0
"PRES1 IF SAMTYP=1 (LANDLINE SAMPLE) CONTINUE, ELSE GO TO PRES5",0
,0
"*(SAMTYP=1, LANDLINE)",0
S1 To help with this important study we’d like to arrange a short interview with the person aged 18 or,0
,0
over in your household who is going to have the next birthday.,0
,0
,0
May I speak to that person please?,0
,0
,0
1. Selected respondent (GO TO S3),0
2. Change respondents (GO TO S2),0
"3. Stop interview, make appointment (RECORD NAME AND GENDER AND ARRANGE CALL",0
,0
BACK),0
4. Household refusal (ATTEMPT CONVERSION / RECORD REASON) (GO TO RR1),0
5. Queried about how telephone number was obtained (GO TO ATELQ),0
6. Wants further information about survey (GO TO AINFO),0
7. No one in household over 18 (GO TO TERM1),0
,0
,0
,0
,0
,0
,0
,0
,0
,0
Australian National University Page: 18,0
ANU Poll No 16 (Foreign Affairs),0
,0
The Social Research Centre,0
,0
*(SELECTED RESPONDENT),0
S2 REINTRODUCE IF NECESSARY:  Good afternoon/evening my name is <SAY NAME>.  I’m calling,0
,0
on behalf of the Australian National University from the Social Research Centre.  The University is,0
doing a short survey of community attitudes towards a number of issues.,0
,0
IF NECESSARY: It’s about a range of issues but is mainly about peoples’ attitudes towards foreign,0
affairs and foreign policy,0
,0
1. Continue,0
2. Refusal (GO TO RR1),0
,0
,0
"PRES5 IF SAMTYP=2 (MOBILE SAMPLE) CONTINUE, ELSE GO TO S3",0
,0
"*(SAMTYP=2, MOBILE)",0
