Text,IsQuestion
,0
K10,0
,0
"For all questions, please select the appropriate response.",0
,0
In the past 4 weeks: None of,0
the time,0
,0
A little of,0
the time,0
,0
Some of,0
the time,0
,0
Most of,0
the time,0
,0
All of the,0
time,0
,0
1. About how often did you feel,1
tired out for no good reason?,1
,0
2. About how often did you feel,1
nervous?,0
,0
3. About how often did you feel,1
so nervous that nothing could,1
calm you down?,1
,0
4. About how often did you feel,1
hopeless?,1
,0
5 About how often did you feel,1
restless or fidgety?,1
,0
6. About how often did you feel,1
so restless you could not sit,1
still?,0
,0
7. About how often did you feel,1
depressed?,0
,0
8. About how often did you feel,1
that everything was an effort?,1
,0
9. About how often did you feel,1
so sad that nothing could cheer,1
you up?,0
,0
10. About how often did you feel,1
worthless?,0
,0
"This document may be freely downloaded and distributed on condition no change is made to the content. The information in this document is not intended as asubstitute for professional medical advice,",1
,0
diagnosis or treatment. Not to be used for commercial purposes and not to be hosted electronically outside of the Black Dog In stitute website. www.blackdoginstitute.org.au,1
,0
Today’s Date: _  _  /  _  _  /  _  _  _  _,0
,0
,0
,0
"This document may be freely downloaded and distributed on condition no change is made to the content. The information in this document is not intended as asubstitute for professional medical advice,",0
,0
diagnosis or treatment. Not to be used for commercial purposes and not to be hosted electronically outside of the Black Dog Institute website. www.blackdoginstitute.org.au,0
,0
Explanatory Notes,0
,0
K10,0
,0
What is the K10 and how is it scored?,1
,0
The K10 is widely recommended as a simple measure of psychological distress and as a measure,0
of outcomes following treatment for common mental health disorders. The K10 is in the public,0
domain and is promoted on the Clinical Research Unit for Anxiety and Depression website,0
(www.crufad.org) as a self report measure to identify need for treatment.,0
,0
"The K10 uses a five value response option for each question – all of the time, most of the time,",0
"some of the time, a little of the time and none of the time which can be scored from five through to",0
one.,0
,0
"The maximum score is 50 indicating severe distress, the minimum score is 10 indicating no",0
distress.,0
,0
Questions 3 and 6 are not asked if the preceding question was ‘none of the time’ in which case,0
questions 3 and 6 would automatically receive a score of one.,0
,0
"For further information on the K10 please refer to www.crufad.org or Andrews, G Slade, T.",0
Interpreting score on the Kessler Psychological Distress Scale (K10). Australia and New Zealand,0
Journal of Public Health: 2001; 25:6: 494-497.,0
