Text,IsQuestion
,0
1,0
,0
OFFICE USE ONLY,0
YEARS     MONTHS  - if given,0
,0
,0
,0
,0
1 GREAT DEAL 4 NONE AT ALL,0
,0
2 QUITE A LOT 8 DK,0
,0
3 SOME  9NA,0
,0
,0
,0
1 YES  8 DK,0
,0
2 NO  9 NA,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
1 BLEACH 6 RODGER,0
,0
2 PARTLY CORRECT,0
,0
4 OTHER:  8 ‘NO’ AND DK,0
,0
5 ‘YES’ BUT NO 9 NA,0
,0
NAME GIVEN 0 WOODS,0
,0
,0
,0
1 NATIONAL 6 ‘YES’ BUT NO,0
,0
2 LABOUR PARTY GIVEN,0
,0
3 SOCIAL CREDIT,0
,0
4 VALUES,0
,0
5 OTHER:  9 NA,0
,0
,0
,0
1 3 years (1 term)  4 About 9 (or 10),0
,0
"2 “short time” years, 3 terms",0
,0
"3 6 years, “two 5 over 10 years",0
,0
"terms”, “about 6 over 20 years",0
,0
5 years”  7 “long time”,0
,0
9 NA,0
,0
"VOTING SURVEY, 1981:  DUNEDIN NORTH ELECTORATE",0
,0
,0
Good morning: My name is    . We have been commissioned to conduct a,0
,0
study for the Political Studies Department of the University of Otago. I would be most grateful,0
,0
if you would help me by answering some questions. I can assure you that all your answers,0
,0
and views will be treated as fully confidential. Thank you very much.,0
,0
Would you tell me how many men/women there are in this household who are registered,1
,0
electors in the DUNEDIN NORTH ELECTORATE?,0
,0
1 Interview 2 or more List     (Interview person whose birthday falls next,0
,0
after date of interview.)   NOT COMPLETED,0
,0
,0
,0
"3:01 Well, first of all I would like to ask roughly how long you",1
,0
have been living in the Dunedin North Electorate?,1
,0
3:02 How much interest do you generally have in what goes on,1
,0
"in politics – a great deal, quite a lot, some or none at all?",1
,0
,0
,0
"3:03 In the past month, has anyone from any of the political",1
,0
parties visited you?,0
,0
,0
,0
,0
,0
3:03b IF YES: Could you give me details?,1
,0
,0
,0
,0
,0
,0
,0
3:04 Do you happen to know your M.P.’s name? What is that?,1
,0
,0
,0
,0
,0
,0
,0
,0
,0
"3:05 (Well), do you happen to remember which party your M.P.",1
,0
belongs to? Which party is that?,1
,0
,0
,0
,0
,0
,0
,0
,0
,0
"3:06 And do you, by any chance know how long your M.P.’s",0
,0
been in Parliament?,0
,0
3:06b IF YES: How long?,0
,0
(IF NECESSARY WRITE IN ANSWER),0
,0
,0
,0
2,0
,0
1 BLEACH 8 ‘NO’ AND DK,0
,0
2 RODGER 9 NA,0
,0
4 OTHER NAME:  0 WOODS,0
,0
,0
,0
,0
,0
1 BLEACH 8 ‘NO’ AND DK,0
,0
