Text,IsQuestion
,0
,0
,0
,0
ID: |___|___|___|___|___|,0
,0
Data: ___ / ___ / ______,0
,0
,0
,0
,0
Este questionário é confidencial.,0
Seu nome não aparecerá nele.,0
,0
,0
,0
,0
,0
"Se você tiver alguma dúvida, chame a psicóloga. Ela irá ajudar você sem olhar as suas respostas.",0
,0
,0
,0
Leia as perguntas com atenção e marque um X na resposta que você achar melhor.  Não há,0
,0
"resposta certa ou errada, queremos apenas a sua opinião.",0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
CONF. RESPONDEU CONFIDENCIAL?,0
,0
(   ) 1 SIM,0
,0
"(   ) 2 NÃO, RECUSA",0
,0
"(   ) 3 NÃO, OUTRO MOTIVO",0
,0
,0
,0
,0
,0
AS PRIMEIRAS PERGUNTAS SÃO SOBRE ÁLCOOL,0
"Q1. ALGUMA VEZ NA VIDA, você já tomou",0
,0
"alguma bebida de álcool, como cerveja, vinho ou",0
,0
vodka?,0
,0
(   ) 1 Sim,0
,0
(   ) 2 Não,0
,0
"Q2. SE SIM, que IDADE você tinha quando tomou",0
,0
pela primeira vez?,0
,0
,0
,0
____  ____ anos,0
,0
(   ) 99 Não se aplica (nunca tomei bebida de álcool),0
,0
"Q3. SE SIM, você tomou bebida de álcool NOS",0
,0
ÚLTIMOS 12 MESES?,0
,0
(   ) 1 Sim,0
,0
(   ) 2 Não,0
,0
(   ) 99 Não se aplica (nunca tomei álcool),0
,0
"Q4. SE SIM, com que frequência você tomou",0
,0
bebida de álcool nos ÚLTIMOS 12 MESES?,1
,0
(   ) 1 Uma ou duas vezes,0
,0
(   ) 2 Mensalmente,0
,0
(   ) 3 Semanalmente,0
,0
(   ) 4 Diariamente ou quase diariamente,0
,0
(   ) 99 Não se aplica (não tomei nos últimos meses),0
,0
(   ) 99 Não se aplica (nunca tomei álcool),0
,0
"Q5. SE SIM, com que frequência você tomou um",0
,0
porre ou ficou bêbedo nos ÚLTIMOS 12 MESES?,1
,0
(   ) 1 Uma ou duas vezes,0
,0
(   ) 2 Mensalmente,0
,0
(   ) 3 Semanalmente,0
,0
(   ) 4 Diariamente ou quase diariamente,0
,0
(   ) 99 Não se aplica (não tomei porre),0
,0
(   ) 99 Não se aplica (não tomei nos últimos meses),0
,0
(   ) 99 Não se aplica (nunca tomei álcool),0
,0
"Q6. SE SIM, beber tem causado problemas para",0
,0
"você (com seus pais, com seus amigos, na escola",0
,0
ou no trabalho)?,0
,0
(   ) 1 Sim,0
,0
(   ) 2 Não,0
,0
(   ) 99 Não se aplica (nunca tomei álcool),0
,0
,0
,0
,0
,0
,0
,0
AS PRÓXIMAS PERGUNTAS SÃO SOBRE CIGARRO E SUBSTÂNCIAS,0
"Q7. ALGUMA VEZ NA VIDA, você já fumou",0
,0
"cigarro, charuto ou mascou fumo?",1
,0
(   ) 1 Sim,0
,0
(   ) 2 Não,0
,0
"Q8. SE SIM, que IDADE você tinha quando",0
,0
experimentou pela primeira vez?,0
,0
,0
,0
____  ____ anos,0
,0
(   ) 99 Não se aplica (nunca fumei cigarro),0
,0
"Q9. SE SIM, você fumou cigarro alguma vez NOS",0
,0
ÚLTIMOS 12 MESES?,0
,0
(   ) 1 Sim,0
,0
(   ) 2 Não,0
,0
(   ) 99 Não se aplica (nunca fumei cigarro),0
,0
"Q10. SE SIM, com que frequência você fumou",0
,0
cigarro NOS ÚLTIMOS 12 MESES?,0
,0
(   ) 1 Uma ou duas vezes,0
,0
(   ) 2 Mensalmente,0
,0
(   ) 3 Semanalmente,0
,0
(   ) 4 Diariamente ou quase diariamente,0
,0
(   ) 99 Não se aplica (não fumei nos últimos meses),0
,0
Q11. Os seus AMIGOS ou alguém da sua turma,0
,0
usam alguma dessas coisas?,0
,0
Bebida de álcool,0
,0
Cigarro,0
,0
Cola de sapateiro,0
,0
Solvente ou tiner,0
,0
Cocaína,0
,0
Maconha,0
,0
Crack,0
,0
"Ecstasy (MDMA, “bala”)",0
,0
Ácido ou LSD (“doce”),0
,0
Anfetamina (“speed”),0
,0
Esteróides (anabolizantes ou “bomba”),0
,0
Remédios para dar algum “barato”?,0
,0
Outra coisa? __________________,0
,0
,0
,0
,0
,0
(   ) 1 Sim     (   ) 2 Não,0
,0
