text,label
Youth Strengths Inventory,0
N1 As descrições a seguir servem para ele(a)? Não Um,0
pouco Muito,0
Generoso(a),1
Animado(a),1
Tem vontade de aprender,1
Afetuoso(a),1
Confiável e responsável,1
Fácil de lidar,1
"Divertido(a), com senso de humor",1
Interessado em muitas coisas,1
"Carinhoso(a), bom-coração",1
"j) <q>Se algo dá errado, levanta a cabeça e segue em",0
frente</q> 0 1 2,0
"Agradecido(a), dá valor ao que recebe",1
Independente,1
N2 Quais são as coisas que ele/a faz que realmente,0
lhe agradam? Não Um,0
pouco Muito,0
Ajuda em casa,1
Se dá bem com o resto da família,1
Faz a lição de casa sem precisar ser lembrado(a),1
"d) <q>Atividades criativas: artes, interpretação,",0
"música, trabalhos manuais</q> 0 1 2",0
e) <q>Gosta de estar envolvido(a) em atividades,0
familiares</q> 0 1 2,0
Cuida da aparência,1
Bom/Boa em trabalhos escolares,1
Educado(a),1
Bom/boa em esportes,1
Mantém o quarto arrumado,1
Bom/boa com amigos,1
Bem comportado(a),1
