text,label
The New York Longitudinal Study,0
"Alexander Thomas, Stella Chess, Herbert G. Birch",0
personality types - temperament traits,0
Home,0
Explore our Site,0
Related link pages,0
"Thomas, Chess & Birch ~",0
human personality traits,0
"The New York Longitudinal Study, started in 1956 and continued over several decades thereafter, is regarded as a classic",0
study into personality types and temperament traits.,0
"The study, conducted amongst young children, in its early days had such persons as Alexander Thomas, Stella Chess,",0
Herbert G. Birch and Margaret Hertzig as principal contributors.,0
The New York Longitudinal Study investigations included direct observation and also interviews with parents about their,0
children.,0
The team came up with ways of investigating individual styles of personality and temperament amongst children and,0
"discovered ways of identifying and giving a relevant rating to nine separate ""qualities"" associated with personality and",0
temperament.,0
"In analysing their data, the nine characteristics that were identified by the team as being reliably scorable on a three-point",0
"scale (medium, high and low) were:-",0
the level and extent of motor activity;,1
"the rhythmicity, or degree of regularity, of functions such as eating, elimination and the cycle of sleeping and",1
wakefulness;,0
"the response to a new object or person, in terms of whether the child accepts the new experience or withdraws from",1
it;,0
the adaptability of behavior to changes in the environment;,1
"the threshold, or sensitivity, to stimuli;",1
"the intensity, or energy level, of responses;",1
"the child's general mood or ""disposition"", whether cheerful or given to crying, pleasant or cranky, friendly or",1
unfriendly;,0
the degree of the child's distractibility from what he is doing;,1
the span of the child's attention and his persistence in an activity.,1
"The set of ratings in these nine characteristics were held to define the temperament, or behavioural profile, of each child.",0
Such profiling was held to be reliable even as early as the age of two or three months. The team found that the nine,0
"qualities could be identified and rated in a wide diversity of population samples they studied: be they rich, poor, of recent",0
"immigrant background, mentally retarded children, children born prematurely or children with congenital rubella (""German",0
"measles"") related conditions the team were satisfied that they could reliably rate these nine personality / temperament",0
https://www.age-of-the-sage.org/index.html,0
https://www.age-of-the-sage.org/sitemap.html,0
characteristics.,0
When the researchers analysed the behavioural profiles of the children in an endeavour to find correlations among the nine,0
"individual characteristics, they found that certain attributes did seem to cluster together. This clustering seemed to point",0
toward the definition of three general types of temperament (although quite a few of the children did not easily fit into any,0
"of these three ""types"").",0
"The ""easy children""",0
This type - approximately forty per cent of the 141 children in the total sample were placed in this category - was,0
"held to be characterised by positiveness in mood, regularity in bodily functions, a low or moderated intensity of",0
"reaction, adaptability and positive approach to, rather than withdrawal from, new situations.",0
"In infancy these children seemed to quickly establish regular sleeping and feeding schedules, were generally cheerful",0
"and adapted quickly to new routines, new food and new people. As they grew older they learned the rules of new",0
"games quickly, participated readily in new activities and adapted easily to school. This group was called the ""easy",0
"children"", because they presented so few problems in care and training.",0
"The ""difficult children""",0
"Another set of characteristics such as irregular in bodily functions, usual intensity in reactions, tendency to withdraw",0
"in the face of new stimuli, relative slowness to adapt to changes in the environment and general negativity in mood",0
"was deemed by the reseachers to be associable with another group that they labelled ""difficult children"".",0
As infants such children - comprising about ten per cent of the children sampled - were often irregular in feeding and,0
"sleeping, were slower to accept new foods, took a longer time to adjust to new routines or activities and tended to cry",0
a great deal. Their crying and their laughter were rated as being characteristically loud. Frustrations usually seemed,0
"to send them into violent tantrums. These children were, of course, something of a trial to their parents and required",0
a high degree of consistency and tolerance in their upbringing.,0
"The ""slow to warm up""",0
"The children classified by the team as ""slow to warm up"" - fifteen per cent of the population sample studied -",0
"typically had relatively low activity levels, tended to withdraw on their first exposure to new stimuli, were slower to",0
"adapt, were somewhat negative in mood and responded to situations with a low intensity of reaction.",0
"With some forty per cent being deemed to be ""easy children"", some ten per cent being deemed to be ""difficult children"",",0
"and with some fifteen per cent being deemed to be ""slow to warm up"" only some sixty-five per cent of the children were",0
described as belonging to one or other of the three categories the study felt it appropriate to to define.,0
The remaining thirty-five per cent had such mixtures of the nine temperament traits as did not seem to allow classification,0
into one of the three groups.,0
There may well be an association to be made between the New York Longitudinal Study and the work of,0
Dr.William Sheldon who also researched into Human personality traits /,0
temperament types.,0
Some inkling of the potential far-reaching implications of the research by the New York Longitudinal Study and by Dr.,0
"Sheldon into human personality and temperament traits can be gained through reading our page about the "" Tripartite Soul",0
""" of Humanity as identified by Plato and Socrates, by Shakespeare and by several Major World Religions:-",0
"""…can we possibly refuse to admit that there exist in each of us the same generic parts and characteristics as are found in",0
the state? For I presume the state has not received them from any other source. It would be ridiculous to imagine that the,0
"presence of the spirited element in cities is not to be traced to individuals, wherever this character is imputed to the people,",0
"as it is to the natives of Thrace, and Scythia, and generally speaking, of the northern countries; or the love of knowledge,",0
"which would be chiefly attributed to our own country; or the love of riches, which people would especially connect with the",0
"Phoenicians and the Egyptians.""",0
Socrates / Plato ~ Famous Philosophers who lived in Ancient Greece,0
"""The first glance at History convinces us that the actions of men proceed from their needs, their passions, their characters",0
"and talents; and impresses us with the belief that such needs, passions and interests are the sole spring of actions.""",0
"Georg Hegel, 1770-1831, German philosopher, The Philosophy of History (1837)",0
https://www.age-of-the-sage.org/psychology/sheldon.html,0
