text,label
Beck's Depression Inventory,0
This depression inventory can be self-scored. The scoring scale is at the end of the questionnaire.,0
1.,0
I do not feel sad.,1
I feel sad,1
I am sad all the time and I can't snap out of it.,1
I am so sad and unhappy that I can't stand it.,1
2.,0
I am not particularly discouraged about the future.,1
I feel discouraged about the future.,1
I feel I have nothing to look forward to.,1
I feel the future is hopeless and that things cannot improve.,1
3.,0
I do not feel like a failure.,1
I feel I have failed more than the average person.,1
"As I look back on my life, all I can see is a lot of failures.",1
I feel I am a complete failure as a person.,1
4.,0
I get as much satisfaction out of things as I used to.,1
I don't enjoy things the way I used to.,1
I don't get real satisfaction out of anything anymore.,1
I am dissatisfied or bored with everything.,1
5.,0
I don't feel particularly guilty,1
I feel guilty a good part of the time.,1
I feel quite guilty most of the time.,1
I feel guilty all of the time.,1
6.,0
I don't feel I am being punished.,1
I feel I may be punished.,1
I expect to be punished.,1
I feel I am being punished.,1
7.,0
I don't feel disappointed in myself.,1
I am disappointed in myself.,1
I am disgusted with myself.,1
I hate myself.,1
8.,0
I don't feel I am any worse than anybody else.,1
I am critical of myself for my weaknesses or mistakes.,1
I blame myself all the time for my faults.,1
I blame myself for everything bad that happens.,1
9.,0
I don't have any thoughts of killing myself.,1
"I have thoughts of killing myself, but I would not carry them out.",1
I would like to kill myself.,1
I would kill myself if I had the chance.,1
10.,0
I don't cry any more than usual.,1
I cry more now than I used to.,1
I cry all the time now.,1
"I used to be able to cry, but now I can't cry even though I want to.",1
11.,0
I am no more irritated by things than I ever was.,1
I am slightly more irritated now than usual.,1
I am quite annoyed or irritated a good deal of the time.,1
I feel irritated all the time.,1
12.,0
I have not lost interest in other people.,1
I am less interested in other people than I used to be.,1
I have lost most of my interest in other people.,1
I have lost all of my interest in other people.,1
13.,0
I make decisions about as well as I ever could.,1
I put off making decisions more than I used to.,1
I have greater difficulty in making decisions more than I used to.,1
I can't make decisions at all anymore.,1
14.,0
I don't feel that I look any worse than I used to.,1
I am worried that I am looking old or unattractive.,1
2   <q>I feel there are permanent changes in my appearance that make me look,0
unattractive</q>,0
I believe that I look ugly.,1
15.,0
I can work about as well as before.,1
It takes an extra effort to get started at doing something.,1
I have to push myself very hard to do anything.,1
I can't do any work at all.,1
16.,0
I can sleep as well as usual.,1
I don't sleep as well as I used to.,1
I wake up 1-2 hours earlier than usual and find it hard to get back to sleep.,1
I wake up several hours earlier than I used to and cannot get back to sleep.,1
17.,0
I don't get more tired than usual.,1
I get tired more easily than I used to.,1
I get tired from doing almost anything.,1
I am too tired to do anything.,1
18.,0
My appetite is no worse than usual.,1
My appetite is not as good as it used to be.,1
My appetite is much worse now.,1
I have no appetite at all anymore.,1
19.,0
"I haven't lost much weight, if any, lately.",1
I have lost more than five pounds.,1
I have lost more than ten pounds.,1
I have lost more than fifteen pounds.,1
20.,0
I am no more worried about my health than usual.,1
"1   <q>I am worried about physical problems like aches, pains, upset stomach, or",0
constipation.</q>,0
I am very worried about physical problems and it's hard to think of much else.,1
I am so worried about my physical problems that I cannot think of anything else.,1
21.,0
I have not noticed any recent change in my interest in sex.,1
I am less interested in sex than I used to be.,1
I have almost no interest in sex.,1
I have lost interest in sex completely.,1
INTERPRETING THE BECK DEPRESSION INVENTORY,0
"Now that you have completed the questionnaire, add up the score for each of the twenty-one",0
questions by counting the number to the right of each question you marked. The highest possible,0
total for the whole test would be sixty-three. This would mean you circled number three on all,0
"twenty-one questions. Since the lowest possible score for each question is zero, the lowest",0
possible score for the test would be zero. This would mean you circles zero on each question.,0
You can evaluate your depression according to the Table below.,0
Total Score____________________Levels of Depression,0
1-10____________________These ups and downs are considered normal,0
11-16___________________ Mild mood disturbance,0
17-20___________________Borderline clinical depression,0
21-30___________________Moderate depression,0
31-40___________________Severe depression,0
over 40__________________Extreme depression,0
helau,0
Text Box,0
http://www.med.navy.mil/sites/NMCP2/PatientServices/SleepClinicLab/Documents/Beck_Depression_Inventory.pdf,0
