text,label
"Nos últimos 3 meses, o quanto VERDADEIRO cada frase é para",0
você:,0
NUNCA OU,0
RARAMENTE ÀS VEZES,0
MUITAS,0
VEZES OU,0
QUASE,0
SEMPRE,0
"Quando eu fico com medo, eu tenho dificuldade de respirar.",1
SC2 <q>Eu sinto dor de cabeça quando estou na faculdade ou,0
trabalho.</q> (  ) 0 (  ) 1 (  ) 2,0
Eu não gosto de estar com pessoas que não conheço bem.,1
Eu fico com medo quando eu durmo fora de casa.,1
Eu me preocupo se outras pessoas gostam de mim.,1
"SC6 <q>Quando eu fico com medo, eu sinto como se eu fosse",0
desmaiar.</q> (  ) 0 (  ) 1 (  ) 2,0
SC7,0
Eu sou nervoso (a).,1
SC8 <q>Eu sigo as pessoas a quem sou muito ligado aonde eles,0
vão.</q> (  ) 0 (  ) 1 (  ) 2,0
As pessoas me dizem que eu pareço nervoso.,1
SC10,0
Eu fico nervoso(a) com pessoas que eu não conheço bem.,1
Eu tenho dor de barriga na faculdade ou trabalho.,1
"Quando eu fico com medo, eu acho que vou enlouquecer.",1
SC13,0
Eu tenho medo de dormir sozinho.,1
Eu me preocupo em ser tão bom quanto aos outros.,1
"SC15 <q>Quando eu fico com medo, tenho a impressão de que as",0
coisas não são reais.</q>,0
(  ) 0 (  ) 1 (  ) 2,0
SC16 <q>Eu tenho pesadelos com coisas ruins acontecendo com as,0
pessoas a quem sou muito ligado.</q>,0
(  ) 0 (  ) 1 (  ) 2,0
SC17 <q>Eu fico preocupado quando tenho que ir à faculdade ou,0
trabalho.</q>,0
(  ) 0 (  ) 1 (  ) 2,0
SC18,0
"Quando eu fico com medo, o meu coração bate rápido.",1
SC19,0
"Quando eu fico nervoso, eu tremo de medo.",1
SC20 Eu tenho pesadelos com alguma coisa ruim acontecendo,0
comigo.,0
(  ) 0 (  ) 1 (  ) 2,0
SC21,0
Eu fico preocupado se as coisas vão dar certo para mim.,1
SC22,0
"Quando eu fico com medo, eu suo muito.",1
