text,label
GAD-7 Anxiety,0
Column totals       _____   +   _____   +     _____   +   _____    =,0
Total score   _______,0
Source: Primary Care Evaluation of Mental Disorders Patient Health Questionnaire (PRIME-MD-PHQ). The PHQ was,0
"developed by Drs. Robert L. Spitzer, Janet B.W. Williams, Kurt Kroenke, and colleagues. For research information, contact Dr.",0
Spitzer at ris8@columbia.edu.  PRIME-MD® is a trademark of Pfizer Inc. Copyright© 1999 Pfizer Inc. All rights reserved.,0
Reproduced with permission,0
Scoring GAD-7 Anxiety Severity,0
"This is calculated by assigning scores of 0, 1, 2, and 3 to the response categories, respectively,",0
"of “not at all,” “several days,” “more than half the days,” and “nearly every day.”",0
GAD-7 total score for the seven items ranges from 0 to 21.,0
0–4: minimal anxiety,0
5–9: mild anxiety,0
10–14: moderate anxiety,0
15–21: severe anxiety,0
"Over the last two weeks, how often have you",0
been bothered by the following problems?,0
Not,0
at all,0
Several,0
days,0
More,0
than half,0
the days,0
Nearly,0
every,0
day,0
"Feeling nervous, anxious, or on edge",1
0,0
1,0
2,0
3,0
Not being able to stop or control worrying,1
0,0
1,0
2,0
3,0
Worrying too much about different things,1
0,0
1,0
2,0
3,0
Trouble relaxing,1
0,0
1,0
2,0
3,0
Being so restless that it is hard to sit still,1
0,0
1,0
2,0
3,0
Becoming easily annoyed or irritable,1
0,0
1,0
2,0
3,0
"7. <q>Feeling afraid, as if something awful",0
might happen</q>,0
0,0
1,0
2,0
3,0
"If you checked any problems, how difficult have they made it for you to do your work, take care of",0
"things at home, or get along with other people?",0
Not difficult at all                    Somewhat difficult            Very difficult             Extremely difficult,0
□                        □                   □                  □,0
mailto:ris8@columbia.edu,0
