text,label
188,0
TEMPERAMENT INVENTORY,0
Final Set of Items fo r the TI,0
"(C) 1. (1) <q>I succeed when some people f a i l ,  not because my plans",0
"are better, but because I keep pushing when they get",0
discouraged and quit.</q>,0
"(P) 2. (2) <q>My calm, tranquil nature usually keeps me from getting",0
upset in the face of external turmoil or stress.</q>,0
"(S) 3. (7) <q>I am not able to converse easily with other people,",0
but I'm pretty good a t sizing them up and analyzing them</q>,0
(C) 4. (8) <q>I frequently find myself arriv ing la te  for engagements,0
and forgetting resolutions.</q>,0
"(C) 5. (11) <q>I am self-motivated. I f  something is there to be done,",0
I can't be satisfied until I've  completed i t .</q>,0
"(M) 6. (12) <q>I usually prefer so lita ry  a c tiv it ie s , such as reading,",0
to a c tiv itie s  which involve other people.</q>,0
"(M) 7. (13) <q>I go over and over decisions a fte r I make them, asking",0
myself i f  I chose right.</q>,0
(M) 8. (15) <q>I tend to remember when people have insulted me and to,0
think about i t  every now and then.</q>,0
"(S) 9. (16) <q>I rea lly  enjoy myself, and my attitude seems to be",0
contagious to those around me.</q>,0
(M) 10. (17) <q>In my introspection I tend to re live  over and over,0
again the events of the past.</q>,0
(S) 11. (20) <q>I like  to be where there is something going on a ll,0
the time.</q>,0
I t  makes me gloomy when other people ignore or avoid me.,1
(M) 13. (24) <q>I have a tendency to hold grudges against people who,0
are rude to me.</q>,0
(M) 14. (25) <q>I tend to be emotional. Things arouse or upset me,0
pretty easily.</q>,0
(P) 15. (26) <q>I t  usually takes something drastic to get me excited,0
or upset.</q>,0
(P) 16. (27) <q>I have a rather even-tempered emotional response to,0
things.</q>,0
Reproduced with permission of the copyright owner. Further reproduction prohibited without permission.,0
"(M) 17. (28 <q>Sometimes when I see two people laughing, I wonder i f",0
they're laughing at me.</q>,0
"(py 18. (29 <q>I have a pretty even disposition, not too many ups and",0
downs.</q>,0
My friends would describe me as relaxed and even-tempered,1
(M) 20. (31 <q>I should have more self-confidence: I tend to under­,0
estimate my a b ilit ie s .</q>,0
(C) 21. (32 <q>I f  a job needs to be done I do i t  regardless of how,0
unpleasant i t  is .</q>,0
"(M) 22. (33 <q>I tend to re fle c t a good deal on my dreams, hopes, and",0
aspirations.</q>,0
"I have a tendency to think gloomy, pessimistic thoughts.",1
I often have trouble finishing things that I've  started.,1
"In social situations, I am ta lka tive  and spontaneous.",1
I am usually uncomfortable in a group of people.,1
I enjoy people and just like  to be around them.,1
"I have a somewhat defensive, touchy nature.",1
Adversity just stimulates me to push a l i t t l e  harder.,1
I am somewhat serious and very deeply emotional.,1
I have a warm s p ir it .  I am liv e ly  and enjoy liv in g .,1
"By nature I seem to be a pretty good ""peacemaker.""",1
My friends consider me to be a tactfu l person.,1
I tend to be pretty tolerant of other people.,1
When things go wrong I knuckle down and try  harder.,1
"I am calm and relaxed, and rather unemotional.",1
I tend to get my feelings hurt fa ir ly  eas ily .,1
"I see myself as a cheerful, sociable person.",1
"Socia lly , I am a pretty outgoing person.",1
A strong w ill is one of my best assets.,1
Reproduced with permission of the copyright owner. Further reproduction prohibited without permission.,0
190,0
I usually have a good time at parties.,1
I usually make new friends eas ily .,1
I need to learn to worry less.,1
I tend to move and speak slowly and calmly.,1
I have a tendency to brood about things.,1
I tend to be a pretty easygoing person.,1
I usually get a lo t of fun out of l i f e .,1
My friends would call me an extrovert.,1
I tend to analyze myself frequently.,1
I don't get ru ffled  eas ily .,1
"I tend to be a hard, persistent worker.",1
I tend to resent people who oppose me.,1
I don't make friends very easily .,1
I should probably be less lazy.,1
(P) 55. (84) <q>1 prefer occupations that do not require much,0
from me.</q>,0
Reproduced with permission of the copyright owner. Further reproduction prohibited without permission.,0
B I B L I O G R A P H Y,0
Reproduced with permission of the copyright owner. Further reproduction prohibited without permission.,0
BIBLIOGRAPHY,0
"Adler, A. (1927). Understanding human nature. New York: Garden",0
City Publishing.,0
"All port, G. W. (1937). Personality: A psychosocial in terpretation .",0
New York: Holt.,0
American Psychological Association. (1981). Ethical principles,0
"of psychologists. Washington, DC: Author.",0
"Bayley, N. (1969). Ba.yley scales of infant development. New York:",0
Psychological Corporation.,0
"Berger, L. (1968). Psychological testings: Treating and research",0
"implications. Journal of Consulting and Chemical Psychology,",0
"32, 176-181.",0
"Bersoff, D. N. (1973). S ilk  purse in a sow's ear: The decline",0
of psychological testing and a suggestion for its  redemption.,0
"American Psychologist, 28, 822-899.",0
"B1itchington, Peter W., & Cruise, Robert J. (1979). Understanding",0
your temperament: A self-analysis with a Christian view­,0
"point. Berrien Springs, MI: Andrews University Press.",0
"Brock, Arthur John. (1929). Greek medicine. New York: E. P. Dutton.",0
"Brown, S. R ., & Hendrick, C. (1971). Introversion, extroversion,",0
and social perception. British Journal of Social and,0
"C lin ical Psychology, 10, 313-319.",0
"Buss, A ., Plomin, R ., & Willerman, L. (1973). The inheritance of",0
"temperaments. Journal of Personality, 41, 513-524.",0
"Buss, Arnold H ., & Plomin, Robert. (1975). A temperament theory of",0
personality development. New York: John Wiley & Sons.,0
"Caldwell, B. (1978). Manual of the home scale fo r measuring the",0
environment. Unpublished manuscript.,0
"Campos, Barrett, Lamb, Goldsmith, & Stenberger. (1983). Handbook",0
of child psychology. Paul H. Mussen (E d .). New York:,0
John Wiley a Sons.,0
192,0
Reproduced with permission of the copyright owner. Further reproduction prohibited without permission.,0
