text,label
Escala de Aptidões Sociais,0
Como se compara o/a [Nome do Jovem] com as outras crianças/pessoas da idade dele/a nas seguintes situações:,0
Muito pior,0
que a,0
média,0
Um pouco,0
pior que a,0
média,0
Na média,0
Um pouco,0
melhor,0
que a,0
média,0
Muito,0
melhor,0
que a,0
média,0
"SAS1 <q>É capaz de rir com os outros,",0
"por exemplo, aceitando",0
brincadeiras leves e reagindo,0
adequadamente.</q>,0
0,0
1,0
2,0
3,0
4,0
"SAS2 <q>É fácil de conversar com ele/a,",0
mesmo sobre um tema que,0
ele/a não tenha um interesse,0
especial.</q>,0
0,0
1,0
2,0
3,0
4,0
SAS3 <q>É capaz de chegar a um meio-,0
termo e ser flexível</q>,0
0 1 2 3 4,0
SAS4 <q>Encontra a coisa certa para,0
dizer ou fazer para tornar mais,0
fácil uma,0
situação tensa ou embaraçosa.</q>,0
0,0
1,0
2,0
3,0
4,0
SAS5 <q>Tem espírito esportivo quando,0
não ganha ou percebe que está,0
errado/a.,0
Sabe perder.</q>,0
0,0
1,0
2,0
3,0
4,0
SAS6 <q>Outras pessoas se sentem bem,0
com ele/a por perto.</q>,0
0 1 2 3 4,0
SAS7 <q>Entendendo as entrelinhas do,0
"que as pessoas dizem, ele/a",0
consegue saber o,0
que as pessoas estão realmente,0
pensando ou sentindo.</q>,0
0,0
1,0
2,0
3,0
4,0
"SAS8 <q>Depois de ter feito algo errado,",0
ele/a é,0
capaz de pedir desculpas e,0
resolver a situação de forma,0
que não fiquem,0
ressentimentos.</q>,0
0,0
1,0
2,0
3,0
4,0
SAS9 <q>Sabe liderar sem parecer,0
mandão/mandona.</q>,0
0 1 2 3 4,0
SAS10 <q>Sabe o que é apropriado ou,0
não apropriado,0
nas diferentes situações,0
sociais.</q>,0
0,0
1,0
2,0
3,0
4,0
"copyright Robert Goodman, 2001",0
