text,label
41,0
Screen for Child Anxiety Related Disorders (SCARED),0
Child Version - Page 1 of 2 (To be filled out by the CHILD),0
Name: ______________________ Date: __________________________,0
Directions:,0
Below is a list of sentences that describe how people feel. Read each phrase and decide if it is,0
“Not True or Hardly Ever True” or “Somewhat True or Sometimes True” or “Very True or Often,0
"True” for you.  Then for each sentence, fill in one circle that corresponds to the response that",0
seems to describe you for the last 3 months.,0
0,0
Not True,0
or Hardly,0
Ever True,0
1,0
Somewhat,0
True or,0
Sometimes,0
True,0
2,0
Very True,0
or Often,0
True,0
"When I feel frightened, it is hard for me to breathe",1
I get headaches when I am at school,1
I don’t like to be with people I don’t know well,1
I get scared if I sleep away from home,1
I worry about other people liking me,1
"When I get frightened, I feel like passing out",1
I am nervous,1
I follow my mother or father wherever they go,1
People tell me that I look nervous,1
I feel nervous with people I don’t know well,1
My I get stomachaches at school,1
"When I get frightened, I feel like I am going crazy",1
I worry about sleeping alone,1
I worry about being as good as other kids,1
"When I get frightened, I feel like things are not real",1
16.,0
<q>I have nightmares about something bad happening to my par-,0
ents</q>,0
o o o,0
I worry about going to school,1
"When I get frightened, my heart beats fast",1
I get shaky,1
I have nightmares about something bad happening to me,1
42,0
"*For children ages 8 to 11, it is recommended that the clinician explain all questions, or have the child",0
answer the questionnaire sitting with an adult in case they have any questions.,0
0,0
Not True,0
or Hardly,0
Ever True,0
1,0
Somewhat,0
True or,0
Sometimes,0
True,0
2,0
Very True,0
or Often,0
True,0
I worry about things working out for me,1
"When I get frightened, I sweat a lot",1
I am a worrier,1
I get really frightened for no reason at all,1
I am afraid to be alone in the house,1
It is hard for me to talk with people I don’t know well,1
"When I get frightened, I feel like I am choking",1
People tell me that I worry too much,1
I don’t like to be away from my family,1
I am afraid of having anxiety (or panic) attacks,1
I worry that something bad might happen to my parents,1
I feel shy with people I don’t know well,1
I worry about what is going to happen in the future,1
"When I get frightened, I feel like throwing up",1
I worry about how well I do things,1
I am scared to go to school,1
I worry about things that have already happened,1
"When I get frightened, I feel dizzy",1
39.,0
<q>I feel nervous when I am with other children or adults and I have,0
"to do something while they watch me (for example: read aloud,",0
"speak, play a game, play a sport)</q>",0
o o o,0
40.,0
"<q>I feel nervous when I am going to parties, dances, or any place",0
where there will be people that I don’t know well</q>,0
o o o,0
I am shy,1
"Developed by Boris Birmaher, MD, Suneeta Khetarpal, MD, Marlane Cully, MEd, David Brent, MD, and Sandra",0
"McKenzie, PhD.  Western Psychiatric Institute and Clinic, University of Pgh. (10/95). Email: birmaherb@msx.upmc.edu",0
Screen for Child Anxiety Related Disorders (SCARED),0
Child Version - Page 2 of 2 (To be filled out by the CHILD),0
43,0
Screen for Child Anxiety Related Disorders (SCARED),0
Parent Version - Page 1 of 2 (To be filled out by the PARENT),0
Name: ______________________ Date: __________________________,0
Directions:,0
Below is a list of statements that describe how people feel. Read each statement carefully and,0
decide if it is “Not True or Hardly Ever True” or “Somewhat True or Sometimes True” or “Very,0
"True or Often True” for your child.  Then for each statement, fill in one circle that corresponds",0
to the response that seems to describe your child for the last 3 months.  Please respond to all,0
"statements as well as you can, even if some do not seem to concern your child.",0
0,0
Not True,0
or Hardly,0
Ever True,0
1,0
Somewhat,0
True or,0
Sometimes,0
True,0
2,0
Very True,0
or Often,0
True,0
"When my child feels frightened, it is hard for him/her to breathe",1
My child gets headaches when he/she is at school,1
My child doesn’t like to be with people he/she doesn’t know well,1
My child gets scared if he/she sleeps away from home,1
My child worries about other people liking him/her,1
"When my child gets frightened, he/she feels like passing out",1
My child is nervous,1
My child follows me wherever I go,1
People tell me that my child looks nervous,1
My child feels nervous with people he/she doesn’t know well,1
My child gets stomachaches at school,1
12.,0
"When my child gets frightened, he/she feels like he/she is going",0
crazy,0
o o o,0
My child worries about sleeping alone,1
My child worries about being as good as other kids,1
"When he/she gets frightened, he/she feels like things are not real",1
16.,0
My child has nightmares about something bad happening to his/her,0
parents,0
o o o,0
My child worries about going to school,1
"When my child gets frightened, his/her heart beats fast",1
He/she gets shaky,1
My child has nightmares about something bad happening to him/her,1
44,0
Screen for Child Anxiety Related Disorders (SCARED),0
