text,label
PHQ-9 Depression,0
"Over the last 2 weeks, how often have you",0
been bothered by any of the following problems?,0
(Use “s”” to indicate your answer”,0
Little interest or pleasure in doing things,1
"Feeling down, depressed, or hopeless",1
"Trouble falling or staying asleep, or sleeping too",1
Feeling tired or having little energy,1
Poor appetite or overeating,1
6. <q>Feeling bad about yourself — or that you are a failure,0
or have let yourself or your family down</q>................2.0..08,0
"7. <q>Trouble concentrating on things, such as reading the",0
newspaper or watching television</q>..................ececeeeeeees,0
8. <q>Moving or speaking so slowly that other people could,0
have noticed? Or the opposite — being so fidgety or,0
restless that you have been moving .around a lot more than</q>,0
9. <q>Thoughts that you would be better off dead or of hurting,0
yourself in SOME WAY</q>......... 0 :eceec eee ececeeeneeeceeeaeneeenenens,0
Column totals,0
From the Primary Care Evaluation of Mental Disorders Patient Health Questionnaire (PRIME-MD PHQ). The PHQ,0
"was developed by Drs. Robert L. Spitzer, Janet B.W. Williams, Kurt Kroenke and colleagues. For research",0
"information, contact Dr. Spitzer at rls8@columbia.edu. PRIME-MD@® is a trademark of Pfizer Inc. Copyright© 1999",0
Pfizer Inc. All rights reserved. Reproduced with permission,0
More,0
than Nearly,0
Not at Several half the every,0
all days days day,0
0 1 2 3,0
0 1 Z 3,0
0 1 2 2,0
0 1 2 3,0
0 1 2 3,0
0 1 2 3,0
0 1 2 3,0
0 1 2 3,0
0 1 2 3,0
+ +,0
= Total Score,0
