text,label
Questionário de Capacidades e Dificuldades – Auto-relato,0
"Instruções: Esta entrevista cobre muitos tópicos em detalhes, mas",0
"antes de nos concentrarmos nesses detalhes, nós gostaríamos que você",0
preenchesse um breve questionário para nos dar uma visão geral sobre,0
suas capacidades e dificuldades. Por favor responda todos os,0
itens mesmo que você não tenha 100% de certeza de que as respostas,0
estão certas. O quão bem cada afirmação descreve como você tem,0
estado nos últimos 6 meses?,0
Fa,0
ls,0
o,0
M,0
ai,0
s,0
ou,0
m,0
en,0
os,0
ve,0
rd,0
ad,0
ei,0
ro,0
Ve,0
rd,0
ad,0
ei,0
ro,0
EM,0
O,0
C,0
IO,0
N,0
AL,0
C,0
O,0
N,0
D,0
U,0
TA,0
H,0
IP,0
ER,0
AT,0
IV,0
ID,0
AD,0
E,0
SO,0
C,0
IA,0
L,0
PR,0
Ó,0
- S,0
O,0
C,0
IA,0
L,0
SDQ1. <q>Tento ser legal com as outras pessoas. Eu me preocupo com,0
os sentimentos dos outros</q> 0 1 2,0
"SDQ2. <q>Sou inquieto/a, é difícil para mim ficar sentado por muito",0
tempo</q> 0 1 2,0
"SDQ3. <q>Muitas vezes tenho dor de cabeça, dor de barriga ou enjôo 0 1 2",0
SDQ4. <q>Geralmente me disponho a dividir com os outros (ex. comida,0
ou bebida) 0 1 2,0
Fico muito bravo/a e geralmente perco a paciência,1
Prefiro estar sozinho/a do que com outras pessoas,1
SDQ7. <q>Geralmente estou disposto/a a fazer o que as outras pessoas,0
querem</q> 2 1 0,0
"SDQ8. <q>Tenho muitas preocupações, muitas vezes pareço",0
preocupado/a com tudo</q> 0 1 2,0
"SDQ9. <q>Tento ajudar se alguém parece magoado, aflito ou sentindo-",0
se mal</q> 0 1 2,0
"SDQ10. <q>Estou sempre agitado/a, balançando as pernas ou mexendo",0
as mãos</q> 0 1 2,0
Eu tenho pelo menos um bom amigo ou amiga,1
SDQ12. <q>Brigo muito. Consigo fazer com que as pessoas façam o que,0
eu quero</q> 0 1 2,0
"SDQ13. <q>Frequentemente estou chateado/a, desanimado/a ou",0
choroso/a</q> 0 1 2,0
Outras pessoas geralmente gostam de mim,1
Facilmente perco a concentração,1
SDQ16. <q>Fico nervoso/a quando tenho que fazer alguma coisa,0
"diferente, facilmente perco a confiança em mim mesmo</q> 0 1 2",0
Sou legal com crianças,1
Frequentemente sou acusado/a de mentir ou trapacear,1
"SDQ19. <q>Outras pessoas ""pegam no meu pé"" ou fazem bullying",0
comigo</q> 0 1 2,0
SDQ20. Frequentemente me ofereço para ajudar os outros (pessoas,0
"da família, amigos, colegas)</q> 0 1 2",0
Penso antes de fazer as coisas,1
"SDQ22. <q>Pego para mim coisas que não são minhas, de casa, do",0
trabalho ou de outros lugares</q> 0 1 2,0
SDQ23. <q>Eu me dou melhor com pessoas mais velhas do que com,0
pessoas da minha idade</q> 0 1 2,0
Sinto muito medo. Eu me assusto facilmente,1
SDQ25. <q>Consigo terminar as atividades que começo e prestar,0
atenção</q> 2 1 0,0
SUB-TOTAIS,0
"SDQ26. <q>De forma geral, você acha que você tem dificuldades em uma ou mais das seguintes",0
"áreas: emoções, concentração, comportamento ou ser capaz de se relacionar com outras",0
pessoas?</q>,0
Não Sim – pequenas,0
dificuldades,0
Sim – dificuldades bem,0
definidas,0
Sim – dificuldades,0
graves,0
(  ) 0 (  ) 1 (  ) 2 (  ) 3,0
Pule para Seção A     SDQ26a,0
Há quanto tempo estas dificuldades existem?,1
Menos de 1 mês 1-5 meses 6-12 meses Mais de 1 ano,0
(  ) 0 (  ) 1 (  ) 2 (  ) 3,0
Estas dificuldades incomodam ou aborrecem você?,1
Nada Um pouco Muito Extremamente,0
(  ) 0 (  ) 1  (  ) 2 (  ) 3,0
Estas dificuldades atrapalham o seu dia-a-dia em alguma das situações abaixo?,1
Nada Um pouco Muito Extremamente,0
SDQ26c. <q>Relacionamento com,0
"pessoas próximas (ex. família,",0
esposo/a)</q>,0
(  ) 0,0
(  ) 1,0
(  ) 2,0
(  ) 3,0
Fazer e manter amigos,1
(  ) 1,0
(  ) 2,0
(  ) 3,0
Trabalho ou estudos,1
(  ) 1,0
(  ) 2,0
(  ) 3,0
SDQ26f. <q>Coisas que você gosta de,0
"fazer, esportes ou outras atividades de",0
lazer</q>,0
(  ) 0,0
(  ) 1,0
(  ) 2,0
(  ) 3,0
SDQ26g. <q>Estas dificuldades tornam as coisas mais difíceis para as pessoas que convivem,0
"com você (família, amigos, etc.)?</q>",0
Nada Um pouco Muito Extremamente,0
(  ) 0 (  ) 1 (  ) 2 (  ) 3,0
