text,label
3,0
Short General Health Questionnaire (GHQ 12),0
Have you recently?,0
Been able to concentrate on what you’re doing?,1
usual,0
Lost much sleep over worry?,1
usual,0
Rather more than,0
usual,0
Much more than,0
usual,0
Felt you were playing a useful part in things?,1
usual,0
Much less useful,0
Felt capable of making decisions about things?,1
Felt constantly under strain?,1
usual,0
Rather more than,0
usual,0
Much more than,0
usual,0
Felt you couldn’t overcome your difficulties?,1
usual,0
Rather more than,0
usual,0
Much more than,0
usual,0
Been able to enjoy your normal day-to-day activities?,1
usual,0
Been able to face up to your problems?,1
Been feeling unhappy and depressed?,1
usual,0
Rather more than,0
usual,0
Much more than,0
usual,0
Been losing confidence in yourself?,1
usual,0
Rather more than,0
usual,0
Much more than,0
usual,0
Been thinking of yourself as a worthless person?,1
usual,0
Rather more than,0
usual,0
Much more than,0
usual,0
"Been feeling reasonably happy, all things considered",1
usual,0
Less so than usual Much less than,0
usual;,0
