text,label
Questionário de Capacidades e Dificuldades – Relado dos pais,0
"Instruções: Responda a todas as perguntas da melhor maneira possível, mesmo",0
que você não tenha certeza absoluta ou se a pergunta lhe parecer estranha. Dê,0
suas respostas com base no comportamento do jovem nos últimos seis meses.,0
Fa,0
ls,0
o,0
M,0
ai,0
s,0
ou,0
m,0
en,0
os,0
ve,0
rd,0
ad,0
ei,0
ro,0
Ve,0
rd,0
ad,0
ei,0
ro,0
EM,0
O,0
C,0
IO,0
N,0
AL,0
C,0
O,0
N,0
D,0
U,0
TA,0
H,0
IP,0
ER,0
AT,0
IV,0
ID,0
AD,0
E,0
SO,0
C,0
IA,0
L,0
PR,0
Ó,0
- S,0
O,0
C,0
IA,0
L,0
Tem consideração pelos sentimentos de outras pessoas,1
"Não consegue parar sentado quando tem que fazer a lição ou comer; mexe-se muito, etc.",1
"Muitas vezes se queixa de dor de cabeça, dor de barriga ou enjoo",1
"Tem boa vontade em compartilhar doces, brinquedos, lápis... com outros jovens",1
Frequentemente tem acessos de raiva ou crises de birra,1
"É solitário, prefere brincar sozinho",1
Geralmente é obediente e faz normalmente o que os adultos lhe pedem,1
"Tem muitas preocupações, muitas vezes parece preocupado com tudo",1
"Tenta ser atencioso se alguém parece magoado, aflito ou se sentindo mal",1
"Está sempre agitado, balançando as pernas ou mexendo as mãos",1
Tem pelo menos um bom amigo ou uma boa amiga,1
Frequentemente briga com outros jovens ou os amedronta,1
"Frequentemente parece triste, desanimado ou choroso",1
"Em geral, é querido por outros jovens",1
Facilmente perde a concentração,1
"SDQ16. <q>Fica inseguro quando tem que fazer alguma coisa pela primeira vez, facilmente perde a",0
confiança em si mesmo</q> (0) (1) (2),0
É gentil com crianças mais novas,1
Frequentemente engana ou mente,1
Outras crianças pegam no pé ou a atormentam,1
"SDQ20. <q>Frequentemente se oferece para ajudar outras pessoas (pais, professores, outras",0
crianças)</q> (0) (1) (2),0
Pensa nas coisas antes de fazê-las,1
"Rouba coisas de casa, da escola ou de outros lugares",1
Se dá melhor com adultos do que com outros jovens,1
"Tem muitos medos, assusta-se facilmente",1
"Completa as tarefas que começa, tem boa concentração",1
SUB-TOTAIS,0
"SDQ26. <q>Você acha que seu filho/a tem alguma dificuldade? Pode ser uma dificuldade emocional, de",0
"comportamento, pouca concentração ou para se dar bem com outras pessoas.</q>",0
Não Sim – pequenas,0
dificuldades,0
Sim – dificuldades bem,0
definidas,0
Sim – dificuldades,0
graves,0
(  ) 0 (  ) 1 (  ) 2 (  ) 3,0
Há quanto tempo estas dificuldades existem?,1
Menos de 1 mês                                1-5 meses                           6-12 meses                                             Mais de 1 ano,0
(  ) 0                                               (  ) 1                                   (  ) 2                                                            (  ) 3,0
Estas dificuldades incomodam ou aborrecem seu filho/a?,1
Nada                                                       Um pouco                                                             Muito                                        Mais que muito,0
(  ) 0                                                            (  ) 1                                                                     (  ) 2                                                      (  ) 3,0
Estas dificuldades atrapalham o dia-a-dia do seu filho/a em alguma das situações abaixo?,1
Nada Um pouco Muito Mais que muito,0
Dia-a-dia em casa,1
(  ) 1,0
(  ) 2,0
(  ) 3,0
Amizades,1
(  ) 1,0
(  ) 2,0
(  ) 3,0
Aprendizado escolar,1
(  ) 1,0
(  ) 2,0
(  ) 3,0
"SDQ26f. <q>Atividades de lazer (passeios,",0
esportes etc.)</q>,0
(  ) 0,0
(  ) 1,0
(  ) 2,0
(  ) 3,0
Estas dificuldades são um peso para você ou para a família como um todo?,1
Nada Um pouco Muito Mais que muito,0
(  ) 0 (  ) 1 (  ) 2 (  ) 3,0
