text,label
INVENTÁRIO DEPRESSIVO DE BECK,0
(Cotação das diversas questões),0
CCOOTTAAÇÇÃÃOO,0
A . ESTADO DE ÂNIMO TRISTE,0
Não me sinto triste,1
Ando “neura” ou triste,1
Sinto-me “neura” ou triste todo o tempo e não consigo evitá-lo,1
Estou tão triste ou infeliz que esse estado se torna penoso para mim,1
Sinto-me tão triste ou infeliz que não consigo suportar mais este estado,1
B . PESSIMISMO,0
0  - <q>Não estou demasiado pessimista nem me sinto desencorajado em relação ao,0
futuro</q>,0
Sinto-me com medo do futuro,1
Sinto que não tenho nada a esperar do que surja no futuro,1
Creio que nunca conseguirei resolver os meus problemas,1
3  - <q>Não tenho qualquer esperança no futuro e penso que a minha situação não pode,0
melhorar</q>,0
C . SENTIMENTO DE FRACASSO,0
Não tenho a sensação de ter fracassado,1
Sinto que tive mais fracassos que a maioria das pessoas,1
Sinto que realizei muito pouca coisa que tivesse valor ou significado,1
2b - <q>Quando analiso a minha vida passada tudo o que noto é uma imensidade de,0
fracassos</q>,0
"Sinto-me completamente fracassado como pessoa (pai, mãe, marido, mulher)",1
D . INSATISFAÇÃO,0
Não me sinto descontente com nada em especial,1
Sinto-me aborrecido a maior parte do tempo,1
Não obtenho satisfação com as coisas que me alegravam antigamente,1
Nunca mais consigo obter satisfação seja com o que for,1
Sinto-me descontente com tudo,1
E . SENTIMENTO DE CULPABILIDADE,0
Não me sinto culpado de nada em particular,1
"Sinto, grande parte do tempo, que sou mau ou que não tenho qualquer valor",1
Sinto-me bastante culpado,1
"Agora, sinto permanentemente que sou mau e não valho absolutamente nada",1
Considero que sou muito mau e não valho absolutamente nada,1
F . SENTIMENTO DE PUNIÇÃO,0
Não sinto que esteja a ser vítima de algum castigo,1
Tenho o pressentimento de que me pode acontecer alguma coisa de mal,1
Sinto que estou a ser castigado ou que em breve serei castigado,1
Sinto que mereço ser castigado,1
Quero ser castigado,1
G - ÓDIO A SI MESMO,0
Não me sinto descontente comigo mesmo,1
Estou desiludido comigo mesmo,1
Não gosto de mim,1
Estou bastante desgostoso comigo mesmo,1
Odeio-me,1
H - AUTO-ACUSAÇÕES,0
Não sinto que seja pior do que qualquer outra pessoa,1
Critico-me a mim mesmo pelas minhas fraquezas ou erros,1
Culpo-me das minhas próprias faltas,1
Acuso-me por tudo de mal que acontece,1
I – DESEJOS SUICIDAS,0
Não tenho quaisquer ideias de fazer mal a mim mesmo,1
"Tenho ideias de pôr termo à vida, mas não sou capaz de as concretizar",1
Sinto que seria melhor morrer,1
Creio que seria melhor para a minha família se eu morresse,1
Tenho planos concretos sobre a forma como hei-de pôr termo à vida,1
Matar-me-ia se tivesse oportunidade,1
] - CRISES DE CHORO,0
Actualmente não choro mais do que de costume,1
Choro agora mais do que costumava,1
Actualmente passo o tempo a chorar e não consigo parar de fazê-Io,1
"3  - Costumava ser capaz de chorar, mas agora nem sequer consigo, mesmo",0
quando tenho vontade,0
K - IRRITABILIDADE,0
Não ando agora mais irritado do que de costume,1
Fico aborrecido ou irritado mais fàcilmente do que costumava,1
Sinto-me permanentemente irritado,1
Já não consigo ficar irritado por coisas que me irritavam anteriormente,1
L – AFASTAMENTO SOCIAL,0
Não perdi o interesse que tinha nas outras pessoas,1
Actualmente sinto menos interesse pelos outros do que costumava ter,1
"2  - <q>Perdi quase todo o interesse pelas outras pessoas, sentindo pouca simpatia por",0
elas</q>,0
"3  - <q>Perdi por completo o interesse pelas outras pessoas, não me importando",0
absolutamente com nada,0
a seu respeito</q>,0
M – INCAPACIDADE DE DECISÃO,0
Sou capaz de tomar decisões tão bem como antigamente,1
1  - <q>Actualmente sinto-me menos seguro de mim mesmo e procuro evitar tomar,0
decisões</q>,0
Não sou capaz de tomar decisões sem a ajuda das outras pessoas,1
Sinto-me completamente incapaz de tomar decisões,1
N – DISTORÇÃO DA IMAGEM CORPORAL,0
Não acho que tenha pior aspecto do que de costume,1
Sinto-me aborrecido porque estou a parecer mais velho ou pouco atraente,1
2  - <q>Sinto que se deram modificações permanentes na minha aparência que me,0
tornaram pouco atraente</q>,0
Sinto que sou feio ou que tenho um aspecto repulsivo,1
O – INCAPACIDADE DE TRABALHAR,0
Sou capaz de trabalhar tão bem como antigamente,1
1a  - <q>Actualmente preciso de um esforço maior do que dantes para começar a,0
trabalhar</q>,0
Não consigo trabalhar tão bem como costumava,1
Tenho de dispender um grande esforço para fazer seja o que for,1
"Sinto-me incapaz de realizar qualquer trabalho, por mais pequeno que seja",1
P – PERTURBAÇÕES DO SONO (Acordar precoce),0
Consigo dormir tão bem como dantes,1
Acordo mais cansado de manhã do que era habitual,1
2  - <q>Acordo cerca de 1-2 horas mais cedo do que o costume e custa-me voltar a,0
adormecer</q>,0
3  - <q>Acordo todos os dias mais cedo do que o costume e não durmo mais do que 5,0
horas</q>,0
Q – FATIGABILIDADE,0
Não me sinto mais cansado do que é habitual,1
Fico cansado com mais facilidade do que antigamente,1
Fico cansado quando faço seja o que for,1
Sinto.-me tão cansado que sou incapaz de fazer o que quer que seja,1
R – PERDA DE APETITE,0
O meu apetite é o mesmo de sempre,1
O meu apetite não é tão bom como costumava ser,1
Actualmente o meu apetite está muito pior do que anteriormente,1
Perdi completamente todo o apetite que tinha,1
S – PERDA DE PESO,0
"Não tenho perdido muito peso, se é que perdi algum ultimamente",1
"Perdi mais de 2,5 quilos de peso",1
Perdi mais de 5 quilos de peso,1
"Perdi mais de 7,5 quilos de peso",1
T – HIPOCONDRIA,0
A  minha saúde não me preocupa mais do que o habitual,1
