text,label
I worry about things,1
I feel sad or empty,1
"When I have a problem, I get a funny feeling in my stomach",1
I worry when I think I have done poorly at something,1
I would feel afraid of being on my own at home,1
Nothing is much fun anymore,1
I feel scared when I have to take a test,1
I feel worried when I think someone is angry with me,1
I worry about being away from my parent,1
10 <q>I am bothered by bad or silly thoughts or pictures in,0
my mind</q>,0
Never Sometimes Often Always,0
I have trouble sleeping,1
I worry that I will do badly at my school work,1
13 <q>I worry that something awful will happen to someone,0
in my family</q>,0
Never Sometimes Often Always,0
14 <q>I suddenly feel as if I can’t breathe when there is no,0
reason for this</q>,0
Never Sometimes Often Always,0
I have problems with my appetite,1
16 <q>I have to keep checking that I have done things right,0
"(like the switch is off, or the door is locked)</q>",0
Never Sometimes Often Always,0
I feel scared if I have to sleep on my own,1
18 <q>I have trouble going to school in the mornings,0
because I feel nervous or afraid</q>,0
Never Sometimes Often Always,0
I have no energy for things,1
I worry I might look foolish,1
"RCADS—C h i l d / Y o u n g  P e r s o n                                                                                                   Questions © 2003 Bruce F. Chorpita, Ph.D",0
NHS ID:,0
Child/ Young Person’s NAME:,0
Date:  / / 20                                                      Time:   h  m,0
Please put a circle around the word that shows how often each of these things happens to you.,0
There are no right or wrong answers.,0
RCADS,0
I am tired a lot,1
I worry that bad things will happen to me,1
I can’t seem to get bad or silly thoughts out of my head,1
"When I have a problem, my heart beats really fast",1
I cannot think clearly,1
26 <q>I suddenly start to tremble or shake when there is no,0
reason for this</q>,0
Never Sometimes Often Always,0
I worry that something bad will happen to me,1
"When I have a problem, I feel shaky",1
I feel worthless,1
I worry about making mistakes,1
31 <q>I have to think of special thoughts (like numbers or,0
words) to stop bad things from happening</q>,0
Never Sometimes Often Always,0
I worry what other people think of me,1
33 <q>I am afraid of being in crowded places (like shopping,0
"centers, the movies, buses, busy playgrounds)</q>",0
Never Sometimes Often Always,0
All of a sudden I feel really scared for no reason at all,1
I worry about what is going to happen,1
36 <q>I suddenly become dizzy or faint when there is no,0
reason for this</q>,0
Never Sometimes Often Always,0
I think about death,1
I feel afraid if I have to talk in front of my class,1
My heart suddenly starts to beat too quickly for no reason,1
I feel like I don’t want to move,1
41 <q>I worry that I will suddenly get a scared feeling when,0
there is nothing to be afraid of</q>,0
Never Sometimes Often Always,0
42 <q>I have to do some things over and over again (like washing,0
"my hands, cleaning or putting things in a certain order)</q>",0
Never Sometimes Often Always,0
43 <q>I feel afraid that I will make a fool of myself in front,0
of people</q>,0
Never Sometimes Often Always,0
44 <q>I have to do some things in just the right way to stop,0
bad things from happening</q>,0
Never Sometimes Often Always,0
I worry when I go to bed at night,1
46 <q>I would feel scared if I had to stay away from,0
home overnight</q>,0
Never Sometimes Often Always,0
I feel restless,1
"RCADS—C h i l d / Y o u n g  P e r s o n                                                                                                   Questions © 2003 Bruce F. Chorpita, Ph.D",0
